Iaryna Rizhok 20-30 female
Доброго	               adj:m:v_rod:compb  25
дня	                   noun:m:v_rod  16
Андрій                 noun:m:v_kly:anim:fname -1
Дозвольте	           verb:impr:p:2:perf  0
з                      prep:rv_oru 0
Вами                   pron:v_oru:anim  8
посперечатись	       verb:rev:inf:perf  9
Перше	               adj:n:v_zna  12
про                    prep:rv_zna  0
офіціанта	           noun:m:v_zna:anim  3
вибачте	               verb:impr:p:2:perf  10
але	                   conj:coord  -5
голова	               noun:f:v_naz  2
в	                   prep:rv_rod  -1
нього	               pron:pers:m:3:v_rod -1
точно	               adv  4
була	               verb:past:f:perf  0
помита	               adjp:pasv:past:f:v_naz  4
те	                   adj:n:v_zna:&pron:dem  5
що	                   pron:int:rel:n:v_naz  0
він	                   pron:pers:m:3:v_naz:anim  1
був	                   verb:past:m:imperf  5
спітнілий	           adjp:actv:past:m:v_naz  -8
це	                   adj:n:v_zna:&pron:dem  0
факт	               noun:m:v_naz  10
згідна	               adj:f:v_naz  13
цього	               adj:n:v_rod:&pron:dem  5
не	                   part  -1
мало	               verb:past:n:imperf  2
б	                   part  0
бути	               verb:inf:imperf  3
але	                   conj:coord -3
так	                   conj:coord:subord  1
як	                   conj:subord  0
він	                   pron:pers:m:3:v_naz:anim  2
бігав	               verb:past:m:imperf  4
між	                   prep:rv_oru  2
трьома	               numr:p:v_oru  3
поверхами	           noun:p:v_oru  5
це	                   adj:n:v_naz:&pron:dem  2
ніби	               conj:subord  2
                       part  4
природний	           adj:m:v_zna:compb  11
фізіологічний	       adj:m:v_zna  11
процес	               noun:m:v_zna  7
За	                   prep:rv_rod:rv_zna:rv_oru 9
це	                   adj:n:v_zna:&pron:dem  9
вибачаємось	           verb:rev:pres:p:1:imperf  15
Далі	               adv  15
стосовно	           adv  9
не	                   part  3
отриманої	           adjp:pasv:past:f:v_rod  5
знижки	               noun:f:v_rod noun:p:v_zna  27
це	                   adj:n:v_naz:&pron:dem  14
неправда	           noun:f:v_naz  -17
у	                   prep:rv_mis 0
