Token	Lemma	Part-of-speech
	- 	SENT_START 
є	бути 	verb:pres:p:1:imperf 
		verb:pres:p:2:imperf 
		verb:pres:p:3:imperf 
		verb:pres:p::imperf 
		verb:pres:s:1:imperf 
		verb:pres:s:2:imperf 
		verb:pres:s:3:imperf 
		verb:pres:s::imperf 
одне	один 	numr:n:v_naz 
		numr:n:v_zna 
золоте	золотий 	adj:n:v_naz 
		adj:n:v_zna 
правило	правило 	noun:n:v_naz 
		noun:n:v_zna 
	правити 	verb:past:n:imperf 
,	- 	- 
яке	який 	adj:n:v_naz:&pron:int:rel:def
		adj:n:v_zna:&pron:int:rel:def
дуже	дуже 	adv 
	дужий 	adj:n:v_naz:compb 
		adj:n:v_zna:compb 
часто	часто 	adv:compb 
забувають	забувати 	verb:pres:p:3:imperf 
працівники	працівник 	noun:p:v_kly:anim 
		noun:p:v_naz:anim 
закладів	заклад 	noun:p:v_rod 
(	- 	- 
практично	практично 	adv:compb 
будь-яких	будь-який 	adj:p:v_mis:&pron:ind 
		adj:p:v_rod:&pron:ind 
		adj:p:v_zna:&pron:ind 
)	- 	- 
:	- 	- 
«	- 	- 
Не	не 	part 
я	я 	pron:pers:s:1:v_naz:anim 
для	для 	prep:rv_rod 
кафе	кафе 	noun:n:v_dav:nv 
		noun:n:v_mis:nv 
		noun:n:v_naz:nv 
		noun:n:v_oru:nv 
		noun:n:v_rod:nv 
		noun:n:v_zna:nv 
		noun:p:v_dav:nv 
		noun:p:v_mis:nv 
		noun:p:v_naz:nv 
		noun:p:v_oru:nv 
		noun:p:v_rod:nv 
		noun:p:v_zna:nv 
,	- 	- 
а	а 	conj:coord 
		excl 
		part 
кафе	кафе 	noun:n:v_dav:nv 
		noun:n:v_mis:nv 
		noun:n:v_naz:nv 
		noun:n:v_oru:nv 
		noun:n:v_rod:nv 
		noun:n:v_zna:nv 
		noun:p:v_dav:nv 
		noun:p:v_mis:nv 
		noun:p:v_naz:nv 
		noun:p:v_oru:nv 
		noun:p:v_rod:nv 
		noun:p:v_zna:nv 
для	для 	prep:rv_rod 
мене	я 	pron:pers:s:1:v_rod:anim 
		pron:pers:s:1:v_zna:anim 
»	- 	- 
,	- 	SENT_END 
	- 	SENT_START 
Дуже	дуже 	adv 
	дужий 	adj:n:v_naz:compb 
		adj:n:v_zna:compb 
часто	часто 	adv:compb 
можна	можна 	predic 
зустрітись	зустрітися 	verb:rev:inf:perf 
з	з 	prep:rv_rod:rv_zna:rv_oru 
офіціантами	офіціант 	noun:p:v_oru:anim 
,	- 	- 
які	який 	adj:p:v_naz:&pron:int:rel:def
		adj:p:v_zna:&pron:int:rel:def
вважають	вважати 	verb:pres:p:3:imperf 
,	- 	- 
що	що 	conj:subord 
		pron:int:rel:n:v_naz 
		pron:int:rel:n:v_zna 
вони	вони 	pron:pers:p:3:v_naz:anim 
мені	я 	pron:pers:s:1:v_dav:anim 
		pron:pers:s:1:v_mis:anim 
послугу	послуга 	noun:f:v_zna 
роблять	робити 	verb:pres:p:3:imperf 
(	- 	- 
коли	коли 	adv:&pron:int:rel 
		conj:subord 
		part 
	колоти 	verb:impr:s:2:imperf 
	кіл 	noun:p:v_naz 
		noun:p:v_zna 
обслуговують	обслуговувати 	verb:pres:p:3:imperf 
мене	я 	pron:pers:s:1:v_rod:anim 
		pron:pers:s:1:v_zna:anim 
)	- 	- 
,	- 	- 
а	а 	conj:coord 
		excl 
		part 
не	не 	part 
працюють	працювати 	verb:pres:p:3:imperf 
,	- 	SENT_END 
	- 	SENT_START 
За	за 	prep:rv_rod:rv_zna:rv_oru
