Hanchevska 20-30 female
А			а               conj:coord  0
мені		я               pron:pers:s:1:v_dav:anim 7
дуже		дуже            adv  40
подобається подобатися  	verb:pres:imperf 40
і       	і               conj:coord 0
атмосфера 	атмосфера     	noun:f:v_naz 14
і       	і               conj:coord  0
працівники 	працівник    	noun:p:v_naz:anim  0
завжди		завжди 			adv 24
привітні 	привітний      	adj:p:v_naz:compb 36
Кухня	    кухня           noun:f:v_naz 5
смачна	    смачний         adj:f:v_naz:compb  36
а	        а               conj:coord 0
настоянки   настоянка		noun:p:v_naz 0
напевно	    напевно         adv 0
найкращі    хороший         adj:p:v_naz:super  50
з	        з               prep:rv_rod 0
тих	        той 			pron:dem 0
що	        що 				conj:subord 0
коли-небудь	коли-небудь		adv 0
пробувала  	пробувати       verb:past:f:imperf  9
Смачно	   	смачно          adv:compb  32
але	       	але             conj:coord  -5
порції	   	порція		   	noun:p:v_naz 0
не	       	не              part -7
дуже	   	дуже            adv 33
великі	   	великий         adj:p:v_naz:compb 2
як	       	як				adv 0
на	       	на              prep:rv_mis 0
мене	   	я     			pron:pers:s:1:v_mis:anim 0
Ввічливі   	ввічливий       adj:p:v_naz:v-u 36
офіціанти  	офіціант		noun:p:v_naz:anim 0
Є	       	бути			verb:pres:s::imperf 0
дитяча	   	дитячий         adj:f:v_naz 19
кімната	   	кімната         noun:f:v_naz 2
з	       	з               prep:rv_oru  0
черепахою  	черепаха        noun:f:v_oru:anim 8
Обов'язково обов'язково    	adv 2
зайду	   	зайти           verb:futr:s:1:perf 0
ще	       	ще              adv 13
раз	       	раз				noun:m:v_naz 0
Були	   	бути            verb:past:p:imperf  0
в	       	в				prep:rv_mis 0
цьому	   	цей				pron:dem 0
ресторанчику ресторанчик   	noun:m:v_mis 31
двічі	    двічі          	adv 0
і	        і              	conj:coord 0
прийдемо    прийти         	verb:futr:p:1:perf 7
ще 			ще 				adv 0
насправді   насправді      	adv  0
дивно	    дивно          	adv:compb -7
чути	    чути           	verb:inf:imperf 0
такий	    такий        	pron:def -4
відгук	    відгук  		noun:m:v_zna 0
яким	    який  			pron:int:rel:def 0
був	        бути           	verb:past:m:imperf 0
попередній  попередній 		adj:m:v_zna  0
персонал    персонал       	noun:m:v_naz 0
навіть	    навіть         	part 5
дуже	    дуже           	adv 40
натасканий  натасканий     	adjp:pasv:past:m:v_naz  40
трохи	    трохи          	adv 3
розбираюсь  розбиратися    	verb:rev:pres:s:1:imperf 12
в	        в              	prep:rv_zna:rv_mis:rv_rod:v-u  0
ресторанній ресторанний    	adj:f:v_mis 0
сфері	    сфера          	noun:f:v_mis 0
дуже	    дуже           	adv  40
уважний	    уважний        	adj:m:v_naz:compb 40
першого	    перший         	adj:m:v_rod 0
ж	        ж			   	part 0
контакту    контакт		   	noun:m:v_rod 5
очима	    око            	noun:p:v_oru 0
до	        до             	prep:rv_rod  0
нас	        ми 			   	pron:pers:p:1:v_rod:anim 0
підходили   підходити      	verb:past:p:imperf  10
в	        в              	prep:rv_mis  0
меню	    меню		   	noun:n:v_mis:nv 0
і	        і              	conj:coord 0
стравах	    страва         	noun:p:v_mis  0
обізнані    обізнаний      	adj:p:v_naz  30
всі	        весь		   	pron:dem  13
офіціанти   офіціант	   	noun:p:v_naz:anim  0
все			весь           	pron:dem  6
приносили   приносити     	verb:past:p:imperf  6
вчасно	    вчасно        	adv 29
на	        на            	prep:rv_zna 0
рахунок	    рахунок       	noun:m:v_zna 0
страв	    страва        	noun:p:v_rod  4
то	        то            	conj:subord 0
все			весь           	pron:dem  2
дуже	    дуже          	adv 40
смачне	    смачний       	adj:n:v_naz:compb 40
на	        на            	prep:rv_zna 0
солі	    сіль          	noun:f:v_rod  0
в	        в             	prep:rv_mis:v-u 0
кожного	    кожний        	pron:def  4
мабуть      мабуть        	insert  4
своє	    свій			pron:pos 0
ставлення   ставлення		noun:n:v_zna 3
до	        до            	prep:rv_rod 0
цього	    цей           	pron:dem 0
ми	        ми            	pron:pers:p:1:v_naz:anim 0
часто	    часто         	adv:compb 16
ходимо	    ходити        	verb:pres:p:1:imperf  16
в	        в             	prep:rv_zna 0
ресторани   ресторан      	noun:p:v_zna  3
італійської італійський   	adj:f:v_rod  8
кухні	    кухня         	noun:f:v_rod 2
тому	    тому          	adv 0
порівняти   порівняти     	verb:inf:perf  3
маємо	    мати          	verb:pres:p:1:imperf   0
з	        з             	prep:rv_rod:rv_zna:rv_oru  0
чим	        що            	pron:int:rel:n:v_oru  0
ціни		ціна			noun:p:v_naz -12
такі	   	такий          	pron:def -2
як	       	як             	adv 0
і	       	і              	conj:coord  0
в	       	в              	prep:rv_mis 0
будь-якому 	будь-який		pron:ind 0
ресторані  	ресторан       	noun:m:v_mis  0
я	       	я              	pron:pers:s:1:v_naz:anim  0
б	       	б              	part  0
не	       	не             	part  -5
сказала	   	сказати        	verb:past:f:perf  0
що	       	що             	conj:subord 0
завищені   	завищений      	adjp:pasv:past:p:v_naz -11
щодо	   	щодо           	prep:rv_rod 0
туалету	   	туалет          noun:m:v_rod -13
нічого		ніщо			pron:neg:v_zna  -5
не	       	не             	part -5
можу  		могти  			verb:imperf:1 5
сказати	   	сказати        	verb:inf:perf  5
бо	       	бо             	conj:subord  0
не	       	не             	part  -5
відвідувала відвідувати   	verb:past:f:imperf 5
нічого		ніщо			pron:neg:v_zna -7
наразі  	наразі  		adv 0
не	       	не             	part -5
можу  		могти  			verb:imperf:1 5
сказати	   	сказати        	verb:inf:perf  5
На          на 		  		prep:rv_mis  0
початках   	початок        	noun:p:v_mis 9
відкриття  	відкриття      	noun:n:v_zna 20
ресторану  	ресторан        noun:m:v_rod 2
Дель Песто  Дель Песто  	noun:proper 25
що	       	що             	conj:subord 0
важко	   	важко 	      	adv:compb  -13
зараз	   	зараз 	      	adv  2
назвати	   	назвати  	  	verb:inf:perf  0
рестораном  ресторан 	  	noun:m:v_oru  2
кухня	    кухня         	noun:f:v_naz 2
була		бути 	      	verb:past:f:imperf  -2
просто	    просто 	      	adv:compb -1
чудова	    чудовий 	  	adj:f:v_naz:compb  39
і	        і 		      	conj:coord 0
неймовірно  неймовірно   	adv:compb  50
смачні	    смачний 	  	adj:p:v_naz:compb  36
піци	    піца 	       	noun:p:v_naz   5
на жаль		на жаль 	 	<insert> -10
кожного	    кожний 	 		adj:m:v_rod:&pron:def 0
місяця	    місяць 	 		noun:m:v_rod  0
йде	        йти 	     	verb:pres:s:3:imperf 16
на	        на				prep:rv_zna:rv_mis  0
спад	    спад 	     	noun:m:v_zna  -20
що	        що 	    		conj:subord  0
кухня	    кухня      		noun:f:v_naz  2
що	        що 	   			conj:subord  0
обслуговування обслуговування noun:n:v_naz 5
По	        по 		   		prep:rv_mis  0
порядку	    порядок    		noun:m:v_mis 19
сьогодні    сьогодні   		adv 20
замовив	    замовити  		verb:past:m:perf  0
піцу	    піца 	  		noun:f:v_zna  5
свою	    свій 	  		pron:pos  0
улюблену    улюблений 		adjp:pasv:past:f:v_zna:compb 35
чотири	    чотири 	  		numr:p:v_zna   0
сири	    сир				noun:p:v_zna 5
На	        на       		prep:rv_mis  0
сирі	    сир 	  		noun:m:v_mis 5
явно	    явно 	  		adv  5
економлять  економити  		verb:pres:p:3:imperf  -35
смак	    смак 	   		noun:m:v_naz  6
сирів		сир 	   		noun:p:v_rod  5
в	        в 		   		prep:rv_mis 0
піці	    піца 	   		noun:f:v_mis 5
взагалі	    взагалі    		adv:v-u  -5
відсутній   відсутній  		adj:m:v_naz -25
чути	    чути 	   		verb:inf:imperf  6
смак	    смак 	   		noun:m:v_zna  10
лише	    лише 			part  -1
тіста	    тісто 	   		noun:n:v_rod -15
склад	    склад 	   		noun:m:v_zna 0
сирів		сир 	   		noun:p:v_rod  5
поміняли    поміняти   		verb:past:p:perf  -15
тулять	    тулити 	   		verb:pres:p:3:imperf  -50
дешеве	    дешевий    		adj:n:v_zna:compb -50
а	        а 		   		conj:coord 0
ціна	    ціна 	   		noun:f:v_naz  -25
за	        за 		   		prep:rv_zna 0
дорогі	    дорогий			adj:p:v_zna:compb  -15
намагався   намагатися 		verb:rev:past:m:imperf  6
покращити   покращити 		verb:inf:perf  6
смак	    смак 	   		noun:m:v_zna 6
за	    	за 		   		prep:rv_oru  0
допомогою   допомога  		noun:f:v_oru 	 9
рідких	    рідкий 	   		adj:p:v_rod:compb   0
приправ	    приправа   		noun:p:v_rod 5
так	    	так 			part  5
їх	    	вони 	   		pron:pers:p:3:v_rod:anim 0
не	    	не 		   		part -5
принесли    принести   		verb:past:p:perf  2
одразу	    одразу 	   		adv 15
принесли    принести 		verb:past:p:perf 5
коли	    коли			conj:subord 0
піца	    піца 	   		noun:f:v_naz  5
була		бути 	      	verb:past:f:imperf -5
холодна	    холодний 		adj:f:v_naz:compb  -30
і	    	і 		   		conj:coord  0
вже	    	вже 	   		adv:v-u 6
нічого		ніщо 	   		pron:neg:v_rod  -10
її			вона 	   		pron:pers:f:3:v_rod:anim 0
не	    	не 		   		part  -5
врятувало   врятувати  		verb:past:n:perf:v-u 8
так	    	так 	   		adv 0
піцу	    піца 	   		noun:f:v_zna 5
і	    	і 		   		conj:coord 0
не	    	не 		   		part -5
доїв	    доїсти 	   		verb:past:m:perf  0
Замовив	    замовити 		verb:past:m:perf  7
салат	    салат 			noun:m:v_zna  15
Капрезе	    Капрезе 		noun 15
листя	    листя 	   		noun:n:v_naz 0
салату 		салат 			noun:f:v_rod 15
місцями	    місце 	   		noun:p:v_oru  -2
чорнувате 	чорний 			adj:s:n:v_naz:compb -20
сир	    	сир 	   		noun:m:v_naz 5
моцарела    моцарела 		noun 5
потребував  потребувати  	verb:past:m:imperf  5
більше	    багато 	   		adv:compr 12
соусу 		соус 			noun:m::v_rod 4
та	    	та 		   		conj:coord  0
приправ	    приправа   		noun:p:v_rod 4
Кухарі	    кухар 			noun:p:v_kly:anim 4
сходіть	    сходити    		verb:impr:p:2:imperf  4
в	        в 		   		prep:rv_mis  0
Япі 		Япі 			noun 30
та	    	та 		   		conj:coord 0
скуштуйте   скуштувати 		verb:impr:p:2:perf  5
там	    	там				adv 0
Капрезе	   	Капрезе 	 	noun 15
щоб	   	   	щоб 		   	conj:subord 0
ви	   	   	ви				pron:pers:p:2:v_naz:anim  0
відчули	   	відчути 	   	verb:past:p:perf 5
різницю	   	різниця 	   	noun:f:v_zna  5
в	   	   	в 		   		prep:rv_mis 0
смакових   	смаковий    	adj:p:v_mis 6
якостях	   	якість 	   		noun:p:v_mis  6
цього	   	цей 		   	adj:m:v_rod  0
слату 		салат 			noun:f:v_rod 10
Це	   	    цей 	   		pron:dem 0
один	   	один 	   		numr:m:v_naz 0
опис	   	опис 	   		noun:m:v_naz 2
падіння	   	падіння			noun:p:v_zna  -41
Дель Песто  Дель Песто 		noun 20
Напій	   	напій 	   		noun:m:v_naz  5
журавлиний  журавлиний  	adj:m:v_naz 5
смачний	   	смачний 	   	adj:m:v_naz:compb  25
Були	   	бути   	   		verb:past:p:imperf  0
в	   		в  		   		prep:rv_mis  0
Дель Песто  Дель Песто 		noun 13
у	   		у 		   		prep:rv_mis 0
вересні	   	вересень    	noun:m:v_mis  4
вперше    	вперше 	   		adv:v-u 9
натрапили 	натрапити    	verb:past:p:perf  9
на	  	  	на  		   	prep:rv_mis  0
нього	  	воно 		   	pron:pers:n:3:v_rod  0
під	  	  	під 		   	prep:rv_zna 0
час	  	  	час 		   	noun:m:v_zna   0
прогулянок 	прогулянка  	noun:p:v_rod  32
Львовом	  	Львів 	   		noun:m:v_oru  32
вранці	  	вранці 	   		adv:v-u 32
та	  	  	та 		   		conj:coord  0
заклад	  	заклад 	   		noun:m:v_naz  0
ще	  		ще 		   		adv  3
був	  		бути 	   		verb:past:m:imperf  -3
зачинений  	зачинений 		adjp:pasv:past:m:v_naz  -10
Ввечері	  	ввечері 	   	adv:v-u  15
таки	  	таки 		   	part 5
вирішили  	вирішити 	   	verb:past:p:perf  10
зайти	  	зайти 	   		verb:inf:perf  5
і	  	  	і 		   		conj:coord  0
придивитись придивитися 	verb:rev:inf:perf  4
поближче   	поближче 		adv:bad 4
і	  		і 		   		conj:coord  0
були	  	бути 		   	verb:past:p:imperf  0
дуже	  	дуже 		   	adv  42
приємно	  	приємно 	   	adv:compb  42
здивовані 	здивований   	adjp:pasv:past:p:v_naz  42
цінами	  	ціна 		   	noun:p:v_oru  -4
особливо  	особливо 	   	ad 6
на	  		на 		  		prep:rv_mis  0
фоні	  	фон 		  	noun:m:v_mis  0
аналогічних аналогічний   	adj:p:v_rod   0
закладів  	заклад 	  		noun:p:v_rod  0
в	  		в 		  		prep:rv_mis 0
Чернівцях 	Чернівці 	  	noun:p:v_mis  0
рівнем	  	рівень  	  	noun:m:v_oru  9
сервісу	  	сервіс 	  		noun:m:v_rod  9
та	  		та 		  		conj:coord  0
смаком	  	смак 		  	noun:m:v_oru  5
страв	  	страва 	  		noun:p:v_rod  5
Паста	  	паста 	  		noun:f:v_naz  17
винятково 	винятково 	  	adv 6
смачна	  	смачний 	  	adj:f:v_naz:compb  25
рівень	  	рівень 	  		noun:m:v_naz  7
цін	  		ціна 		  	noun:p:v_rod  -2
помірний  	помірний 	  	adj:m:v_naz  24
навіть	  	навіть 	  		part  3
по	  		по 		  		prep:rv_mis  0
Львівським 	львівський 	  	adj:p:v_dav 12
міркам	  	мірка 	  		noun:p:v_dav  0
а	  		а 		 	 	conj:coord  0
в	  		в 		  		prep:rv_mis  0
порівнянні 	порівняння 	  	noun:n:v_mis  3
з	  		з 		  		prep:rv_oru  0
нашими	  	наш 		  	adj:p:v_oru 3
Київськими 	київський 	  	adj:p:v_oru  8
цінами	  	ціна 		  	noun:p:v_oru  -8
Окремо	  	окремо 	  		adv  -5
все	  		все 		  	conj:coord:v-u  6
ж	  		ж 		  		part  0
ще	  		ще 		  		adv 6
раз	  		раз 		  	noun:m:v_naz 0
відмічу	  	відмітити 	  	verb:futr:s:1:perf 5
рівень	  	рівень 	  		noun:m:v_zna  5
сервісу	  	сервіс 	  		noun:m:v_rod 20
офіціанти  	офіціант 	  	noun:p:v_naz:anim  0
дуже	  	дуже 		  	adv  50
привітливі 	привітливий 	adj:p:v_naz  50
можуть	  	могти 	  		verb:imperf:1 9
порадити  	порадити 	  	verb:inf:perf  9
страву	  	страва 	  		noun:f:v_zna  5
чи	  		чи 		  		conj:coord:subord  0
коктейль  	коктейль 	  	noun:m:v_zna  5
радять	  	радити 	  		verb:pres:p:3:imperf  5
зовсім	  	зовсім 	  		adv  4
не	  		не 		  		part  -5
найбільш  	багато 	  		adv:super  25
помпезний  	помпезний 	  	adj:m:v_zna 31
та	  		та 		  		conj:coord  0
дорогий	  	дорогий 	  	adj:m:v_zna:compb -19
пункт	  	пункт 	  		noun:m:v_zna  0
меню	  	меню 		  	noun:n:v_zna:nv  0
чи	  		чи 		  		conj:coord:subord  0
як	  		як 		  		adv 0
правильно 	правильно 	  	adv:compb  2
їсти	  	їсти 		  	verb:inf:imperf  2
пасту	  	паста 	  		noun:f:v_zna  15
за	  		за 		  		prep:rv_oru 0
допомогою 	допомога 	  	noun:f:v_oru  15
ложки	  	ложка 	  		noun:p:v_zna  0
Після	  	після 	  		adv 0
того	  	той 		  	adj:m:v_rod 0
вечора	  	вечір 	  		noun:m:v_rod  27
заходили  	заходити 	  	verb:past:p:perf  5
ще	  		ще 		  		adv 5
2	  		2  		  		number 0
рази	  	раз 		  	noun:p:v_zna 0
