Karbivska 20-30 female
Кава noun:f:v_naz  50
для	prep:rv_rod  0
закоханих adjp:pasv:past:p:v_rod   50
А conj:coord  0
ви pron:pers:p:2:v_naz:anim  0
як conj:subord  0
думали verb:past:p:imperf  0
Одна numr:f:v_naz	   0
чаша noun:f:v_naz   0
на prep:rv_zna:rv_zna 0
двох numr:p:v_zna  0
До речі <insert>  0
чашка noun:f:v_naz 0
з prep:rv_oru  0
двома numr:f:v_oru  0
вушками	noun:p:v_oru  10
Пити verb:inf:imperf  0
потрібно adv:compb 	 0
разом adv  10
і conj:coord  0
дуже adv 20
обережно adv:compb 	 -2
Це adj:n:v_naz:&pron:dem  0
найкраща adj:f:v_naz:super  50
кава noun:f:v_naz 50
моєму adj:n:v_mis:&pron:pos 0
житті noun:n:v_mis 10
яку	adj:f:v_zna:&pron:int:rel:def  0
я pron:pers:s:1:v_naz:anim  0
коштувала verb:past:f:imperf 0
разом adv  5
із prep:rv_oru 0
моїм adj:m:v_oru:&pron:pos  0
чоловіком noun:m:v_oru:anim  2
Чудовий	adj:m:v_naz:compb  40
аромат noun:m:v_naz  25
меленої	adjp:pasv:past:f:v_rod  5
кави noun:f:v_rod 50
при	prep:rv_mis   0
вході noun:m:v_mis 0
дальше adv:compr  0
йде	verb:pres:s:3:imperf 0
магазин	noun:m:v_zna  0
де можна <adv> 0
придбати verb:inf:perf  4
каву noun:f:v_zna  50
різних adj:p:v_zna 0
сортів noun:p:v_rod 	 0
та conj:coord  0
з prep:rv_oru 0
оригінальними adj:p:v_oru:compb 25
упаковками noun:p:v_oru  0
В в prep:rv_mis 0
кафе кафе noun:n:v_mis:nv  46
дуже adv   25
привітний adj:m:v_naz:compb  50
персонал noun:m:v_naz  0
кава noun:f:v_naz  50
така adj:f:v_naz:&pron:def  0
ж part  0
як conj:subord  0
в prep:rv_mis:v-u  0
любому adj:m:v_mis  9
кавовому adj:m:v_mis  20
автоматі noun:m:v_mis  -10
Прекрасна adj:f:v_naz:compb  50
атмосфера noun:f:v_naz 25
привітній adj:f:v_naz:compb  50
персонал noun:m:v_naz  0
джазова adj:f:v_naz  25
музика noun:f:v_naz  25
і conj:coord  25
неперевершена adj:f:v_naz 50
львівська adj:f:v_naz 25
кава noun:f:v_naz  50
Рекомендую verb:pres:s:1:imperf 50
спуститись verb:rev:inf:perf  -6
у prep:rv_zna:v-u 	 0
підземне adj:n:v_zna 					   -5
приміщення noun:n:v_zna  0
враження noun:p:v_naz  40
неповторні adj:p:v_naz  50
Хороше adj:n:v_naz:compb  	 45
розважальне adj:n:v_naz  49
місце noun:n:v_naz  0
приємно	adv:compb  50
провести verb:inf:perf 	 0
там	adv:&pron:dem 	 0
час	noun:m:v_zna 0
смачна adj:f:v_naz:compb 20
кава noun:f:v_naz  50
В prep:rv_mis:v-u  0
шахтах noun:p:v_mis -3
жарко adv   -2
вентиляції noun:f:v_rod  -3
не part  0
має	verb:pres:s:3:imperf 	 0
Привітний adj:m:v_naz:compb  50
персонал noun:m:v_naz  0
який adj:m:v_naz:&pron:int:rel:def 0
дуже adv 25
професійно adv  25
допомагає verb:pres:s:3:imperf  10
у prep:rv_rod:v-u   0
виборі noun:m:v_rod  0
страв noun:p:v_rod  11
хочу verb:pres:s:1:imperf 4
