words,polarity,negativeCounter,neutralCounter,positiveCounter,iteration
﻿абат,U,0,0,0,-1
ігумен,U,0,0,0,-1
абатиса,U,0,0,0,-1
ігуменя,U,0,0,0,-1
абатство,U,0,0,0,-1
манастир,U,0,0,0,-1
абетка,+,0,0,1,5
азбука,+,0,0,3,4
альфабет,+,0,0,1,6
алфавит,+,0,0,1,6
букви,+,0,0,1,6
літери,+,0,0,1,6
абеточка,+,0,0,1,6
абетковий,+,0,0,3,5
азбучний,+,0,0,4,5
поазбучний,+,0,0,1,6
альфабетний,+,0,0,2,6
абетний,+,0,0,2,6
елементарний,+,0,0,7,4
початковий,+,0,0,3,4
загальновідомий,+,0,0,3,4
абеткувати,U,0,0,0,-1
реєструвати_за_абеткою,U,0,0,0,-1
абетник,U,0,0,0,-1
альфабетний_покажчик,U,0,0,0,-1
абзац,0,0,1,0,3
відступ,0,0,1,0,4
новий_рядок,0,0,1,0,4
уступ,0,0,2,0,2
аби,+,0,0,1,5
аби_тільки,+,0,0,1,6
аби_но,+,0,0,1,6
тільки_б,+,0,0,1,6
якби_тільки,+,0,0,1,6
щоб_лише,+,0,0,1,6
щоб,+,0,0,5,4
щоби,+,0,0,1,6
для_того,+,0,0,1,6
з_тим,+,0,0,1,6
абись,+,0,0,1,6
абиде,+,0,0,1,2
будь-де,+,0,0,1,3
де-будь,+,0,0,1,3
хоч_де,+,0,0,1,3
хай_де,+,0,0,1,3
де_припало,+,0,0,1,3
денебудь,+,0,0,2,2
десь,+,0,0,2,1
абиколи,-,3,0,2,4
будь-коли,-,2,0,0,3
колибудь,-,2,0,0,4
хоч_коли,-,1,0,0,3
хай_коли,-,1,0,0,3
колись,+,0,0,2,3
колинебудь,+,0,0,1,3
абикуди,+,0,0,2,3
будь-куди,+,0,0,3,3
кудибудь,+,0,0,2,3
хоч_куди,+,0,0,1,4
хай_куди,+,0,0,2,3
куди-небудь,+,0,0,1,4
кудись,+,0,0,3,2
аби_то,+,0,0,1,2
якнебудь,+,0,0,4,3
недбало,+,0,0,3,3
абияк,+,0,0,5,3
так_собі,+,0,0,1,1
абихто,+,0,0,1,2
будь-хто,+,0,0,2,3
хтобудь,+,0,0,1,3
хоч_хто,+,0,0,2,3
хай_хто,+,0,0,1,3
хтонебудь,+,0,0,4,2
хтось,+,0,0,1,1
абичий,U,0,0,0,-1
будь-чий,U,0,0,0,-1
чийбудь,U,0,0,0,-1
хай_чий,U,0,0,0,-1
хоч_чий,U,0,0,0,-1
чийнебудь,U,0,0,0,-1
чийсь,U,0,0,0,-1
абищиця,+,0,0,3,3
дрібниця,+,0,0,1,2
дрібничка,+,0,0,3,3
дурниця,+,0,0,2,2
дурничка,+,0,0,2,3
витребенька,+,0,0,5,3
абищо,+,0,0,1,1
будь-що,+,0,0,2,2
щобудь,+,0,0,2,2
хоч_що,+,0,0,1,2
хай_що,+,0,0,1,2
щонебудь,+,0,0,3,1
щось,+,0,0,1,0
нісенітниця,+,0,0,2,2
ніщо,+,0,0,1,2
нікчема,+,0,0,2,2
не_абищо,+,0,0,1,2
не_хвіст_собачий,+,0,0,1,2
будь-як,+,0,0,3,4
як-будь,+,0,0,1,4
хай_як,+,0,0,1,4
сяк-так,+,0,0,2,2
на_живу_нитку,+,0,0,1,4
абиякий,+,0,0,1,2
будь-який,+,0,0,2,3
якийбудь,+,0,0,1,3
перший-ліпший,+,0,0,3,3
хоч_який,+,0,0,2,3
хай_який,+,0,0,1,3
якийнебудь,+,0,0,4,3
сякий-такий,+,0,0,1,1
неавторитетний,+,0,0,1,3
звичайний,+,0,0,6,3
без_ваги,+,0,0,1,3
нездалий,+,0,0,4,3
поганий,+,0,0,3,2
неякісний,+,0,0,2,3
абітурієнт,+,0,0,1,7
випускник,+,0,0,1,6
матурант,+,0,0,1,8
вступник,+,0,0,1,8
або,+,0,0,1,5
чи,A,0,1,1,4
чи_то,+,0,0,1,6
альбо,+,0,0,1,6
а_то,+,0,0,1,6
тобто,+,0,0,3,6
інакше_кажучи,+,0,0,3,6
хіба,+,0,0,2,5
абориґен,+,0,0,2,6
тубілець,+,0,0,1,7
автохтон,+,0,0,2,6
корінний_житель,+,0,0,1,7
старожил,+,0,0,1,7
місцевий,+,0,0,2,5
тутешній,+,0,0,3,5
аборигенний,+,0,0,4,5
тубільний,+,0,0,3,5
автохтонний,+,1,0,2,5
корінний,+,1,0,6,4
аборт,U,0,0,0,-1
передчасні_пологи,U,0,0,0,-1
викидень,U,0,0,0,-1
абощо,U,0,0,0,-1
чи_що,U,0,0,0,-1
чи_там_що,U,0,0,0,-1
чи_то_ще_що,U,0,0,0,-1
абракадабра,+,0,0,1,4
абсурд,+,0,0,4,3
абрикоса,U,0,0,0,-1
жерделя,U,0,0,0,-1
мореля,U,0,0,0,-1
абрис,0,0,1,0,3
контур,0,0,2,0,3
обрис,0,0,3,0,3
обвід,0,0,2,0,3
окреслення,0,0,2,0,4
конфігурація,A,0,1,1,2
закрій,0,0,1,0,4
лінія,0,0,2,0,2
абсолютизм,+,0,0,1,7
самодержавство,+,0,0,1,8
монархізм,+,0,0,1,8
автократія,+,0,0,1,8
тиранія,+,0,0,2,6
деспотія,+,0,0,1,8
деспотизм,+,0,0,2,7
тоталітаризм,+,0,0,1,8
диктатура,+,0,0,1,8
абсолютний,+,0,0,1,3
цілковитий,+,0,0,10,4
повний,+,0,0,11,3
необмежений,+,0,0,8,4
безумовний,+,0,0,7,4
всеосяжний,+,0,0,5,4
всеохопний,+,0,0,5,4
тотальний,+,0,0,5,4
безвідносний,+,0,0,1,4
абсолютно,+,0,0,5,3
умоглядний,+,0,0,2,3
безглуздя,+,0,0,2,4
нонсенс,+,0,0,1,4
несусвітенність,+,0,0,1,4
безглуздість,+,0,0,2,4
нісенітність,+,0,0,1,4
неподобність,A,1,0,1,3
недоладність,+,0,0,1,4
на_вербі_груші,A,1,0,1,4
сон_рябої_кобили,+,0,0,4,3
таке,+,0,0,1,4
що_й_купи_не_держиться,+,0,0,1,4
бридня,+,0,0,2,3
глупство,+,0,0,2,4
чортзна-що,+,0,0,1,2
чортибатька-що,+,0,0,2,2
маячня,+,0,0,3,3
ідіотизм,+,0,0,1,4
дурість,+,0,0,2,3
парадокс,+,0,0,1,4
анекдота,+,0,0,2,3
анекдотичність,+,0,0,1,4
анекдот,+,0,0,2,4
абсурдний,+,0,0,3,4
безглуздий,+,0,0,6,4
нісенітний,+,0,0,2,4
ні_в_кут_ні_в_двері,+,0,0,1,5
ні_те_ні_се,+,0,0,1,5
дикий,+,0,0,8,3
абсцис,-,2,0,0,4
гнояк,-,1,0,0,4
нарив,-,1,0,0,5
чир,-,2,0,0,4
чиряк,-,1,0,0,3
фурункул,-,3,0,0,4
карбункул,-,2,0,0,4
нагноєння,-,1,0,0,5
запалення,-,1,0,0,5
аванґард,0,0,4,0,5
перший_ешельон,0,0,1,0,6
передова_частина,0,0,1,0,6
передовики,0,0,1,0,6
перші_лави,0,0,1,0,4
еліта,0,0,1,0,4
вершки,0,0,3,0,4
сметанка,0,0,3,0,4
авангардний,+,0,0,2,5
передовий,+,0,2,7,4
з_перших_лав,+,0,0,1,6
елітарний,+,0,0,1,6
аванс,U,0,0,0,-1
завдаток,U,0,0,0,-1
авансом,+,0,0,4,5
