words,polarity,negativeCounter,neutralCounter,positiveCounter,iteration
абат,U,0,0,0,-1
ігумен,U,0,0,0,-1
абатиса,U,0,0,0,-1
ігуменя,U,0,0,0,-1
абатство,U,0,0,0,-1
манастир,U,0,0,0,-1
абетка,0,0,1,0,5
азбука,0,0,2,0,4
альфабет,0,0,1,0,6
алфавит,0,0,1,0,6
букви,0,0,2,0,6
літери,0,0,2,0,6
абеточка,0,0,1,0,6
абетковий,0,0,2,0,3
азбучний,0,0,3,0,3
поазбучний,0,0,1,0,4
альфабетний,0,0,2,0,4
абетний,0,0,2,0,4
елементарний,0,0,7,0,3
початковий,0,0,7,0,3
загальновідомий,0,0,3,0,2
абеткувати,U,0,0,0,-1
реєструвати_за_абеткою,U,0,0,0,-1
абетник,U,0,0,0,-1
альфабетний_покажчик,U,0,0,0,-1
абзац,0,0,1,0,3
відступ,0,0,4,2,4
новий_рядок,0,0,1,0,4
уступ,0,0,2,0,2
аби,0,0,1,0,1
аби_тільки,0,0,1,0,2
аби_но,0,0,1,0,2
тільки_б,0,0,1,0,2
якби_тільки,0,0,1,0,2
щоб_лише,0,0,1,0,2
щоб,0,0,1,0,0
щоби,0,0,1,0,2
для_того,0,0,1,0,2
з_тим,0,0,1,0,2
абись,0,0,1,0,2
абиде,0,0,2,0,2
будь-де,0,0,1,0,3
де-будь,0,0,1,0,3
хоч_де,0,0,1,0,3
хай_де,0,0,1,0,3
де_припало,0,0,1,0,3
денебудь,0,0,3,0,1
десь,0,0,4,0,1
абиколи,0,0,5,0,2
будь-коли,0,0,2,0,1
колибудь,0,0,2,0,2
хоч_коли,0,0,1,0,1
хай_коли,0,0,1,0,1
колись,0,0,4,0,1
колинебудь,0,0,1,0,1
абикуди,0,0,2,0,3
будь-куди,0,0,3,0,3
кудибудь,0,0,2,0,3
хоч_куди,0,0,1,0,4
хай_куди,0,0,2,0,3
куди-небудь,0,0,1,0,4
кудись,0,0,3,0,2
аби_то,0,0,1,0,2
якнебудь,0,0,3,0,2
недбало,0,0,3,0,3
абияк,0,0,5,0,3
так_собі,0,0,1,0,1
абихто,0,0,1,0,1
будь-хто,0,0,4,0,2
хтобудь,0,0,1,0,2
хоч_хто,0,0,2,0,2
хай_хто,0,0,1,0,2
хтонебудь,0,0,4,0,1
хтось,0,0,1,0,0
абичий,U,0,0,0,-1
будь-чий,U,0,0,0,-1
чийбудь,U,0,0,0,-1
хай_чий,U,0,0,0,-1
хоч_чий,U,0,0,0,-1
чийнебудь,U,0,0,0,-1
чийсь,U,0,0,0,-1
абищиця,0,0,3,0,3
дрібниця,0,0,1,0,2
дрібничка,0,0,2,1,3
дурниця,0,0,2,0,2
дурничка,0,0,2,0,3
витребенька,0,0,5,0,3
абищо,0,0,1,0,1
будь-що,0,0,2,0,2
щобудь,0,0,2,0,2
хоч_що,0,0,1,0,2
хай_що,0,0,1,0,2
щонебудь,0,0,3,0,1
щось,0,0,2,0,0
нісенітниця,0,0,2,0,2
ніщо,0,0,1,0,2
нікчема,0,0,2,0,2
не_абищо,0,0,1,0,2
не_хвіст_собачий,0,0,1,0,2
будь-як,0,0,3,0,3
як-будь,0,0,1,0,4
хай_як,0,0,1,0,4
сяк-так,0,0,3,0,2
на_живу_нитку,0,0,1,0,4
абиякий,0,0,3,0,2
будь-який,0,0,4,0,2
якийбудь,0,0,1,0,3
перший-ліпший,0,0,5,0,2
хоч_який,0,0,3,0,2
хай_який,0,0,2,0,3
якийнебудь,0,0,2,0,1
сякий-такий,0,0,1,0,1
неавторитетний,0,0,1,0,3
звичайний,0,0,1,0,1
без_ваги,0,0,1,0,3
нездалий,0,0,4,0,2
поганий,0,0,3,0,2
неякісний,0,0,4,0,3
абітурієнт,0,0,1,0,6
випускник,0,0,1,0,5
матурант,0,0,1,0,7
вступник,0,0,1,0,7
або,0,0,1,0,0
чи,0,0,2,0,0
чи_то,0,0,1,0,1
альбо,0,0,1,0,1
а_то,0,0,1,0,1
тобто,0,0,1,0,1
інакше_кажучи,0,0,2,0,1
хіба,0,0,3,0,1
абориґен,0,0,2,0,5
тубілець,0,0,1,0,6
автохтон,0,0,2,0,5
корінний_житель,0,0,1,0,6
старожил,0,0,1,0,6
місцевий,0,0,5,0,4
тутешній,0,0,4,0,4
аборигенний,0,0,1,0,4
тубільний,0,0,2,0,4
автохтонний,0,0,3,0,4
корінний,0,0,5,0,3
аборт,U,0,0,0,-1
передчасні_пологи,U,0,0,0,-1
викидень,U,0,0,0,-1
абощо,U,0,0,0,-1
чи_що,U,0,0,0,-1
чи_там_що,U,0,0,0,-1
чи_то_ще_що,U,0,0,0,-1
абракадабра,0,0,1,0,4
абсурд,0,0,4,0,3
абрикоса,U,0,0,0,-1
жерделя,U,0,0,0,-1
мореля,U,0,0,0,-1
абрис,0,0,2,1,3
контур,+,0,2,5,3
обрис,+,0,0,2,2
обвід,0,0,4,0,3
окреслення,A,0,1,1,3
конфігурація,0,0,2,1,2
закрій,0,0,1,0,4
лінія,0,0,3,0,2
абсолютизм,0,0,1,0,5
самодержавство,0,0,1,0,6
монархізм,0,0,1,0,6
автократія,0,0,1,0,6
тиранія,0,0,2,0,4
деспотія,0,0,1,0,6
деспотизм,0,0,2,0,5
тоталітаризм,0,0,1,0,6
диктатура,0,0,1,0,6
абсолютний,0,0,11,0,2
цілковитий,0,0,5,0,2
повний,0,0,5,0,2
необмежений,0,0,5,0,2
безумовний,0,0,6,0,3
всеосяжний,0,0,7,0,3
всеохопний,0,0,6,0,3
тотальний,0,0,3,0,3
безвідносний,0,0,1,0,3
абсолютно,0,0,8,0,1
умоглядний,0,0,1,0,2
безглуздя,0,0,2,0,4
нонсенс,0,0,1,0,4
несусвітенність,0,0,1,0,4
безглуздість,0,0,2,0,4
нісенітність,0,0,1,0,4
неподобність,A,1,1,0,3
недоладність,0,0,1,0,4
на_вербі_груші,+,0,1,2,3
сон_рябої_кобили,0,0,4,1,3
таке,0,0,1,0,4
що_й_купи_не_держиться,0,0,1,0,4
бридня,0,0,2,0,3
глупство,0,0,2,0,4
чортзна-що,0,0,1,0,2
чортибатька-що,0,0,2,0,2
маячня,0,0,3,1,3
ідіотизм,0,0,1,0,4
дурість,0,0,2,0,3
парадокс,0,0,1,0,4
анекдота,0,0,3,2,3
анекдотичність,0,0,1,0,4
анекдот,0,0,2,0,4
абсурдний,0,0,2,0,3
безглуздий,0,0,5,0,3
нісенітний,0,0,2,0,4
ні_в_кут_ні_в_двері,0,0,1,0,4
ні_те_ні_се,0,0,1,0,4
дикий,0,0,3,2,2
абсцис,-,2,0,0,4
гнояк,-,1,0,0,4
нарив,-,1,0,0,5
чир,-,2,0,0,4
чиряк,-,1,0,0,3
фурункул,-,3,0,0,4
карбункул,-,2,0,0,4
нагноєння,-,1,0,0,5
запалення,-,1,0,0,5
аванґард,0,0,2,0,3
перший_ешельон,0,0,1,0,4
передова_частина,0,0,1,0,4
передовики,0,0,1,0,4
перші_лави,0,0,1,0,2
еліта,0,0,2,0,3
вершки,0,0,4,0,3
сметанка,0,0,4,0,3
авангардний,0,0,2,0,2
передовий,0,0,5,1,2
з_перших_лав,0,0,1,0,3
елітарний,0,0,1,0,3
аванс,U,0,0,0,-1
завдаток,U,0,0,0,-1
авансом,0,0,3,0,2
