Barabakh 20-30 female
Дійсно	дійсно adv  0
за	за      prep:rv_rod:rv_zna:rv_oru  0
кордом	корд    noun:m:v_oru  30
політика	політика noun:f:v_na -30
закладу	заклад  noun:m:v_rod 0
така	такий    adj:f:v_naz:&pron:def  0
що	що       conj:subord 		  0
харчування  харчування  noun:n:v_naz  25
у	у 		prep:rv_zna:rv_mis:rv_rod:v-u 0
ньому	він 		pron:pers:m:3:v_mis:an  0
доступне    доступний   adj:n:v_naz:compb  10
всім	весь 		adj:p:v_dav:&pron:dem  0
прошаркам  прошарок     noun:p:v_dav  0
населення  населення  	noun:n:v_rod  0
починаючи	починати   advp:imperf  0
від	від 	prep:rv_rod  0
школярів	школяр 	noun:p:v_rod:anim  20
та	та 	conj:coord  0
студентів	студент noun:p:v_rod:anim  20
туристів	турист  noun:p:v_rod:anim  45
та	та 	conj:coord  0
сімейних	сімейний  adj:p:v_rod 	 50
пар	 	пар	noun:p:v_rod 30
з	з 	prep:rv_rod:rv_zna:rv_oru  0
дітьми	діти    noun:p:v_oru:anim  40
незалежно	незалежно adv  10
від	від 	prep:rv_rod  0
рівня	рівень   noun:m:v_rod  0
доходу	доход   noun:m:v_rod  50
А	а 	conj:coord  0
ось	ось 	part  0
у	у	prep:rv_zna:rv_mis:rv_rod:v-u  0
нас	ми 	pron:pers:p:1:v_mis:anim  0
чомусь	чомусь  adv:&pron:ind  0
ситуація	ситуація noun:f:v_naz  0
абсолютно	абсолютно  adv  0
протилежна	протилежний adj:f:v_naz  -15
для	для 	prep:rv_rod  0
наших	наш 	adj:p:v_rod:&pron:pos  15
дітей	діти 	noun:p:v_rod:anim 40
та	та 	conj:coord  0
дорослих   дорослий    noun:p:v_rod:anim  10
похід	похід 	noun:m:v_naz  0
в	в 	prep:rv_zna:rv_mis:rv_rod:v-u  0
Макдональс	- 	-  -30
це	цей 	adj:n:v_naz:&pron:dem  0
дійсно	дійсно  adv  0
свято	свято   noun:n:v_naz  30
Витрати	витрата noun:p:v_naz  -10
на	на 	prep:rv_zna:rv_mis  0
смачну	смачний adj:f:v_zna:compb  30
але	але 	conj:coord  0
все	все	part:v-u 0
таки	таки 	part  0
не	не 	part  0
дуже	дуже    adv  10
корисну	корисний adj:f:v_zna:compb  20
їжу	їжа 	noun:f:v_zna  50
явно	явно 	adv  5
завищені	завищений adjp:pasv:past:p:v_naz  -10
Доброго	добрий  adj:m:v_rod:compb  15
дня	день    noun:m:v_rod  0
У	у 	prep:rv_zna:rv_mis:rv_rod:v-u  0
місті	місто 	noun:n:v_mis  0
Львові	Львів 	noun:m:v_mis  15
мав	мати 	verb:past:m:imperf  0
відбутись	відбутися verb:rev:inf:perf  0
хеппі	- 	-  40
парк	парк 	noun:m:v_naz   0
діти	діти 	noun:p:v_naz:anim  40
чекали	чекати 	verb:past:p:imperf  0
цього	цей     adj:m:v_zna:&pron:dem  0
свята	 свято   noun:p:v_zna 30
але	але 	conj:coord  0
на	на жаль <insert>  0
жаль	на жаль </insert>  -30
моя	мій 	adj:f:v_naz:&pron:pos  35
дитина	дитина 	noun:f:v_naz:anim  40
була	бути    verb:past:f:imperf  0
розчарована	розчарований adjp:pasv:past:f:v_naz  -40
оскільки	оскільки conj:subord  0
не	не      part  0
було	бути    verb:past:n:imperf  0
нічого	ніщо    pron:neg:v_rod -10
з	з 	prep:rv_rod:rv_zna:rv_oru  0
того	той 	adj:m:v_rod:&pron:dem  0
що	що 	pron:int:rel:n:v_naz  0
рекламували	рекламувати 	verb:past:p:perf  0
Було	бути 	verb:past:n:imperf  0
