Buryak 20-30 male
Були		бути 	verb:past:p:imperf  0
Цей			цей 	adj:m:v_naz:&pron:dem 	  0
1			1 		number  0
10			10 		number  0
10			10 		number  0
10			10 		number  0
1000%		1000% 	number  0
2			2 		number  0
2013		2013 	number  0
4			4 		number  0
40			40 		number  0
5			5 		number  0
I			I 		number (і conj:coord) 0
А			а 		conj:coord  0
а			а 		conj:coord 	 0
А			а 		conj:coord 	 0
а			а 		conj:coord 	 0
а			а 		conj:coord 	 0
а			а 		conj:coord 	 0
а			а 		conj:coord 	 0
а			а 		conj:coord 	 0
адекватний	адекватний 	adj:m:v_naz:compb 	 10
Але			але 	conj:coord  10
але			але 	conj:coord 10
але			але 	conj:coord  10
але			але 	conj:coord 	 10
Але			але 	conj:coord 	 10
але			але 	conj:coord 	 10
Але			але 	conj:coord 	 10
але			але 	conj:coord 	 10
але			але 	conj:coord 	 10
але			але 	conj:coord  10
але			але 	conj:coord 	 10
Але			але 	conj:coord 	 10
але			але 	conj:coord 	 10
Але			але 	conj:coord 	 10
але			але 	conj:coord 	 10
Антураж		антураж 	noun:m:v_naz 	 15
атмосфера	атмосфера 	noun:f:v_naz  0
атмосфера	атмосфера 	noun:f:v_naz  0
атмосфера	атмосфера 	noun:f:v_naz  0
атмосфера	атмосфера 	noun:f:v_naz  0
атмосферу	атмосфера 	noun:f:v_zna  0
б			б 		part  0
б			б 		part  0
б			б 		part  0
б			б 		part  0
багато		багато 	adv 	numr:p:v_naz:&pron:ind 	 25
багато		багато 	adv numr:p:v_naz:&pron:ind 	 25
багато		багато 	numr:p:v_naz:&pron:ind 	 25
багато		багато 	numr:p:v_naz:&pron:ind  25
Багато		багато 	numr:p:v_naz:&pron:ind 	 25
бажаю		бажати 	verb:pres:s:1:imperf  25
бажаючих	бажаючий 	adjp:actv:pres:p:v_rod:bad	 25
байдужим	байдужий 	adj:p:v_dav:compb  -25
бал			бал 	noun:m:v_naz 	 1
бали		бал 	noun:p:v_naz 	 11
Барменам	бармен 	noun:p:v_dav:anim  0
батіг		батіг 	noun:m:v_naz 	noun:m:v_zna  10
батогом		батіг 	noun:m:v_oru  10
батогом		батіг 	noun:m:v_oru  10
Бачила		бачити 	verb:past:f:imperf  0
били		бити 	verb:past:p:imperf  0
бичі		бичий 	adj:p:v_zna  0
бідолахи	бідолаха 	noun:p:v_naz:anim  -26
білі		білий 	adj:p:v_naz:compb 	adj:p:v_zna:compb  -26
біля		біля 	adv  0
Біля		біля 	adv  0
			біль 	noun:f:v_dav 	noun:f:v_mis 	noun:f:v_rod (бити verb:past:p:imperf ) -40
Більш		багато 	adv:compr  6
більшого	великий adj:m:v_zna:compr 	 6
боліла		боліти 	verb:past:f:imperf 	 -26
боляче		боляче 	adv -35
боляче		боляче 	adv  -35
брати		брати 	verb:inf:imperf  12
був			бути 	verb:past:m:imperf  0
буде		бути 	verb:futr:s:3:imperf  0
будень		будень 	noun:m:v_naz 	 0
буду		бути 	verb:futr:s:1:imperf  0
Будучи		будучи 	adjp:actv:past:bad  0
була		бути 	verb:past:f:imperf  0
були		бути 	verb:past:p:imperf  0
були		бути 	verb:past:p:imperf  0
були		бути 	verb:past:p:imperf  0
були		бути 	verb:past:p:imperf  0
були		бути 	verb:past:p:imperf  0
були		бути 	verb:past:p:imperf  0
Були		бути 	verb:past:p:imperf  0
було		бути 	verb:past:n:imperf  0
було		бути 	verb:past:n:imperf  0
Було		бути 	verb:past:n:imperf  0
було		бути 	verb:past:n:imperf  0
Було		бути 	verb:past:n:imperf  0
в			в 		prep:rv_mis:v-u  0
в			в 		prep:rv_mis:v-u  0
в			в 		prep:rv_mis:v-u  0
в			в 		prep:rv_mis:v-u   0
в			в 		prep:rv_mis:v-u  0
в			в 		prep:rv_mis:v-u   0
в			в 		prep:rv_mis:v-u  0
в			в 		prep:rv_mis:v-u  0
В			в 		prep:rv_mis:v-u  0
в			в 		prep:rv_mis:v-u  0
в			в 		prep:rv_mis:v-u  0
в			в 		prep:rv_mis:v-u   0
в			в 		prep:rv_mis:v-u   0
в			в 		prep:rv_zna:v-u  0
в			в		prep:rv_mis:v-u  0
вагався		вагатися 	verb:rev:past:m:imperf  -16
важко		важко 	adv:compb  -26
важко		важко 	adv:compb  -26
важливим	важливий 	adj:m:v_oru:compb 	  24
важливіше	важливо adv:compr  24
вам			ви 		pron:pers:p:2:v_dav:anim  0
вам			ви 		pron:pers:p:2:v_dav:anim 0
вам			ви 		pron:pers:p:2:v_dav:anim 0
варто		варто 	predic  0
варто		варто 	predic  0
варто		варто 	predic  0
варто		варто 	predic  0
варто		варто 	predic  0
вас			ви 		pron:pers:p:2:v_mis:anim 	 0
вас			ви 		pron:pers:p:2:v_rod:anim	 0
вас			ви 		pron:pers:p:2:v_rod:anim 	 0
Вас			ви 		pron:pers:p:2:v_rod:anim	 0
вас			ви 		pron:pers:p:2:v_zna:anim  0
вас			ви 		pron:pers:p:2:v_zna:anim  0
ваш			ваш 	adj:m:v_naz:&pron:pos 	 0
Вашим		ваш 	adj:m:v_oru:&pron:pos   0
вважаю		вважати verb:pres:s:1:imperf  0
ввечері		ввечері adv:v-u  0
Велике		великий adj:n:v_naz:compb 	 9
великий		великий adj:m:v_naz:compb 	 9
величезний	величезний 	adj:m:v_naz 	 9
Верховну	верховний 	adj:f:v_zna  0
весело		весело 	adv:compb  50
весело		весело 	adv:compb  50
вже			вже 	adv:v-u  0
вжити		вжити 	verb:inf:perf:v-u  0
ви			ви 		pron:pers:p:2:v_naz:anim  0
вибаглива	вибагливий 	adj:f:v_naz:compb  10
вибір		вибір 	noun:m:v_naz 	 10
вигляд		вигляд 	noun:m:v_naz 	 0
викличе		викликати 	verb:futr:s:3:perf  0
викрикувати	викрикувати 	verb:inf:imperf  0
вимагаємо	вимагати 	verb:pres:p:1:imperf  -20
випивки		випивка noun:f:v_rod  -30
виставою	вистава noun:f:v_oru  10
вистачило	вистачити 	verb:past:n:perf  10
витримано	витримати 	verb:impers:perf  10
вишукано	вишукано 	adv:compb  20
від			від 	prep:rv_rod  0
від			від 	prep:rv_rod  0
від			від 	prep:rv_rod  0
від			від 	prep:rv_rod  0
відбувається	відбуватися 	verb:rev:pres:s:3:imperf  0
відвідали	відвідати 	verb:past:p:perf  0
відвідати	відвідати 	verb:inf:perf  0
відвідувань	відвідування 	noun:p:v_rod  0
Відвідувати	відвідувати 	verb:inf:imperf  0
відвідувачів	відвідувач 	noun:p:v_rod:anim 	  0
відгук		відгук 	noun:m:v_naz 	 0
відгукуються	відгукуватися 	verb:rev:pres:p:3:imperf  0
відмовився	відмовитися 	verb:rev:past:m:perf  -14
відповідає	відповідати 	verb:pres:s:3:imperf  0
відповідний	відповідний 	adj:m:v_naz:compb 	 0
відповідних	відповідний 	adj:p:v_rod:compb 	 0
відповідність	відповідність 	noun:f:v_naz 0
відповідно	відповідно 	prep:rv_dav  0
Відразу		відразу adv 0
відразу		відразу adv  0
відреагує	відреагувати 	verb:futr:s:3:perf  0
відчуття	відчуття 	noun:n:v_naz   0
відшмагала	відшмагати 	verb:past:f:perf  -20
відшмагала	відшмагати 	verb:past:f:perf  -20
відшмагала	відшмагати 	verb:past:f:perf  -20
відшмагали	відшмагати 	verb:past:p:perf  -20
відшмагали	відшмагати 	verb:past:p:perf  -20
відшмагати	відшмагати 	verb:inf:perf  -20
