Fedorchak 20-30 male
Цієї	      pron:f_rod  10
п'ятниці	  noun:f:v_rod   30
з	          prep:rv_rod:rv_zna:rv_oru  10
задоволенням  noun:n:v_oru  50
замовила	  verb:past:f:perf  40
сет	          noun:m:v_zna  50
із	          prep:rv_rod:rv_zna:rv_oru  20
собою	      pron:refl:m:v_oru                        20
зробили	      verb:past:p:perf  20
швидко	      adv:compb  40
і	          conj:coord  20
у	          prep:rv_zna:rv_mis:rv_rod:v-u  20
вартість	  noun:f:v_zna  40
як	          adv:&pron:int:rel  10
мені	      pron:pers:s:1:v_dav:anim  10
здалося	      verb:rev:past:n:perf  10
навіть	      part  10
не	          part  -20
включили	  verb:past:p:perf:v-u  10
упаковку	  noun:f:v_zna   30
сет	          noun:m:v_naz   30
дуже	      adv   40
сподобався	  verb:rev:past:m:perf  50
брали	      verb:past:p:imperf  10
за	          prep:rv_rod:rv_zna:rv_oru  10
169	          number  20
грн	          noun:p:v_zna:nv:abbr  20
тільки	      conj:subord  -5
от	          part  -5
вино	      noun:n:v_naz  35
з	          prep:rv_rod:rv_zna:rv_oru  15
собою	      pron:refl:n:v_oru  15
у	          prep:rv_zna:rv_mis:rv_rod:v-u  15
пластику	  noun:m:v_mis  25
не	          part  -15
дуже	      adv  45
виглядало	  verb:past:n:imperf  25
А	          conj:coord   -5
загалом	      adv  35
за	          prep:rv_rod:rv_zna:rv_oru 15
сервіс	      noun:m:v_zna  25
та	          conj:coord  15
сушки	      noun:p:v_zna  35
ставлю	      verb:pres:s:1:imperf  25
5	5         number  50
Насправді	  adv  10
власники	  noun:p:v_naz:anim  20
закладів	  noun:p:v_rod (zna)  20
мережі	      noun:p:v_zna  20
платять	      verb:pres:p:3:imperf  30
не	          part  -20
стільки	      numr:p:v_zna:&pron:ind  10
за	          prep:rv_rod:rv_zna:rv_oru 10
ім'я	      noun:n:v_zna  10
скільки	      numr:p:v_zna:&pron:ind  10
за	          prep:rv_rod:rv_zna:rv_oru 10
організацію	  noun:f:v_zna  20
всього	      adj:m:v_rod:&pron:dem                            30
ресторанного  adj:m:v_rod                              30
Той	          adj:m:v_naz:&pron:dem          20
факт	      noun:m:v_naz  20
що	          conj:subord   20
таки	      part  10
платять	      verb:pres:p:3:imperf  20
натякає	      verb:pres:s:3:imperf  -10
нам	          pron:pers:p:1:v_dav:anim 10
на	          prep:rv_zna:rv_mis  10
цього         adj:n:v_rod:&pron:dem  10
проекту	      noun:m:v_rod  20
А	          conj:coord  10
успішність	  noun:f:v_naz                         40
без	          prep:rv_rod  -20
клієнтів	  noun:p:v_zna:anim  30
Зазвичай	  adv  30
на	          prep:rv_zna:rv_mis  10
проспекті	  noun:m:v_mis  30
Шевченка	  noun:m:v_rod:anim:lname  50
зайнята	      adjp:pasv:past:f:v_naz  -30
але	          conj:coord  -20
в	          prep:rv_zna:rv_mis:rv_rod:v-u  10
центрі	      noun:m:v_mis  40
куди	      adv:&pron:int:rel  10
варто	      predic  40
ходити	      verb:inf:imperf  30
пішки	      adv  40
це	          adj:n:v_naz:&pron:dem  10
не	          part  -30
проблема	  noun:f:v_naz  -40
ілюмінація	  noun:f:v_naz  40
нового	      adj:m:v_zna:compb  40
ресторанчику  noun:m:v_mis  40
здорово	      adv:compb  40
освіжила	  verb:past:f:perf  40
фасад	      noun:m:v_zna  40
похмурої	  adj:f:v_rod:compb  -40
профспілкової adj:f:v_rod  20
будівлі	      noun:f:v_dav  30
З	          prep:rv_rod:rv_zna:rv_oru  10
увагою	      noun:f:v_oru  20
до	          prep:rv_rod  10
нових	      adj:p:v_zna:compb  40
відвідувачів  noun:p:v_zna:anim  40
в	          prep:rv_zna:rv_mis:rv_rod:v-u  10
них	          pron:pers:p:3:v_mis:anim  10
все	          adj:n:v_zna:&pron:dem  10
гаразд        noun:m:v_zna  30
