Цієї	      pron:f_rod 
п'ятниці	  noun:f:v_rod  
з	          prep:rv_rod:rv_zna:rv_oru 
задоволенням  noun:n:v_oru 
замовила	  verb:past:f:perf 
сет	          noun:m:v_zna 
із	          prep:rv_rod:rv_zna:rv_oru 
собою	      pron:refl:m:v_oru                       
зробили	      verb:past:p:perf 
швидко	      adv:compb 
і	          conj:coord 
у	          prep:rv_zna:rv_mis:rv_rod:v-u 
вартість	  noun:f:v_zna 
як	          adv:&pron:int:rel 
мені	      pron:pers:s:1:v_dav:anim 
здалося	      verb:rev:past:n:perf 
навіть	      part 
не	          part 
включили	  verb:past:p:perf:v-u 
упаковку	  noun:f:v_zna  
сет	          noun:m:v_naz  
дуже	      adv  
сподобався	  verb:rev:past:m:perf 
брали	      verb:past:p:imperf 
за	          prep:rv_rod:rv_zna:rv_oru 
169	          number 
грн	          noun:p:v_zna:nv:abbr 
тільки	      conj:subord 
от	          part 
вино	      noun:n:v_naz 
з	          prep:rv_rod:rv_zna:rv_oru 
собою	      pron:refl:n:v_oru 
у	          prep:rv_zna:rv_mis:rv_rod:v-u 
пластику	  noun:m:v_mis 
не	          part 
дуже	      adv 
виглядало	  verb:past:n:imperf 
А	          conj:coord  
загалом	      adv 
за	          prep:rv_rod:rv_zna:rv_oru
сервіс	      noun:m:v_zna 
та	          conj:coord 
сушки	      noun:p:v_zna 
ставлю	      verb:pres:s:1:imperf 
5	5         number 
Насправді	  adv 
власники	  noun:p:v_naz:anim 
закладів	  noun:p:v_rod (zna) 
мережі	      noun:p:v_zna 
платять	      verb:pres:p:3:imperf 
не	          part 
стільки	      numr:p:v_zna:&pron:ind 
за	          prep:rv_rod:rv_zna:rv_oru
ім'я	      noun:n:v_zna 
скільки	      numr:p:v_zna:&pron:ind 
за	          prep:rv_rod:rv_zna:rv_oru
організацію	  noun:f:v_zna 
всього	      adj:m:v_rod:&pron:dem                           
ресторанного  adj:m:v_rod                             
Той	          adj:m:v_naz:&pron:dem         
факт	      noun:m:v_naz 
що	          conj:subord  
таки	      part 
платять	      verb:pres:p:3:imperf 
натякає	      verb:pres:s:3:imperf 
нам	          pron:pers:p:1:v_dav:anim
на	          prep:rv_zna:rv_mis 
цього         adj:n:v_rod:&pron:dem 
проекту	      noun:m:v_rod 
А	          conj:coord 
успішність	  noun:f:v_naz                        
без	          prep:rv_rod 
клієнтів	  noun:p:v_zna:anim 
Зазвичай	  adv 
на	          prep:rv_zna:rv_mis 
проспекті	  noun:m:v_mis 
Шевченка	  noun:m:v_rod:anim:lname 
зайнята	      adjp:pasv:past:f:v_naz 
але	          conj:coord 
в	          prep:rv_zna:rv_mis:rv_rod:v-u 
центрі	      noun:m:v_mis 
куди	      adv:&pron:int:rel 
варто	      predic 
ходити	      verb:inf:imperf 
пішки	      adv 
це	          adj:n:v_naz:&pron:dem 
не	          part 
проблема	  noun:f:v_naz 
ілюмінація	  noun:f:v_naz 
нового	      adj:m:v_zna:compb 
ресторанчику  noun:m:v_mis 
здорово	      adv:compb 
освіжила	  verb:past:f:perf 
фасад	      noun:m:v_zna 
похмурої	  adj:f:v_rod:compb 
профспілкової adj:f:v_rod 
будівлі	      noun:f:v_dav 
З	          prep:rv_rod:rv_zna:rv_oru 
увагою	      noun:f:v_oru 
до	          prep:rv_rod 
нових	      adj:p:v_zna:compb 
відвідувачів  noun:p:v_zna:anim 
в	          prep:rv_zna:rv_mis:rv_rod:v-u 
них	          pron:pers:p:3:v_mis:anim 
все	          adj:n:v_zna:&pron:dem 
гаразд        noun:m:v_zna 
зустрінуть	  verb:futr:p:3:perf 
підберуть	  verb:futr:p:3:perf 
столик	      noun:m:v_zna 
запропонують  verb:futr:p:3:perf 
меню	      noun:n:v_zna:nv  
І	          conj:coord 
потім	      adv:&pron:dem 
вам	          pron:pers:p:2:v_dav:anim
залишають	  verb:pres:p:3:imperf 
дзвінок	      noun:m:v_zna
на	          prep:rv_zna:rv_mis 
столику	      noun:m:v_mis 
аби	          conj:subord 
ця	          adj:f:v_naz:&pron:dem 
увага	      noun:f:v_naz 
не	          part 
була	      verb:past:f:imperf 
втрачена	  adjp:pasv:past:f:v_naz:v-u 
протягом	  noun:m:v_oru 
вечора	      noun:m:v_rod 
Отже	      part 
були	      verb:past:p:imperf 
та	          conj:coord  
то	          conj:subord 
сервісу	      noun:m:v_dav  
на	          prep:rv_zna:rv_mis 
користь	      noun:f:v_zna 
В	          prep:rv_zna:rv_mis:rv_rod:v-u 
ресторанчику  noun:m:v_mis 
однозначно	  adv 
симпатично	  adv:compb 
і	          conj:coord  
комфортно	  adv:compb 
Хіба	      part 
якщо	      conj:subord 
деякі	      adj:p:v_naz
столики	      noun:p:v_naz 
здаються	  verb:rev:pres:p:3:imperf 
вам	          pron:pers:p:2:v_dav:anim
занадто	      adv 
близько	      adv:compb 
розміщеними	  adjp:pasv:past:p:v_oru 
можу	      verb:unknown 
рекомендувати verb:inf:imperf 
бронювати	  verb:inf:imperf 
дивани	      noun:p:v_zna 
Ніщо	      pron:neg:v_naz 
в	          prep:rv_zna:rv_mis:rv_rod:v-u 
інтер'єрі	  noun:m:v_mis 
цього	      adj:n:v_rod:&pron:dem 
ресторану	  noun:m:v_rod 
не	          part 
вибивається	  verb:rev:pres:s:3:imperf 
з	          prep:rv_rod:rv_zna:rv_oru 
обраної	      adjp:pasv:past:f:v_rod 
стилістики	  noun:f:v_rod 
і	          conj:coord  
не	          part 
дратує	      verb:pres:s:3:imperf 
мережеві	  adj:p:v_zna 
заклади	      noun:p:v_zna        
дійсно	      adv 
відпрацьовують verb:pres:p:3:imperf 
з	          prep:rv_rod:rv_zna:rv_oru 
дизайнерами	  noun:p:v_oru:anim 
красу	      noun:f:v_zna 
А	          part 
притаманні	  adj:p:v_naz 
Мафії	      noun:f:v_dav 
величезні	  adj:p:v_naz 
вікна	      noun:p:v_naz 
приваблюють	  verb:pres:p:3:imperf 
до	          prep:rv_rod 
та	          conj:coord 
поодиноких	  adj:p:v_zna 
відвідувачів  noun:p:v_zna:anim 
що	          pron:int:rel:n:v_zna 
полюбляють	  verb:pres:p:3:imperf 
милуватися	  verb:rev:inf:imperf 
старим	      adj:m:v_oru:compb 
Львовом	      noun:m:v_oru 
вдень	      adv:v-u 
І	          conj:coord 
це	          adj:n:v_naz:&pron:dem
попри	      prep:rv_zna 
те	          adj:n:v_zna:&pron:dem
що	          conj:subord 
концепт	      noun:m:v_naz 
ресторану	  noun:m:v_rod 
сімейний	  adj:m:v_naz 
Справді	      adv 
тут	          adv:&pron:dem 
нерідко	      adv 
відпочивають  verb:pres:p:3:imperf 
родинами	  noun:p:v_oru 
вкупі	      adv:v-u 
з	          prep:rv_rod:rv_zna:rv_oru
галасливою	  adj:f:v_oru 
малечею	      noun:f:v_oru 
Ще	          part 
частими	      adj:p:v_oru:compb 
відвідувачами noun:p:v_oru:anim 
є	          verb:pres:s:3:imperf 
туристи	      noun:p:v_naz:anim 
та	          conj:coord 
студенти	  noun:p:v_naz:anim 
Заклад	      noun:m:v_naz 
з	          prep:rv_rod:rv_zna:rv_oru
італійською	  adj:f:v_oru 
та	          conj:coord 
японською	  adj:f:v_oru 
кухнями	      noun:p:v_oru 
швидко	      adv:compb 
став          verb:past:m:perf 
відомим	      adj:m:v_oru:compb  
Чим	          pron:int:rel:n:v_oru 
викликана	  adjp:pasv:past:f:v_naz 
така	      adj:f:v_naz:&pron:def 
популярність  noun:f:v_zna 
Добрими	      adj:p:v_oru:compb 
стравами	  noun:p:v_oru 
І	          conj:coord 
взагалі	      adv:v-u 
відтепер	  adv:&pron:dem 
саме	      part
в	          prep:rv_zna:rv_mis:rv_rod:v-u 
Мафії	      noun:f:v_mis 
найсмачніша	  adj:f:v_naz:super 
піца	      noun:f:v_naz 
А	          conj:coord 
екзотичні	  adj:p:v_naz:compb 
поєднання	  noun:n:v_naz
наприклад	  insert 
з	          prep:rv_rod:rv_zna:rv_oru
малосольною	  adj:f:v_oru 
рибою	      noun:f:v_oru:anim 
виявляються	  verb:rev:pres:p:3:imperf 
більш	      adv:compr 
ніж	          conj:subord 
вдалими	      adj:p:v_oru:compb:v-u 
І	          conj:coord 
це	          adj:n:v_naz:&pron:dem
дифірамби	  noun:p:v_zna 
від	          prep:rv_rod 
їжі	          noun:f:v_rod 
зразка	      noun:m:v_rod 
Великі	      adj:p:v_naz:compb 
компанії	  noun:p:v_naz
ж	          conj:coord 
підкупляють	  verb:pres:p:3:imperf 
гігантськими  adj:p:v_oru 
піцами	      noun:p:v_oru 
на	          prep:rv_zna:rv_mis 
весь	      adj:m:v_zna:&pron:dem
стіл	      noun:m:v_zna 
Ну	          part 
і	          conj:coord
бонусами	  noun:p:v_oru 
від	          prep:rv_rod 
закладу	      noun:m:v_rod 
в	          prep:rv_zna:rv_mis:rv_rod:v-u 
тому	      conj:subord  
числі	      noun:n:v_mis 
алкогольними  adj:p:v_oru 
Салати	      noun:p:v_naz
пасти	      noun:p:v_naz 			  
лосось	      noun:m:v_naz:anim 
м'ясо	      noun:n:v_naz
десерти	      noun:p:v_naz  
можна	      predic 
обирати	      verb:inf:imperf 
в	          prep:rv_zna:rv_mis:rv_rod:v-u 
ілюстрованому adjp:pasv:past:n:v_mis 
меню	      noun:n:v_mis:nv 	         
Відповідність noun:f:v_naz 
дотримана	  adjp:pasv:past:f:v_naz 
А	          conj:coord
суші	      noun:p:v_zna 
окрім	      prep:rv_rod 
класичних	  adj:p:v_zna 
пропонують	  verb:pres:p:3:imperf 
також	      conj:coord 
з	          prep:rv_rod:rv_zna:rv_oru
мигдалем	  noun:m:v_oru 
або	          conj:coord 
апельсинами	  noun:p:v_oru 
Повечеряти	  verb:inf:perf 
загалом	      adv
можна	      predic  
як	          conj:subord 
за	          prep:rv_rod:rv_zna:rv_oru
60	          number 
грн	          noun:p:v_zna:nv:abbr 
так	          conj:coord:subord 
і	          conj:coord 
за	          prep:rv_rod:rv_zna:rv_oru
200	          number 
Присутні	  adj:p:v_naz
пропозиції	  noun:p:v_naz 
на	          part 
будь-який	  adj:m:v_zna:&pron:ind 
гаманець	  noun:m:v_zna 
Принаймні	  adv 
поки	      сonj:subord
що	          conj:subord 
Тому	      conj:subord
поспішайте	  verb:impr:p:2:imperf 
і	          conj:coord 
сподіваюсь	  verb:rev:pres:s:1:imperf
що	          conj:subord 
вільні	      adj:p:v_zna:compb 
місця	      noun:p:v_zna 
ще	          part 
можна	      predic 
буде	      verb:futr:s:3:imperf 
застати	      verb:inf:perf  
І	          conj:coord 
так	          part 
там	          adv:&pron:dem 
