сиру	  	сир		 		noun:m:v_rod
а	  		а 		  		conj:coord 
не	  		не 		  		part 
з	  		з 		  		prep:rv_rod
магазинного магазинний    	adj:m:v_rod 
бо	  		бо 		  		conj:subord 
пахнув	  	пахнути 	  	verb:past:m:perf
і	  		і 		 	 	conj:coord 
смакував  	смакувати 	  	verb:past:m:imperf 
саме	  	саме		  	part
якось	  	якось 	  		adv
по-домашному по-домашному   adv
замовили 	замовити 		verb:past:p:1:perf
на	  		на 		  		prep:rv_zna 
обід	  	обід 		  	noun:m:v_zna
в	  		в 		  		prep:rv_mis:v-u 
привезли  	привезти 	  	verb:past:p:perf 
вчасно	  	вчасно 	  		adv 
Було	  	бути		  	verb:past:n:imperf 
дуже	  	дуже		  	adv  
смачно	  	смачно 	  		adv:compb 
Це	  		цей 		  	pron:dem
жах	  		жах 		  	noun:m:v_naz  
Довго	  	довго 	  		adv:compb 
чекала	  	чекати 	  		verb:past:f:imperf
щоб	  		щоб 		  	conj:subord 
замовлення 	замовлення 	  	noun:n:v_zna
у	  		у 		  		prep:rv_mis:v-u 
обідній	  	обідній 	  	adj:f:v_mis
час	  		час 		  	noun:m:v_zna
Ланч	  	ланч 		  	noun:m:v_naz:bad 
представляв представляти  	verb:past:m:imperf 
собою	  	себе 		  	pron:refl:m:v_oru 
спробу	  	спроба 	  		noun:f:v_zna 
не	  		не 		  		part 
привернути 	привернути 	  	verb:inf:perf 
мою	  		мій 		  	pron:pos 
увагу	  	увага 	  		noun:f:v_zna 
до	  		до 		  		prep:rv_rod 
місця	  	місце 	  		noun:n:v_rod 
а	  		а 		  		conj:coord 
відвернути 	відвернути 	  	verb:inf:perf 
Суп	  		суп 		  	noun:m:v_naz 
з	  		з 		  		prep:rv_rod
води	  	вода 		  	noun:f:v_rod 
свинина	  	свинина 	  	noun:f:v_naz 
з	  		з 		  		prep:rv_rod 
усіх	  	увесь 	  		pron:dem 
куточків  	куточок 	  	noun:p:v_rod 
що	  		що 		  		pron:int:rel:n:v_naz
зосталося 	зостатися 	  	verb:rev:past:n:perf 
у	  		у 		  		prep:rv_mis:v-u 
салаті	  	салат		  	noun:m:v_mis  
Більшість 	більшість 	  	noun:f:v_naz 
це	  		цей 		  	pron:dem 
а	  		а 		  		conj:coord 
не	  		не 		  		part 
інші	  	інший 	  		pron:def 
овочі	  	овоч 		  	noun:p:v_zna
Меренги	  	меренга 	  	noun:p:v_naz
та	  		та		  		conj:coord 
кава	  	кава		  	noun:f:v_naz 
більш	  	багато	  		adv:compr 
нормальні 	нормальний 	  	adj:p:v_naz 
І	  		і 		  		conj:coord 
залі	  	зал		  		noun:m:v_mis 
для	  		для 		  	prep:rv_rod 
курців	  	курець 	  		noun:p:v_rod:anim 
не	  		не 		  		part 
працює	  	працювати 	  	verb:pres:s:3:imperf 
вентиляція 	вентиляція 	  	noun:f:v_naz 
Дуже	  	дуже		  	adv  
приємні	  	приємний 	  	adj:p:v_naz:compb 
враження  	враження 	  	noun:n:v_naz 
від	  		від 		  	prep:rv_rod 
святкування святкування   	noun:n:v_rod
Новорічної 	новорічний 	  	adj:f:v_rod 
ночі	  	ніч 		  	noun:f:v_rod
в	  		в 		  		prep:rv_mis:v-u 
цьому	  	цей 		  	pron:dem 
ресторані  	ресторан 	  	noun:m:v_mis 
Величезна  	величезний 	  	adj:f:v_naz
вдячність  	вдячність 	  	noun:f:v_naz 
персоналу  	персонал 	  	noun:m:v_dav 
й	  		й 		  		conj:coord 
окремо	  	окремо 	  		adv 
Юлії 		Юлія 			noun:f:v_dav:anim  
Всі	  		весь 		  	pron:dem
надзвичайно надзвичайно   	adv 
уважні	  	уважний 	  	adj:p:v_naz:compb 
приємні	  	приємний 	  	adj:p:v_naz:compb 
й	  		й 		  		conj:coord 
професійні  професійний   	adj:p:v_naz:compb 
А	  		а 		  		conj:coord 
кухня 		кухня 			noun:f:v_naz
це 			це 				part
взагалі	  	взагалі 	  	adv:v-u 
вище	  	високий 	  	adj:n:v_naz:compr 
всілякої  	всілякий 	  	pron:gen:v-u 
похвали	  	похвала 	  	noun:f:v_rod
До	  		до 		  		prep:rv_rod 
сих	  		сей 		  	pron:p:v_rod:rare
пір	  		пора 		  	noun:p:v_rod 
згадуємо  	згадувати 	  	verb:pres:p:1:imperf 
і	  		і 		  		conj:coord 
бачимо	  	бачити 	  		verb:pres:p:1:imperf
у	  		у 		  		prep:rv_mis:v-u 
снах	  	сон  		  	noun:p:v_mis 
З	  		з 		  		prep:rv_oru 
великим	  	великий 	  	adj:n:v_oru:compb
задоволенням задоволення   	noun:n:v_oru 
приїдемо  	приїхати 	  	verb:futr:p:1:perf 
до	  		до 		  		prep:rv_rod
Вас	  		ви 		  		pron:pers:p:2:v_rod:anim 
іще	  		іще 		  	adv 
раз	  		раз 		  	noun:m:v_naz
З	  		з 		  		prep:rv_oru
повагою	  	повага 	  		noun:f:v_oru 
і	  		і 		  		conj:coord 
вдячністю  	вдячність 	  	noun:f:v_oru 	
гості		гість 	  		noun:p:v_naz:anim
з	  		з 		  		prep:rv_zna
Дніпропетровську Дніпропетровськ noun:m:v_mis
Дякую	  	дякувати 	  	verb:pres:s:1:imperf 
дуже	  	дуже		  	adv  
сподобався 	сподобатися 	 verb:rev:past:m:perf 
стейк	  	стейк 	  		noun:m:v_zna
з	  		з 			  	prep:rv_rod
яловичини 	яловичина 	  	noun:f:v_rod 
Гадаю	  	гадати 	  		verb:pres:s:1:imperf 
що	  		що 		  		conj:subord 
інші	  	інший 	  		pron:def 
страви	  	страва 	  		noun:p:v_naz
такі	  	такий 	  		pron:def 
ж	  		ж 		  		part
смачні	  	смачний 	  	adj:p:v_naz:compb 
