Harmider 20-30 female
Була			бути   			verb:past:f:imperf 0
у				у 				prep:rv_zna:rv_mis:rv_rod:v-u  0
суботу			субота 			noun:f:v_zna  0
у				у 				prep:rv_zna:rv_mis:rv_rod:v-u  0
піцерії			піцерія 		noun:f:v_mis 0
Челентано		Челентано 		noun:m:v_naz:nv:np:anim:lname 0
біля			біля 			adv  0
МЕТРО			метро 			noun:n:v_rod:nv  0
на				на 				prep:rv_zna:rv_mis  0
Дж				Дж 				noun:m:v_rod:nv:abbr 0
Вашингтона		Вашингтон 		noun:m:v_rod 0
колишня			колишній 		adj:f:v_naz  0
Батальна		батальний 		adj:f:v_naz 0
Враження		враження 		noun:n:v_naz  0
жахливі			жахливий 		adj:p:v_naz:compb 0
піцу			піца 			noun:f:v_zna  0
готував			готувати 		verb:past:m:imperf  0
якийсь			якийсь 			adj:m:v_naz:&pron:ind  0
нервовий		нервовий 		adj:m:v_naz  -20
хлопчина		хлопчина 		noun:f:v_naz:anim 0
огризався		огризатися 		verb:rev:past:m:imperf -20
коктейль		коктейль 		noun:m:v_zna  0
готували		готувати 		verb:past:p:imperf  0
ще				ще 				part  0
довше			довго 			adv:compr  0
ніж				ніж 			conj:subord 0
при				при 			prep:rv_mis 0
тому			той 			adj:m:v_dav:&pron:dem 0
що				що 				conj:subord  0
відвідувачів	відвідувач 		noun:p:v_rod:anim  10
не				не 				part  0
було			бути 			verb:past:n:imperf  0
більше			багато 			adv:compr 0
Касирка			касирка 		noun:f:v_naz:anim 0
це				цей 			adj:n:v_naz:&pron:dem 0
взагалі			взагалі 		adv:v-u  0
ЩОСЬ			щось 			pron:ind:n:v_zna -10
Цілий			цілий 			adj:m:v_naz -10
час				час 			noun:m:v_naz  0
мого			мій 			adj:m:v_rod:&pron:pos  0
перебування		перебування 	noun:n:v_rod  0
повисала		повисати 		verb:past:f:imperf  -10
на				на 				prep:rv_zna:rv_mis  -10
своєму			свій 			adj:m:v_dav:&pron:pos 0
який			який 			adj:m:v_naz:&pron:int:rel:def 0
збоку			збоку 			adv  0
біля			біля 			adv  0
каси			каса 			noun:f:v_rod 0
стояв			стояти 			verb:past:m:imperf 0
Тобто			тобто 			conj:subord 0
коли			коли 			conj:subord 0
приходилось		приходитися 	verb:rev:past:n:imperf  0
цю				цей  			adj:f:v_zna:&pron:dem  0
любов			любов 			noun:f:v_zna  0
перебивати		перебивати 		verb:inf:imperf -10
проханням		прохання 		noun:n:v_oru 0
щось			щось 			pron:ind:n:v_zna  0
замовити		замовити 		verb:inf:perf 0
у				у 				prep:rv_zna:rv_mis:rv_rod:v-u  0
відповідь		відповідь 		noun:f:v_zna  0
було			бути			verb:past:n:imperf  0
незадоволення	незадоволення 	noun:n:v_naz -20
Ну				ну 				part  0
і				і 				conj:coord 0
феєрія			феєрія 			noun:f:v_naz  10
вечора			вечір 			noun:m:v_rod 0
замовила		замовити 		verb:past:f:perf  0
піцу			піца 			noun:f:v_zna  0
з				з 				prep:rv_rod:rv_zna:rv_oru 0
куркою			курка 			noun:f:v_oru:anim 10
а				а 				conj:coord 0
отримала		отримати 		verb:past:f:perf  0
з				з 				prep:rv_rod:rv_zna:rv_oru 0
мисливськими	мисливський 	adj:p:v_oru  0
ковбасками		ковбаска 		noun:p:v_oru 10
ревізора		ревізор 		noun:m:v_rod:anim  -10
на				на 				prep:rv_zna:rv_mis  0
Вас				ви 				pron:pers:p:2:v_zna:anim 0
друзі			друзі 			noun:p:v_kly:anim 10
Я				я 				pron:pers:s:1:v_naz:anim  0
постійний		постійний 		adj:m:v_naz 20
клієнт			клієнт 			noun:m:v_naz:anim  20
вашого			ваш 			adj:m:v_rod:&pron:pos 0
закладу			заклад 			noun:m:v_rod 0
але				але 			conj:coord 0
після			після 			prep:rv_rod  0
останнього		останній 		adj:m:v_rod  0
візиту			візит 			noun:m:v_rod  0
мене			я 				pron:pers:s:1:v_zna:anim  0
розчарувало		розчарувати 	verb:past:n:perf  -20
відношення		відношення 		noun:n:v_naz 0
офіціанта		офіціант 		noun:m:v_rod:anim  0
Марка			Маркo 			noun:m:v_rod:anim:fname 0
до				до 				prep:rv_rod  0
клієнтів		клієнт 			noun:p:v_rod:anim 20
Це				цей 			adj:n:v_naz:&pron:dem  0
я				я 				pron:pers:s:1:v_naz:anim 0
спостерігала	спостерігати 	verb:past:f:imperf  0
не				не 				part  0
вперше			вперше 			adv:v-u  0
Він				він 			pron:pers:m:3:v_naz:anim  0
дуже			дуже 			adv 0
непривітний		непривітний 	adj:m:v_naz -20
і				і 				conj:coord 0
з				з 				prep:rv_rod:rv_zna:rv_oru  0
незадоволеним	незадоволений 	adj:m:v_oru  -30
виразом			вираз 			noun:m:v_oru  0
на				на 				prep:rv_zna:rv_mis  0
лиці			лице 			noun:n:v_mis  0
приймав			приймати 		verb:past:m:imperf  0
замовлення		замовлення 		noun:n:v_zna 0
здачу			здача 			noun:f:v_zna  0
я				я 				pron:pers:s:1:v_naz:anim  0
чекала			чекати 			verb:past:f:imperf  -10
30				30 				number 0
а				а 				conj:coord 0
потім			потім 			adv:&pron:dem  0
Марко			Марко 			noun:m:v_naz:anim:fname 0
забув			забути 			verb:past:m:perf  -10
скільки			скільки 		numr:p:v_zna:&pron:ind  0
грошей			гроші 			noun:p:v_rod  0
я				я 				pron:pers:s:1:v_naz:anim  0
заплатила		заплатити 		verb:past:f:perf  -10
і				і 				conj:coord 0
заявив			заявити 		verb:past:m:perf  -20
що				що 				conj:subord 0
неправильно		неправильно 	adv  -10
розрахувалась	розрахуватися 	verb:rev:past:f:perf -10
після			після 			prep:rv_rod  0
чого			що				pron:int:rel:n:v_rod  0
бажання			бажання 		noun:n:v_naz 10
відвідувати		відвідувати 	verb:inf:imperf  10
ваш				ваш 			adj:m:v_zna:&pron:pos  0
заклад			заклад 			noun:m:v_zna  0
пропало			пропасти 		verb:past:n:perf -10
Відвідую		відвідувати 	verb:pres:s:1:imperf  0
ваш				ваш 			adj:m:v_zna:&pron:pos  0
заклад			заклад 			noun:m:v_zna  0
не				не				part  0
вперше			вперше 			adv:v-u 0
претензій		претензія 		noun:p:v_rod  -10
в				в 				prep:rv_zna:rv_mis:rv_rod:v-u  0
принципі		принцип 		noun:m:v_mis  0
немає			немає 			predic  -10
і				і 				conj:coord 0
страви			страва 			noun:p:v_naz  13
смачні			смачний 		adj:p:v_naz:compb 13
обслуговування	обслуговування 	noun:n:v_naz 13
в				в 				prep:rv_zna:rv_mis:rv_rod:v-u  0
