зробіть	зробити verb:impr:p:2:perf  30
хороша	хороший adj:f:v_naz:compb  40
називає	називати verb:pres:s:3:imperf  0
подій	подія noun:p:v_rod  21
натуральним	натуральний adj:m:v_oru:compb   11
підводив	підводити verb:past:m:imperf  0
запаху	запах noun:m:v_dav  0
атмосфера	атмосфера noun:f:v_naz  20
вибору	вибір noun:m:v_dav  14
пиво	пиво noun:n:v_naz  19
наразі	наразі adv  0
напевно	напевно adv  -6
семи	сема  noun:f:v_rod  9
страшно	страшно adv:compb  -19
олімпійському	олімпійський adj:m:v_dav  15
лофту	- -  0
грандіозно	грандіозно adv:compb  36
передвиборчу	передвиборчий adj:f:v_zna  -7
офіційного	офіційний adj:m:v_rod  0
підкачало	- -  3
холдингом	холдинг noun:m:v_oru  12
промисловим	промисловий adj:m:v_oru  0
смак	смак noun:m:v_naz  11
приміщення	приміщення noun:n:v_naz  0
гроші	гроші гріш noun:p:v_naz  32
обмані	обман noun:m:v_mis  -26
решта	решта noun:f:v_naz  0
місць	місце noun:p:v_rod  0
чекати	чекати verb:inf:imperf  -9
компанією	компанія noun:f:v_oru  14
аля	- -  0
гірка	гірка noun:f:v_naz  -6
фігня	фігня noun:f:v_naz  -19
площу	площа noun:f:v_zna  12
шикарноо	- -  32
виявляється	виявлятися verb:rev:pres:s:3:imperf 0
втрати	втрата noun:f:v_rod:v-u  -30
dottignies	- -  0
меню	меню noun:n:v_dav:nv  0
будь	бути verb:impr:s:2:imperf  0
це	цей adj:n:v_naz:&pron:dem 0
процес	процес noun:m:v_naz  10
куку	кука noun:f:v_zna  20
суміш	суміш noun:f:v_naz  0
спільнота	спільнота noun:f:v_naz  0
змарнували	змарнувати verb:past:p:perf  -20
працюватиме	працювати verb:futr:s:3:imperf  -4
цікавого	цікавий adj:m:v_rod:compb  25
пройшло	пройти verb:past:n:perf  0
чудовий	чудовий adj:m:v_naz:compb  24
робити	робити verb:inf:imperf  -1
мильним	мильний adj:m:v_oru  10
інтр'єром	- -  0
вище	вище adv:compr:compr  12
обладнання	обладнання noun:n:v_naz  0
пивна	пивний adj:f:v_naz  0
андрій	- -  10
варитимуть	варити verb:futr:p:3:imperf  0
стадіоні	стадіон noun:m:v_mis  20
файна	файний adj:f:v_naz  25
зоні	зона noun:f:v_dav  0
більшості	більшість noun:f:v_dav  -6
такої	такий adj:f:v_rod:&pron:def  0
країн	країна noun:p:v_rod  10
анна	- -  5
шкандибає	шкандибати verb:pres:s:3:imperf  -14
варка	варка noun:f:v_naz 0
дизайн	дизайн noun:m:v_naz  4
яловичий	яловичий adj:m:v_naz  8
вистачає	вистачати verb:pres:s:3:imperf  0
включенням	включення noun:n:v_oru:v-u  0
три	три numr:p:v_naz 0
вині	вина noun:f:v_dav  -20
хмелем	хміль noun:m:v_oru  13
хміль	хміль noun:m:v_naz  13
світових	світовий adj:p:v_mis  21
смачні	смачний adj:p:v_naz:compb  28
zinnebir	- -  0
часом	часом adv  0
посадкових	посадковий adj:p:v_mis  0
олена	- -  0
чіпси	чіпси noun:p:v_naz   7
пластмаса	пластмаса noun:f:v_naz  0
фахівців	фахівець noun:p:v_rod:anim 0
зарано	зарано adv  0
потратив	потратити verb:past:m:perf  10
власна	власний adj:f:v_naz  25
анонсований	анонсований adjp:pasv:past:m:v_naz 21
доброго	добрий adj:m:v_rod:compb  35
виробницта	- -  0
дороге	дорогий adj:n:v_naz:compb  -10
бачила	бачити verb:past:f:imperf  0
охочі	охочий adj:p:v_naz  27
солі	сіль noun:f:v_dav  0
нема	нема predic  0
відкритися	відкритися verb:rev:inf:perf  15
круто	круто adv  29
ніякі	ніякий adj:p:v_naz:&pron:neg  -16
жахливе	жахливий adj:n:v_naz:compb  -34
запрошена	запрошений adjp:pasv:past:f:v_naz  0
навчає	навчати verb:pres:s:3:imperf  8
містить	містити verb:pres:s:3:imperf  0
дивна	дивний adj:f:v_naz:compb  8
мінімальний	мінімальний adj:m:v_naz  -11
повазі	повага noun:f:v_dav  18
народжується	народжуватися verb:rev:pres:s:3:imperf  13
овочеві	овочевий adj:p:v_naz  0
третьому	третій adj:m:v_dav 0
карамелі	карамель noun:f:v_dav  -1
лаку	лак noun:m:v_dav  0
побачимо	побачити verb:futr:p:1:perf  0
кістковий	кістковий adj:m:v_naz  0
такі	такий adj:p:v_naz:&pron:def  0
деранківського	- -  0
новий	новий adj:m:v_naz:compb  10
скоро	скоро adv:compb  10
дивно	дивно adv:compb  -3
світу	світ noun:m:v_dav 4
дешевому	дешевий adj:m:v_dav:compb  18
історичний	історичний adj:m:v_naz  0
розповіли	розповісти verb:past:p:perf  0
xmas	- -  50
знавці	знавець noun:m:v_mis:anim  0
кінці	кінець noun:m:v_mis  0
шкіри	шкіра noun:f:v_rod 0
вегетаріанці	вегетаріанець noun:m:v_mis:anim  0
історія	історія noun:f:v_naz  0
загальнохарчове	- -  0
салати	салат noun:p:v_naz 0
тарелі	таріль noun:m:v_mis  0
справжнього	справжній adj:m:v_rod  0
марк	- -  0
кабінет	кабінет noun:m:v_naz  0
різне	різний adj:n:v_naz  0
варок	- -  0
цибулева	цибулевий adj:f:v_naz  -19
чеське	чеський adj:n:v_naz  -19
пивний	пивний adj:m:v_naz  13
закладу	заклад noun:m:v_dav  0
закласти verb:futr:s:1:perf  0
великий	великий adj:m:v_naz:compb  0
постійних	постійний adj:p:v_mis 0
вибір	вибір noun:m:v_naz 0
ярина	ярина noun:f:v_naz  0
справжнє	справжній adj:n:v_naz  0
повільні	повільний adj:p:v_naz:compb  0
цілим	цілий adj:m:v_oru 0
ринок	ринок noun:m:v_naz  0
іванович	- -  0
рефлексом	рефлекс noun:m:v_oru  0
столиків	столик noun:p:v_rod  0
чітко	чітко adv:compb  0
кабак	кабак noun:m:v_naz  0
відтінків	відтінок noun:p:v_rod  0
їжа	їжа noun:f:v_naz  50
їхнього	їхній adj:m:v_rod:&pron:pos 0
подати	подати verb:inf:perf  0
темне	темний adj:n:v_naz:compb  0
перша	перший adj:f:v_naz  1
шаленого	шалений adj:m:v_rod  21
решту	решта noun:f:v_zna  21
забігайлівка	забігайлівка noun:f:v_naz  -20
власної	власний adj:f:v_rod  0
хвилини	хвилина noun:f:v_rod  0
вишуканих	вишуканий adjp:pasv:past:p:v_mis:compb 25
всюди	всюди adv:gen:v-u:&pron  0
дегустацією	дегустація noun:f:v_oru  0
туалеті	туалет noun:m:v_mis  0
цікавим	цікавий adj:m:v_oru:compb  20
гречане	гречаний adj:n:v_naz  0
рідина	рідина noun:f:v_naz 0
біля	біля adv  0
вікно	вікно noun:n:v_naz  0
незрівнянно	незрівнянно adv  0
прибиральників	прибиральник noun:p:v_rod:anim 0
місце	місце noun:n:v_naz  0
устаткування	устаткування noun:n:v_naz:v-u   0
пампушки	пампушка noun:f:v_rod  0
рибу	риба noun:f:v_zna:anim  0
фесту	фест noun:m:v_dav:bad 0
bitter	- -  0
зробили	зробити verb:past:p:perf  0
насолоджуватись	насолоджуватися verb:rev:inf:imperf  45
жива	живий adj:f:v_naz:compb  25
можливо	можливо adv  0
великі	великий adj:p:v_naz:compb 0
крафтового	- -  0
лаків	лак noun:p:v_rod  0
впитися	впитися verb:rev:inf:perf:v-u  0
власного	власний adj:m:v_rod  0
праву	правий adj:f:v_zna:compb 0
малих	малий adj:p:v_mis:compb 0
відгуків	відгук noun:p:v_rod  0
місця	місце noun:n:v_rod  0
іринка	- -  6
гарна	гарний adj:f:v_naz:compb  20
пастер	- -  0
напою	напоїти verb:futr:s:1:perf 0
мережа	мережа noun:f:v_naz  0
вибрати	вибрати verb:inf:perf  0
рідкісна	рідкісний adj:f:v_naz:compb  0
порції	порція noun:f:v_dav  0
буду	буда noun:f:v_zna 0
засмакувала	засмакувати verb:past:f:perf  0
позитивний	позитивний adj:m:v_naz:compb  24
років	рік noun:p:v_rod  0
форфасів	- -  0
світі	світ noun:m:v_mis  0
фільтр	фільтр noun:m:v_naz  0
мозок	мозок noun:m:v_naz  0
парою	пара noun:f:v_oru  0
кабінки	кабінка noun:f:v_rod  0
компенсувати	компенсувати verb:inf:imperf  0
показали	показати verb:past:p:perf  0
адекватні	адекватний adj:p:v_naz:compb  21
незвичайне	незвичайний adj:n:v_naz  21
якось	якось adv:&pron:ind  0
надіюсь	надіятися verb:rev:pres:s:1:imperf 0
хороше	хороший adj:n:v_naz:compb  30
смакових	смаковий adj:p:v_mis  0
ужасне	- -  -30
підхожу	підхожий adj:f:v_zna  0
другому	другий adj:m:v_dav  0
хотіла	хотіти verb:unknown  0
звариться	зваритися verb:rev:futr:s:3:perf  0
пивоварні	пивоварний adj:p:v_naz  0
бару	бар noun:m:v_dav  0
локаль	локаль noun:f:v_naz  0
сухарі	сухар noun:m:v_mis  0
підходи	підхід noun:p:v_naz  0
володимир	- -  0
позиції	позиція noun:f:v_dav  0
ікспенсів	- -  0
ярослав	- -  0
кожній	кожний adj:f:v_dav:&pron:def  0
брати	брати verb:inf:imperf  0
основну	основний adj:f:v_zna  0
закуски	закуска noun:f:v_rod  0
сметана	сметана  0
noun:f:v_naz  0
фахові	фаховий adj:p:v_naz  0
передбачається	передбачатися  0
verb:rev:pres:s:3:imperf 0
жаль	жаль noun:m:v_naz 0
гарний	гарний adj:m:v_naz:compb  20
gallina	- -  0
відповіді	відповідь noun:f:v_dav  0
розчаровує	розчаровувати verb:pres:s:3:imperf  -20
привозне	- -  0
сподобалось	сподобатися verb:rev:past:n:perf  10
присутні	присутній adj:p:v_naz  0
марта	- -  0
барселони	- -  0
форматі	формат noun:m:v_mis  0
ситуація	ситуація noun:f:v_naz  0
буде	бути verb:futr:s:3:imperf  0
приготування	приготування noun:n:v_naz  0
низку	низка noun:f:v_zna  0
бітнер	- -  0
хроном	хрін noun:m:v_oru  0
тематичний	тематичний adj:m:v_naz  0
поверхи	поверх noun:p:v_naz  0
світле	світлий adj:n:v_naz:compb  6
