sentence_index	sentence
1	Щойно із закладу , все дуже сподобалося !
2	Нічого смачнішого за завиванець ( теплий вишневий штрудель з кулькою морозива декорованого джемом та карамеллю ) раніше не куштувала ! 
3	Неймовірно смачно !!!
4	В Києві такого смаколика не зустрічала !
5	в кумпелі нам з чоловіком все подобається , але не подобається 1 , що всі поглядом оцінюють твій соц. стан. тобто , я наприклад дуже молодо виглядаю і люблю спортивний одяг , прийшовши туди коли є місця , посадять тих людей , що « пожирніші » . 
6	не будьте такими , і не дивіться на маску .
7	ГРОШІ Є і хочеться віддихнути на них , А ДЕ ж гостинність ? !
8	п.с. людям перед нами сказали « до побачення , дякую » , до нас ПРОМОВЧАЛИ
9	Один з найкращих закладів Львова в центрі міста .
10	Так як це ресторан-пивоварня , то пиво тут подають виготовлене на власній броварні .
11	До речі , гіркоти і запаху від пересмаженого солоду в пиві не відчувається , все ж таки львівське пиво найкраще .
12	Страви теж неперевершені .
13	Дуже різноманітне м'ясне меню . 
14	Їхній кумпель смакота .
15	Вартість страв щоправда не всім дозволяє відвідати цей заклад .
16	Жаль , що ввели обмеження на пиво по віковій категорії =(( 
17	Тільки від 21 (((
18	Так ніби ми в США живемо , де повноліття з 21 . 
19	В нас з 18 !!!
20	Я люблю кухню Кумпеля , хоча мені видалось , що пиво дійсно змінилося — а було №1 у Львові .
21	Сподобався пивний агрегат при вході ))
22	Персонал справді ніби як з дешевого генделика . 
23	Нам не хамили , але те що офіціанти непрофесійні , то факт .
24	Коли відчиняєш двері до Кумпеля , у персоналу завжди такий вигляд , ніби тебе не чекають . 
25	ЗАВЖДИ ( то я з огляду на те , що захожу час від часу протягом 5 років ) економлять хороші столики )))
26	Мені вже аж смішно ))) 
27	Єдина причина , чого я все ж прихожу — то кухня і адекватні на неї ціни .
28	А от традиційної галицької гостинності якраз і немає ... 
29	рс — а веранда зараз генделик генделиком, як на вокзалі . 
30	Жлобство !
31	пиво чудове , обслуговуванняя також , а порціі величезні і смачні
32	Отож і я кажу . 
33	Наглий , зверхній та хамовитий адміністратор на вході ніяк не додає престижу для закладу і комфорту для його відвідувачів . 
34	Але , як я зрозумів , хамство — це така політика власника закладу , щоби відсіяти менш платоспроможних клієнтів . 
35	Нічого , Подібних закладів є ще немало , залишатиму свої гроші в інших ...
36	Дуже крутий заклад з насмачнішим пивом у Львові . 
37	Класно що він тепер працює цілодобово .
38	Найсмачніша кухня у Львові ! 
39	Дуже раджу ковбаски , чесну часникову зупу і Бурштинове пиво !
40	Вперше відвідали заклад пару днів тому , хочу відзначити надзвичайно колоритну атмосферу , смачну кухню , цікавий смак теплого пива з ромом , приємне обслуговування ( дякуємо офіціанту Валентину ! ;) 
41	Панує гостинність і почуття гумору .  
42	На мій погляд , кращий заклад у свої « пивній » категорії . 
43	Жаль , що у нас в Києві такого немає . 
44	Обов’язково відвідаємо « Кумпель » одним із перших під час наступної мандрівки до Львова )))
45	Доброго дня .
46	На днях їздили з компанією до Львова , нам порекомендували « Купмель » і їхнє бурштинове ...
47	що можу сказати - найкраще пиво в світі і це не тільки моя думка .
48	Хочеться повертатися до Львова знову і знову , і обовязково заходити до « Куплеля » . 
49	Стосовно працівників можу сказати , що все було на висоті , починаючи від входу : з нами привіталися , знайшли нам вільні місці , протягом вечора : ввічлива розмова , швидке реагування , зміна попільничок , виніс пустих келихів - все було найкраще , при виході з нами попрощалися та побажали приємного часу проведення у Львові . 
50	ДУЖЕ б хотілося щоб філії відкривалися у інших містах , ну дуже далеко їхати до вас з Харкова ...
51	Чудовий заклад !!! 
52	Потрапила туди вранці ... 
53	Замовила каву з медом та молоком ... !!! 
