Lesiv 20-30 female
Обслуговування 	 	noun:n:v_naz 0
жахливе      	     adj:n:v_zna:compb -50
Чекали 	           	verb:past:p:imperf 0
замовлення   	    noun:n:v_zna 0
півгодини     	 numr  0
потім 	            	adv 0
нас 	            pron:pers:p:1:v_zna:anim 0
обрахували   	      verb:past:p:perf -30
на                      prep:rv_zna 0
грн 	                     noun:f:v_zna:nv:abbr     0
не 	                          part -5
видавши 	     advp:perf 0
чеку 	         noun:m:v_zna                                  0
Слідкуйте   	      verb:impr:p:2:imperf 0
за           	              prep:rv_oru 0
своїм        	            pron:pos 0
персоналом   	     	noun:m:v_oru 0
бо           	          	conj:subord                  0
заслужена 	          adjp:pasv:past:f:v_naz 20
роками 	                     noun:p:v_oru 0
репутація    	       noun:f:v_naz 30
в           	           	prep:rv_zna:v-u 0
один        	          	numr:m:v_zna 0
момент         	      	noun:m:v_zna 0
розіб'ється 	   	verb:rev:futr:s:3:perf -30
вщент 	               	adv:v-u -30
Якщо 	                 	conj:subord 0
офіціант 	            noun:m:v_naz:anim 0
стажується  	 	verb:rev:pres:s:3:imperf 0
він 	                 	pron:pers:m:3:v_naz:anim 0
не             	          	part -5
має 	                    verb:pres:s:3:imperf                 0
права                      noun:p:v_zna 0
грубити 	           	verb:inf:imperf -40
відвідувачам 	   	noun:p:v_dav:anim 0
не 	                         	part	 -5
видавати 	        	verb:inf:imperf 0
їх            	         	pron:pers:p:3:v_zna:anim 0
чек 	                  	noun:m:v_zna 0
та           	           	conj:coord                              0
обраховувати 		verb:inf:imper	 -40
міняйте 	              verb:impr:p:2:imperf 0
персонал 	         	noun:m:v_zna 0
Кафе 	              	    noun:n:v_naz:nv                              25
непогане 	    	    adj:n:v_zna 5
Гарячий 	       	    adj:m:v_naz:compb                                 10
шоколад 	      	    noun:m:v_naz                                 30
там 	             	    adv                                 0
мені 	                	    pron:pers:s:1:v_dav:anim                                 0
сподобався 	    	    verb:rev:past:m:perf 30
а         	            	    conj:coord                                 0
каву 	                 	noun:f:v_zna 30
не       	                 	part -5
куштував 	    	    verb:past:m:imperf 0
бо 	                  	    conj:subord                                 0
вечір 	            	    noun:m:v_naz                                 0
був 	                    verb:past:m:imperf 0
я 	                           pron:pers:s:1:v_naz:anim 0
ввечері 	     	    adv:v-u 0
каву 	             	    noun:f:v_zna 30
не 	                          part -5
вживаю 	          	    verb:pres:s:1:imperf:v-u 0
На 	                       	prep:rv_mis 0
2-му 	             	    adj:m:v_mis                                0
поверсі 	       	    noun:m:v_mis 0
кафе 	                	noun:n:v_rod:nv                                30
розміщується    	verb:rev:pres:s:3:imperf 0
магазин 	          	noun:m:v_naz                                 0
шоколаду 	         	noun:m:v_rod 40
Я 	                          pron:pers:s:1:v_naz:anim 0
коли 	                    conj:subord                       0
ціни 	                    noun:p:v_zna 0
побачив 	    	    verb:past:m:perf 0
то 	                       	conj:subord 0
в             	            	prep:rv_rod:v-u 0
мене 	               	    pron:pers:s:1:v_rod:anim 0
відпало      		    verb:past:n:perf -30
бажання      	  	    noun:n:v_naz                                 30
що-небудь 	        	pron:ind:n:v_zna 0
купувати 	        	verb:inf:imperf 0
там                      	adv				 0
бо 	                      	conj:subord                                 0
одна 	                	numr:f:v_naz 0
невеличка 	    	    adj:f:v_naz 0
цукерка 	       	    noun:f:v_naz 40
коштує   	    	    verb:pres:s:3:imperf 0
або 	             	    conj:coord 0
6        	            	    number 0
гривень 	       	    noun:p:v_rod 0
За 	                    	    prep:rv_zna 0
таку 	             	    adj:f:v_zna 0
ціну 	             	    noun:f:v_zna 0
воно 	              	    pron:pers:n:3:v_naz 0
мені 	                 	    pron:pers:s:1:v_dav:anim                                 0
нафіг 	                	adv:slang -30
не       	                  part -5
треба 	                	predic 0
хоч 	                  	conj:subord 0
би 	                          part 0
