words,polarity,negativeCounter,neutralCounter,positiveCounter,iteration
абат,U,0,0,0,-1
ігумен,U,0,0,0,-1
абатиса,U,0,0,0,-1
ігуменя,U,0,0,0,-1
абатство,U,0,0,0,-1
манастир,U,0,0,0,-1
абетка,+,0,0,1,5
азбука,+,0,0,2,4
альфабет,+,0,0,1,6
алфавит,+,0,0,1,6
букви,+,0,0,1,6
літери,+,0,0,1,6
абеточка,+,0,0,1,6
абетковий,+,0,1,2,4
азбучний,+,0,1,3,4
поазбучний,+,0,0,1,5
альфабетний,+,0,0,2,5
абетний,+,0,0,2,5
елементарний,+,1,1,2,3
початковий,+,1,0,2,3
загальновідомий,0,0,1,0,3
абеткувати,U,0,0,0,-1
реєструвати_за_абеткою,U,0,0,0,-1
абетник,U,0,0,0,-1
альфабетний_покажчик,U,0,0,0,-1
абзац,+,0,0,1,4
відступ,+,0,0,1,3
новий_рядок,+,0,0,1,5
уступ,+,0,0,3,4
аби,0,0,1,0,3
аби_тільки,0,0,1,0,4
аби_но,0,0,1,0,4
тільки_б,0,0,1,0,4
якби_тільки,0,0,1,0,4
щоб_лише,0,0,1,0,4
щоб,0,0,1,0,2
щоби,0,0,1,0,4
для_того,0,0,1,0,4
з_тим,0,0,1,0,4
абись,0,0,1,0,4
абиде,0,0,1,0,2
будь-де,0,0,1,0,3
де-будь,0,0,1,0,3
хоч_де,0,0,1,0,3
хай_де,0,0,1,0,3
де_припало,0,0,1,0,3
денебудь,A,0,1,1,1
десь,0,0,3,2,1
абиколи,0,0,1,0,2
будь-коли,0,0,1,0,3
колибудь,0,0,2,0,3
хоч_коли,0,0,1,0,3
хай_коли,0,0,1,0,3
колись,0,1,2,0,1
колинебудь,0,0,3,0,2
абикуди,0,0,2,0,3
будь-куди,0,0,3,0,3
кудибудь,0,0,2,0,3
хоч_куди,0,0,1,0,4
хай_куди,0,0,2,0,3
куди-небудь,0,0,1,0,4
кудись,0,0,3,0,2
аби_то,0,0,2,0,3
якнебудь,0,0,2,0,2
недбало,0,0,4,0,4
абияк,0,0,3,0,3
так_собі,0,0,1,0,3
абихто,+,0,0,1,3
будь-хто,+,0,0,2,4
хтобудь,+,0,0,1,4
хоч_хто,+,0,0,2,4
хай_хто,+,0,0,1,4
хтонебудь,+,0,0,4,3
хтось,+,0,0,1,2
абичий,U,0,0,0,-1
будь-чий,U,0,0,0,-1
чийбудь,U,0,0,0,-1
хай_чий,U,0,0,0,-1
хоч_чий,U,0,0,0,-1
чийнебудь,U,0,0,0,-1
чийсь,U,0,0,0,-1
абищиця,+,0,0,4,4
дрібниця,+,1,0,4,3
дрібничка,+,0,0,2,3
дурниця,+,1,0,3,3
дурничка,+,0,0,2,4
витребенька,+,0,1,6,4
абищо,+,0,0,1,2
будь-що,+,0,0,2,3
щобудь,+,0,0,2,3
хоч_що,+,0,0,1,3
хай_що,+,0,0,1,3
щонебудь,+,0,0,3,2
щось,+,0,0,1,1
нісенітниця,+,0,0,2,3
ніщо,A,1,0,1,2
нікчема,+,0,0,1,3
не_абищо,+,0,0,1,3
не_хвіст_собачий,+,0,0,1,3
будь-як,0,0,2,0,3
як-будь,0,0,1,0,4
хай_як,0,0,1,0,4
сяк-так,0,0,2,0,3
на_живу_нитку,0,0,1,0,4
абиякий,0,0,1,0,3
будь-який,A,1,1,0,4
якийбудь,0,0,1,0,4
перший-ліпший,A,0,1,1,4
хоч_який,0,0,1,0,4
хай_який,0,0,1,0,4
якийнебудь,U,0,0,0,3
сякий-такий,0,0,3,0,3
неавторитетний,0,0,1,0,4
звичайний,0,0,1,0,2
без_ваги,0,0,1,0,4
нездалий,-,10,1,0,4
поганий,-,12,2,2,3
неякісний,-,2,1,1,3
абітурієнт,+,0,0,1,6
випускник,+,0,0,1,5
матурант,+,0,0,1,7
вступник,+,0,0,1,7
або,0,0,2,0,5
чи,0,0,2,0,4
чи_то,0,0,1,0,6
альбо,0,0,1,0,6
а_то,0,0,1,0,6
тобто,+,0,1,2,5
інакше_кажучи,+,0,1,2,6
хіба,0,0,2,0,4
абориґен,-,2,0,0,4
тубілець,-,1,0,0,5
автохтон,A,1,0,1,5
корінний_житель,-,1,0,0,5
старожил,-,1,0,0,5
місцевий,-,1,0,0,3
тутешній,-,2,0,0,3
аборигенний,-,2,0,0,4
тубільний,-,2,0,0,4
автохтонний,-,2,1,0,4
корінний,A,2,2,2,4
аборт,U,0,0,0,-1
передчасні_пологи,U,0,0,0,-1
викидень,U,0,0,0,-1
абощо,U,0,0,0,-1
чи_що,U,0,0,0,-1
чи_там_що,U,0,0,0,-1
чи_то_ще_що,U,0,0,0,-1
абракадабра,+,0,0,1,5
абсурд,+,0,0,5,4
абрикоса,U,0,0,0,-1
жерделя,U,0,0,0,-1
мореля,U,0,0,0,-1
абрис,+,0,1,2,3
контур,+,0,1,3,3
обрис,+,0,1,4,3
обвід,+,0,0,2,3
окреслення,+,0,0,2,4
конфігурація,0,0,1,0,2
закрій,+,0,0,1,4
лінія,+,0,1,12,3
абсолютизм,+,0,0,1,7
самодержавство,+,0,0,1,8
монархізм,+,0,0,1,8
автократія,+,0,0,1,8
тиранія,+,0,0,2,6
деспотія,+,0,0,1,8
деспотизм,+,0,0,2,7
тоталітаризм,+,0,0,1,8
диктатура,+,0,0,1,8
абсолютний,+,0,2,3,3
цілковитий,+,0,2,4,3
повний,+,0,0,4,3
необмежений,+,0,0,6,3
безумовний,0,0,3,2,3
всеосяжний,+,0,0,5,4
всеохопний,+,0,0,4,4
тотальний,+,0,0,2,4
безвідносний,+,0,0,1,4
абсолютно,0,0,6,0,2
умоглядний,0,0,1,0,3
безглуздя,+,0,0,2,5
нонсенс,+,0,0,1,5
несусвітенність,+,0,0,1,5
безглуздість,+,0,0,2,5
нісенітність,+,0,0,1,5
неподобність,+,0,0,1,3
недоладність,+,0,0,1,5
на_вербі_груші,+,0,0,5,4
сон_рябої_кобили,+,0,0,3,4
таке,+,0,0,1,5
що_й_купи_не_держиться,+,0,0,1,5
бридня,+,0,0,2,4
глупство,+,0,0,2,5
чортзна-що,+,0,0,1,3
чортибатька-що,+,0,0,2,3
маячня,+,0,0,4,4
ідіотизм,+,0,0,1,5
дурість,+,0,0,3,4
парадокс,+,0,0,1,5
анекдота,+,0,1,2,4
анекдотичність,+,0,0,1,5
анекдот,+,0,0,2,5
абсурдний,A,1,0,1,4
безглуздий,A,2,0,2,4
нісенітний,-,1,0,0,5
ні_в_кут_ні_в_двері,U,0,0,0,5
ні_те_ні_се,U,0,0,0,5
дикий,+,2,0,3,3
абсцис,+,0,0,2,6
гнояк,+,0,0,1,6
нарив,+,0,0,1,7
чир,+,0,0,2,6
чиряк,+,0,0,1,5
фурункул,+,0,0,3,6
карбункул,+,0,0,2,6
нагноєння,+,0,0,1,7
запалення,+,0,0,1,7
аванґард,0,0,3,0,4
перший_ешельон,0,0,1,0,5
передова_частина,0,0,1,0,5
передовики,0,0,1,0,5
перші_лави,A,0,1,1,5
еліта,0,0,2,1,4
вершки,0,0,1,0,3
сметанка,0,0,2,0,3
авангардний,+,0,0,2,4
передовий,+,0,1,2,3
з_перших_лав,+,0,0,1,5
елітарний,+,0,0,1,5
аванс,U,0,0,0,-1
завдаток,U,0,0,0,-1
авансом,-,1,0,0,1
