
Ні	part 
неправильно	adv 
Порція	noun:f:v_naz 
борщу	noun:m:v_rod 
15	number 
грн	noun:p:v_naz:nv:abbr 
Не	part 
знаю	verb:pres:s:1:imperf 
точно	adv 
скільки	numr:p:v_naz:&pron:ind 
там	adv:&pron:dem 
грам	noun:m:v_zna 
порція	noun:f:v_naz 
стандартна	adj:f:v_naz:compb 
як	conj:subord 
у	prep: rv_mis:v-u 
всіх	adj:p:v_mis:&pron:dem 
закладах	noun:p:v_mis 
місце	noun:n:v_naz 
Вся	adj:f:v_naz:&pron:dem 
їжа	noun:f:v_naz 
по	prep: rv_zna 
7	number 
грн	noun:p:v_zna:nv:abbr 
за	prep: rv_zna
100	number 
по-моєму	insert 
геніально	adv:compb 
Є	verb:pres:p:3:imperf 
і	conj:coord 
вареники	noun:p:v_naz 
і	conj:coord 
борщ	noun:m:v_naz 
і	conj:coord 
салат-бар	noun:m:v_naz 
і	conj:coord 
чай-лимонад	noun:m:v_naz 
До	prep:rv_rod 
купи	
	noun:f:v_rod 
ще	part 
й	conj:coord 
інтер'єр	noun:m:v_naz 
приємний	adj:m:v_naz:compb 
Все	part:v-u 
що	conj:subord 
треба	predic 
для	prep:rv_rod 
хорошої	adj:f:v_rod:compb 
вечері	noun:f:v_rod 
Борщ	noun:m:v_naz 
за	prep:rv_zna
15	number 
лимонад	noun:m:v_naz 
за	prep: rv_zna
15	number 
глінтвейн	noun:m:v_naz 
за	prep: rv_zna
15	number 
4	number 
маленьких	adj:p:v_rod 
мандаринки	noun:f:v_rod 
сотка	noun:f:v_naz 
жирно	adv 
виходять	verb:pres:p:3:imperf 
мандаринки	noun:p:v_naz 
По	prep:rv_mis:rv_zna 
ходу	noun:f:v_zna 
	
	noun:m:v_dav 
	noun:m:v_rod 
в	prep:rv_rod:v-u 
мене	pron:pers:s:1:v_zna:anim 
сотка	noun:f:v_naz 
в	prep:rv_mis:v-u 
чеку	noun:m:v_mis 
по	prep:rv_mis:rv_zna 
суті	noun:f:v_dav 
	noun:f:v_mis 
	noun:f:v_rod 
нічого	pron:neg:v_rod 
не	part 
взявши	advp:perf 
через	prep:rv_zna 
мандаринки	noun:p:v_zna 
якщо	conj:subord 
їх	pron:pers:p:3:v_zna:anim 
так	adv:&pron:dem 
	conj:coord:subord 
	part 
само	adj:n:v_naz:&pron:def 
враховують	verb:pres:p:3:imperf:v-u 
за	prep: rv_zna
Борщ	noun:m:v_naz 
за	prep: rv_zna
15	number 
лимонад	noun:m:v_naz 
за	prep: rv_zna
15	number 
глінтвейн	noun:m:v_naz 
за	prep: rv_zna
15	number 
4	number 
маленьких	adj:p:v_zna 
мандаринки	noun:p:v_zna 
сотка	noun:f:v_naz 
Мають	verb:pres:p:3:imperf 
бути	verb:inf:imperf 
вареники	noun:p:v_naz 
не	part 
великі	adj:p:v_naz:compb 
і	conj:coord 
смачні	adj:p:v_naz:compb 
щоб	conj:subord 
	part 
в	prep: rv_mis:v-u 
роті	noun:m:v_mis 
потопали	verb:past:p:imperf 
А	conj:coord 
ТАМ	adv:&pron:dem 
великі	adj:p:v_naz:compb 
і	conj:coord 
недоварені	adj:p:v_naz 
та	conj:coord 
ще	part 
й	conj:coord 	
дорогі	adj:p:v_naz:compb 
за	prep: rv_zna
а	conj:coord 
за	prep:rv_zna
200	number 
14	number 
отже	insert 
порція	noun:f:v_naz 
як	conj:subord 
в	prep::rv_mis:v-u 
ресторані	noun:m:v_mis 
Проте	adv 
реклама	noun:f:v_naz 
класна	adj:f:v_naz  
приваблює	verb:pres:s:3:imperf 
і	conj:coord 
заганяє	verb:pres:s:3:imperf 
гіпнотично	adv 
Лише	conj:subord 
біля	adv 
каси	noun:f:v_rod 
розкриваєш	verb:pres:s:2:imperf 
рота	noun:m:v_rod 
і	conj:coord 
кажеш	verb:pres:s:2:imperf 
ОГО	excl 
Я	pron:pers:s:1:v_naz:anim 
тобі	pron:pers:s:2:v_dav:anim 
так	adv:&pron:dem 
скажу	verb:futr:s:1:perf 
жінка	noun:f:v_naz:anim 
яка	adj:f:v_naz:&pron:int:rel:def 
вміє	verb:pres:s:3:imperf:v-u 
готувати	verb:inf:imperf 
красива	adj:f:v_naz:compb 
та	conj:coord
самодостатня	adj:f:v_naz 
в	prep: rv_mis
тобі	pron:pers:s:2:v_mis:anim 
явно	adv 
потреби	noun:f:v_rod 
не	part 
має	verb:pres:s:3:imperf 
вже	adv:v-u 
можу	verb:unknown 
сказати	verb:inf:perf 
100%	number 
адже	conj:subord 
та	adj:f:v_naz:&pron:dem 
людина	noun:f:v_naz:anim 
якій	adj:f:v_dav:&pron:int:rel:def 
потрібен	predic 
повар	noun:m:v_naz:anim 
на	prep:rv_mis 
кухні-це	- 
непотріб	noun:m:v_naz 
бо	conj:subord  
сам	adj:m:v_naz:&pron:def 
нічого	pron:neg:v_rod 
не	part 
вміє	verb:pres:s:3:imperf:v-u 
робити	verb:inf:imperf 
а	conj:coord 
та	conj:coord 
	part 
яка	adj:f:v_naz:&pron:int:rel:def 
вміє	verb:pres:s:3:imperf:v-u 
готувати	verb:inf:imperf 
і	conj:coord  
словом	noun:n:v_oru 
не	part 
лбмивиться	- 
про	prep:rv_zna 
це	adj:n:v_zna:&pron:dem 
а	conj:coord 
просто	adv:compb 
мовчки	adv 
покаже	verb:futr:s:3:perf 
що	conj:subord 
вміє	verb:pres:s:3:imperf:v-u 
готувати	verb:inf:imperf 
і	conj:coord 
той	adj:m:v_naz:&pron:dem 
хто	pron:int:rel:m:v_naz:anim 
дійсно	adv 
любить	verb:pres:s:3:imperf 
кохати	verb:inf:imperf 
не	part 
за	prep:rv_rod:rv_zna:rv_oru 
те	adj:n:v_naz:&pron:dem 
	adj:n:v_zna:&pron:dem 
що	conj:subord 
	pron:int:rel:n:v_naz 
	pron:int:rel:n:v_zna 
вміє	verb:pres:s:3:imperf:v-u 
чи	conj:coord:subord 
	part 
не	part 
вміє	verb:pres:s:3:imperf:v-u 
готувати	verb:inf:imperf 
а	conj:coord 
	excl 
	part 
просто	adv:compb 
	part 
	prep:rv_rod 
за	prep:rv_zna 
те	adj:n:v_zna:&pron:dem 
що	conj:subord 
саме	adv 
ця	adj:f:v_naz:&pron:dem 
людина	noun:f:v_naz:anim 
поруч	adv 
за	prep:rv_zna
те	adj:n:v_zna:&pron:dem 
що	conj:subord 
Бог	noun:m:v_naz:anim 
дав	verb:past:m:perf 
таку	adj:f:v_zna:&pron:def 
чудову	adj:f:v_zna:compb 
кохати	verb:inf:imperf 
та	conj:coord 
бути	verb:inf:imperf 
коханим	adjp:pasv:past:m:v_oru 
а	conj:coord 
якщо	conj:subord 
ще	part 
брати	verb:inf:imperf 
на	prep:rv_zna
рахунок	noun:m:v_zna 
то	conj:subord 
ти	pron:pers:s:2:v_naz:anim 
хто	pron:int:rel:m:v_naz:anim 
Білл	noun:m:v_naz:anim:fname 
Гейтс	noun:m:v_naz:anim:lname 
чи	conj:coord:subord 
Пітт	noun:m:v_naz:anim:fname 
Ще	part 
ти	pron:pers:s:2:v_naz:anim 
собі	pron:refl:m:v_dav 
на	prep:rv_zna
рахунок	noun:m:v_zna 
візьми	verb:impr:s:2:perf 
шановний	adj:m:v_naz 
вареники	noun:p:v_naz 
в	prep:rv_rod:v-u 
справді	adv 
відповідають	verb:pres:p:3:imperf 
усім	adj:p:v_dav:&pron:dem 
смаковим	adj:p:v_dav 
стандартам	noun:p:v_dav 
цієї	adj:f:v_rod:&pron:dem 
національної	adj:f:v_rod 
страви	noun:f:v_rod 
І	conj:coord 
це	adj:n:v_naz:&pron:dem 
чи	conj:coord:subord  
не	part 
єдиний	adj:m:v_naz 
заклад	noun:m:v_naz 
громадського	adj:n:v_rod 
харчування	noun:n:v_naz 
	noun:n:v_rod 
	noun:n:v_zna 
	noun:p:v_naz 
	noun:p:v_zna 
в	prep:rv_mis:v-u 
Луцьку	noun:m:v_mis 
з	prep: rv_oru 
такими	adj:p:v_oru:&pron:def 
смачними	adj:p:v_oru:compb 
варениками	noun:p:v_oru 
Широкий	adj:m:v_naz:compb 
вибір	noun:m:v_naz 
на	prep:rv_zna
всі	adj:p:v_zna:&pron:dem 
смаки	noun:p:v_zna 
вареники	noun:p:v_naz 
великі	adj:p:v_naz:compb 
бо	conj:subord 
в	prep:rv_mis:v-u 
інших	adj:p:v_mis:&pron:def 
закладах	noun:p:v_mis 
можна	predic 
покласти	verb:inf:perf 
5	number 
Штук	noun:p:v_rod 
В	prep:rv_zna:v-u 
Рот	noun:m:v_zna 
І	conj:coord 
Ще	part 
в	prep:rv_zna:v-u 
чотири	numr:p:v_zna 
пальці	noun:p:v_zna 
свиснути	verb:inf:perf  
молодець	noun:m:v_naz:anim 
Так	adv:&pron:dem 
Олеже	noun:m:v_kly:anim:fname
тримати	verb:inf:imperf  
А	conj:coord 
Лучанка	noun:f:v_naz:anim 
завжди	adv:&pron:gen 
рве	verb:pres:s:3:imperf 
гланди	noun:p:v_zna 
через	prep:rv_zna 
дупу	noun:f:v_zna 
але	conj:coord 
то	conj:subord 
справа	noun:f:v_naz 
її	adj:f:nv:&pron:pos 
характеру	noun:m:v_rod 
як	conj:subord 
вона	pron:pers:f:3:v_naz:anim 
називає	verb:pres:s:3:imperf 
є	verb:pres:s:3:imperf 
для	prep:rv_rod 
різних	adj:p:v_rod 
людей	noun:p:v_rod:anim 
комусь	pron:ind:v_dav:anim 
смачна	adj:f:v_naz:compb 
з	prep:rv_rod
жолудів	noun:p:v_rod 
і	conj:coord 
каштанів	noun:p:v_rod 
за	prep:rv_zna
7	number 
гривень	noun:p:v_rod 
А	conj:coord 
хтось	pron:ind:v_naz:anim 
може	verb:unknown 
заплатити	verb:inf:perf 
І	conj:coord 
Це	adj:n:v_naz:&pron:dem
Ж	conj:coord 
по	prep:rv_mis
доходах	noun:p:v_mis 
пан	noun:m:v_naz:anim 
якщо	conj:subord 
Я	pron:pers:s:1:v_naz:anim 
не	part 
помиляюсь	verb:rev:pres:s:1:imperf 
купив	verb:past:m:perf 
франшизу	noun:f:v_zna 
на	prep:rv_zna
Вареники	noun:p:v_naz 
тут	adv:&pron:dem 
І	conj:coord 
правильно	adv:compb 
зробив	verb:past:m:perf 
У	prep:rv_mis:v-u 
луцьку	adj:f:v_zna
такого	adj:m:v_rod:&pron:def 
ще	 part 
не	part 
було	verb:past:n:imperf 
У	prep:rv_mis:v-u 
Львові	noun:m:v_mis 
це	adj:n:v_naz:&pron:dem 
дуже	adv 
популярне	adj:n:v_naz:compb 
місце	noun:n:v_naz 
В	prep:rv_mis:v-u 
Ашані	noun:m:v_mis 
Можна	predic 
смачно	adv:compb 
поїсти	verb:inf:perf 
І	conj:coord 
не	part 
лише	part 
вареники	noun:p:v_naz 
	noun:p:v_zna 
соління-квашіння	
варені	adj:p:v_naz:&adjp:pasv:past
овочі	noun:p:v_naz 
для	prep:rv_rod 
тих	adj:p:v_rod:&pron:dem 
хто	pron:int:rel:m:v_naz:anim 
не	part 
хоче	verb:unknown 
гладшати	verb:inf:imperf 
люблю	verb:pres:s:1:imperf 
вареники	noun:p:v_zna 
І	conj:coord  
З	prep:rv_oru
сиром	noun:m:v_oru 
пироги	noun:p:v_zna 
08.02.2013	date 
Я	pron:pers:s:1:v_naz:anim 
люблю	verb:pres:s:1:imperf 
заходити	verb:inf:perf 
туди	adv:&pron:dem 
на	prep:rv_zna
вареники	noun:p:v_zna 
бо	conj:subord 
дуже	adv 
смачні	adj:p:v_naz:compb 
А	conj:coord 
ще	part 
задивляюсь	verb:rev:pres:s:1:imperf 
на	prep:rv_zna
дівчат	noun:p:v_zna:anim 
Усі	adj:p:v_naz:&pron:dem 
вони	pron:pers:p:3:v_naz:anim
там	adv:&pron:dem 
дуже	adv 
красиві	adj:p:v_naz:compb 
хай	part 
Бог	noun:m:v_naz:anim 
мені	pron:pers:s:1:v_dav:anim
прощає	verb:pres:s:3:imperf 
гріх	noun:m:v_zna 
Я	pron:pers:s:1:v_naz:anim
вже	adv:v-u 
трохи	adv 
пристаркуватий	adj:m:v_naz 
але	conj:coord 
Я	pron:pers:s:1:v_naz:anim
крадькома	adv 
Коментатор	noun:m:v_naz:anim 
Журналіст	noun:m:v_naz:anim 
правий	adj:m:v_naz:compb 
на	prep:rv_zna
101	number 
відсоток	noun:m:v_zna 
Смачніших	adj:p:v_rod:compr 
вареників	noun:p:v_rod 
немає	predic 
В	prep:rv_mis:v-u 
світі	noun:m:v_mis 
А	conj:coord 
молодим	adj:p:v_dav:compb 
скажу	verb:futr:s:1:perf  
дівчина	noun:f:v_naz:anim 
яка	adj:f:v_naz:&pron:int:rel:def 
вміє	verb:pres:s:3:imperf:v-u 
приготувати	verb:inf:perf 
смачні	adj:p:v_zna:compb 
вареники	noun:p:v_zna 
чудова	adj:f:v_naz:compb 
господиня	noun:f:v_naz:anim 
І	conj:coord 
прекрасна	adj:f:v_naz:compb 
майбутня	adj:f:v_naz 
дружина	noun:f:v_naz:anim 
Візьміть	verb:impr:p:2:perf 
собі	pron:refl:m:v_dav 
	pron:refl:m:v_mis 
	pron:refl:n:v_dav 
	pron:refl:n:v_mis 
на	prep:rv_zna
рахунок	 noun:m:v_zna 
Тут	adv:&pron:dem 
відвідувач	noun:m:v_naz:anim 
хоче	verb:unknown 
вареників	noun:p:v_rod 
А	conj:coord 
не	part 
має	verb:pres:s:3:imperf 
грошей	noun:p:v_rod 
І	conj:coord 
соваючи	advp:imperf 
мідяки	noun:p:v_zna 
на	prep:rv_mis 
долоні	noun:f:v_mis 
хоче	verb:unknown 
щось	pron:ind:n:v_zna 
сказати	verb:inf:perf 
Немає	predic 
