Turianska 20-30 female
Ні	part  -25
неправильно	adv  -25
Порція	noun:f:v_naz  0
борщу	noun:m:v_rod  6
15	number  0
грн	noun:p:v_naz:nv:abbr  0
Не	part  -26
знаю	verb:pres:s:1:imperf  24
точно	adv  0
скільки	numr:p:v_naz:&pron:ind  0
там	adv:&pron:dem  0
грам	noun:m:v_zna  0
порція	noun:f:v_naz  5
стандартна	adj:f:v_naz:compb  12
як	conj:subord  0
у	prep: rv_mis:v-u  0
всіх	adj:p:v_mis:&pron:dem  0
закладах	noun:p:v_mis  0
місце	noun:n:v_naz  0
Вся	adj:f:v_naz:&pron:dem  0
їжа	noun:f:v_naz  23
по	prep: rv_zna  0
7	number  0
грн	noun:p:v_zna:nv:abbr  0
за	prep: rv_zna 0
100	number  0
по-моєму	insert  18
геніально	adv:compb  38
Є	verb:pres:p:3:imperf  11
і	conj:coord  0
вареники	noun:p:v_naz  13
і	conj:coord  0
борщ	noun:m:v_naz  6
і	conj:coord  0
салат-бар	noun:m:v_naz  1
і	conj:coord  0
чай-лимонад	noun:m:v_naz  12
До	prep:rv_rod  0
купи	 0
	noun:f:v_rod  0
ще	part  0
й	conj:coord  0
інтер'єр	noun:m:v_naz  13
приємний	adj:m:v_naz:compb  34
Все	part:v-u  0
що	conj:subord  0
треба	predic  0
для	prep:rv_rod  0
хорошої	adj:f:v_rod:compb  45
вечері	noun:f:v_rod  10
Борщ	noun:m:v_naz  3
за	prep:rv_zna 0
15	number  0
лимонад	noun:m:v_naz  7
за	prep: rv_zna 0
15	number  0
глінтвейн	noun:m:v_naz  12
за	prep: rv_zna 0
15	number  0
4	number  0
маленьких	adj:p:v_rod  -12
мандаринки	noun:f:v_rod  35
сотка	noun:f:v_naz  0
жирно	adv  0
виходять	verb:pres:p:3:imperf  0
мандаринки	noun:p:v_naz  39
По	prep:rv_mis:rv_zna  0
ходу	noun:f:v_zna  0
	 0
	noun:m:v_dav  0
	noun:m:v_rod  0
в	prep:rv_rod:v-u  0
мене	pron:pers:s:1:v_zna:anim  0
сотка	noun:f:v_naz  0
в	prep:rv_mis:v-u  0
чеку	noun:m:v_mis  -10
по	prep:rv_mis:rv_zna  0
суті	noun:f:v_dav  0
	noun:f:v_mis  0
	noun:f:v_rod  0
нічого	pron:neg:v_rod  -13
не	part  -15
взявши	advp:perf  0
через	prep:rv_zna  0
мандаринки	noun:p:v_zna  39
якщо	conj:subord  0
їх	pron:pers:p:3:v_zna:anim  0
так	adv:&pron:dem  0
	conj:coord:subord  0
	part  0
само	adj:n:v_naz:&pron:def  0
враховують	verb:pres:p:3:imperf:v-u  0
за	prep: rv_zna 0
Борщ	noun:m:v_naz  7
за	prep: rv_zna 7
15	number  0
лимонад	noun:m:v_naz  14
за	prep: rv_zna 0
15	number  0
глінтвейн	noun:m:v_naz  37
за	prep: rv_zna 0
15	number  0
4	number  0
маленьких	adj:p:v_zna  -16
мандаринки	noun:p:v_zna  40
сотка	noun:f:v_naz  0
Мають	verb:pres:p:3:imperf  0
бути	verb:inf:imperf  0
вареники	noun:p:v_naz  11
не	part  -14
великі	adj:p:v_naz:compb  9
і	conj:coord  0
смачні	adj:p:v_naz:compb  40
щоб	conj:subord  0
	part  0
в	prep: rv_mis:v-u  0
роті	noun:m:v_mis  0
потопали	verb:past:p:imperf  11
А	conj:coord  0
ТАМ	adv:&pron:dem  0
великі	adj:p:v_naz:compb  7
і	conj:coord  0
недоварені	adj:p:v_naz  -45
та	conj:coord  0
ще	part  0
й	conj:coord 	 0
дорогі	adj:p:v_naz:compb  -42
за	prep: rv_zna 0
а	conj:coord  0
за	prep:rv_zna 0
200	number  0
14	number  0
отже	insert  0
порція	noun:f:v_naz  0
як	conj:subord  0
в	prep::rv_mis:v-u  0
ресторані	noun:m:v_mis  34
Проте	adv  -12
реклама	noun:f:v_naz  0
класна	adj:f:v_naz   49
приваблює	verb:pres:s:3:imperf  49
і	conj:coord  0
заганяє	verb:pres:s:3:imperf  -32
гіпнотично	adv  -13
Лише	conj:subord  -5
біля	adv  0
каси	noun:f:v_rod  0
розкриваєш	verb:pres:s:2:imperf  0
рота	noun:m:v_rod  0
і	conj:coord  0
кажеш	verb:pres:s:2:imperf  0
ОГО	excl  31
Я	pron:pers:s:1:v_naz:anim  34
тобі	pron:pers:s:2:v_dav:anim  0
так	adv:&pron:dem  23
скажу	verb:futr:s:1:perf  0
жінка	noun:f:v_naz:anim  34
яка	adj:f:v_naz:&pron:int:rel:def  0
вміє	verb:pres:s:3:imperf:v-u  27
готувати	verb:inf:imperf  42
красива	adj:f:v_naz:compb  47
та	conj:coord 0
самодостатня	adj:f:v_naz  31
в	prep: rv_mis 0
тобі	pron:pers:s:2:v_mis:anim  0
явно	adv  0
потреби	noun:f:v_rod  0
не	part  -15
має	verb:pres:s:3:imperf  17
вже	adv:v-u  0
