words,polarity,negativeCounter,neutralCounter,positiveCounter,iteration
абат,U,0,0,0,-1
ігумен,U,0,0,0,-1
абатиса,U,0,0,0,-1
ігуменя,U,0,0,0,-1
абатство,U,0,0,0,-1
манастир,U,0,0,0,-1
абетка,0,0,1,0,5
азбука,0,0,2,1,4
альфабет,0,0,1,0,6
алфавит,0,0,1,0,6
букви,0,0,2,0,6
літери,0,0,2,0,6
абеточка,0,0,1,0,6
абетковий,-,3,0,0,3
азбучний,-,4,0,0,3
поазбучний,-,1,0,0,4
альфабетний,-,2,0,0,4
абетний,-,2,0,0,4
елементарний,-,2,0,0,2
початковий,-,2,0,0,2
загальновідомий,-,1,0,0,2
абеткувати,U,0,0,0,-1
реєструвати_за_абеткою,U,0,0,0,-1
абетник,U,0,0,0,-1
альфабетний_покажчик,U,0,0,0,-1
абзац,0,0,1,0,3
відступ,0,0,3,0,4
новий_рядок,0,0,1,0,4
уступ,0,0,2,0,2
аби,0,0,1,0,1
аби_тільки,0,0,1,0,2
аби_но,0,0,1,0,2
тільки_б,0,0,1,0,2
якби_тільки,0,0,1,0,2
щоб_лише,0,0,1,0,2
щоб,0,0,1,0,0
щоби,0,0,1,0,2
для_того,0,0,1,0,2
з_тим,0,0,1,0,2
абись,0,0,1,0,2
абиде,0,0,2,0,2
будь-де,0,0,1,0,3
де-будь,0,0,1,0,3
хоч_де,0,0,1,0,3
хай_де,0,0,1,0,3
де_припало,0,0,1,0,3
денебудь,0,0,3,0,1
десь,0,0,1,0,1
абиколи,0,0,1,0,1
будь-коли,+,0,1,2,1
колибудь,A,0,1,1,2
хоч_коли,A,0,1,1,1
хай_коли,A,0,1,1,1
колись,0,0,1,0,0
колинебудь,0,0,4,0,1
абикуди,0,0,4,0,2
будь-куди,0,0,1,0,2
кудибудь,0,0,1,0,2
хоч_куди,0,0,1,0,3
хай_куди,0,0,2,0,2
куди-небудь,0,0,1,0,3
кудись,0,0,4,0,2
аби_то,0,0,2,0,2
якнебудь,0,0,2,0,1
недбало,0,0,3,0,3
абияк,0,0,2,0,2
так_собі,0,0,1,0,1
абихто,A,1,1,0,3
будь-хто,-,3,0,0,3
хтобудь,U,0,0,0,4
хоч_хто,0,0,1,0,4
хай_хто,U,0,0,0,4
хтонебудь,0,1,3,0,3
хтось,0,0,1,0,2
абичий,U,0,0,0,-1
будь-чий,U,0,0,0,-1
чийбудь,U,0,0,0,-1
хай_чий,U,0,0,0,-1
хоч_чий,U,0,0,0,-1
чийнебудь,U,0,0,0,-1
чийсь,U,0,0,0,-1
абищиця,0,0,3,0,3
дрібниця,0,0,4,1,2
дрібничка,0,0,3,0,3
дурниця,0,0,4,0,2
дурничка,0,0,3,0,3
витребенька,0,0,5,2,3
абищо,0,2,5,0,2
будь-що,0,0,3,0,3
щобудь,0,0,2,0,3
хоч_що,0,0,1,0,3
хай_що,0,0,4,0,3
щонебудь,0,0,1,0,2
щось,0,0,2,0,1
нісенітниця,0,0,1,0,2
ніщо,-,3,0,0,2
нікчема,-,2,0,1,2
не_абищо,0,0,1,0,3
не_хвіст_собачий,0,0,1,0,3
будь-як,0,0,2,0,2
як-будь,0,0,1,0,3
хай_як,0,0,1,0,3
сяк-так,0,0,3,0,2
на_живу_нитку,0,0,1,0,3
абиякий,-,1,0,0,1
будь-який,-,1,0,0,2
якийбудь,-,1,0,0,2
перший-ліпший,-,2,0,0,2
хоч_який,-,1,0,0,2
хай_який,-,1,0,0,2
якийнебудь,-,3,0,0,2
сякий-такий,-,2,1,0,1
неавторитетний,-,1,0,0,2
звичайний,-,5,0,0,1
без_ваги,-,1,0,0,2
нездалий,-,2,0,0,2
поганий,-,4,0,0,1
неякісний,-,1,0,0,0
абітурієнт,+,0,0,1,5
випускник,+,0,0,1,4
матурант,+,0,0,1,6
вступник,+,0,0,1,6
або,0,0,1,0,1
чи,0,0,1,0,0
чи_то,0,0,1,0,2
альбо,0,0,1,0,2
а_то,0,0,1,0,2
тобто,0,0,1,0,2
інакше_кажучи,0,0,2,0,2
хіба,0,0,4,0,1
абориґен,-,2,0,1,5
тубілець,-,1,0,0,6
автохтон,+,0,0,1,4
корінний_житель,-,1,0,0,6
старожил,-,1,0,0,6
місцевий,-,1,0,0,4
тутешній,-,2,0,0,4
аборигенний,-,3,0,0,4
тубільний,-,2,0,0,4
автохтонний,-,2,0,0,4
корінний,A,2,1,2,3
аборт,U,0,0,0,-1
передчасні_пологи,U,0,0,0,-1
викидень,U,0,0,0,-1
абощо,U,0,0,0,-1
чи_що,U,0,0,0,-1
чи_там_що,U,0,0,0,-1
чи_то_ще_що,U,0,0,0,-1
абракадабра,0,0,1,0,2
абсурд,0,0,1,0,1
абрикоса,U,0,0,0,-1
жерделя,U,0,0,0,-1
мореля,U,0,0,0,-1
абрис,0,1,2,0,2
контур,0,0,7,0,3
обрис,0,0,3,0,2
обвід,A,1,1,0,2
окреслення,0,0,2,0,3
конфігурація,0,1,2,0,2
закрій,0,0,1,0,3
лінія,-,4,2,0,1
абсолютизм,-,1,0,0,5
самодержавство,-,1,0,0,6
монархізм,-,1,0,0,6
автократія,-,1,0,0,6
тиранія,-,2,0,0,4
деспотія,-,1,0,0,6
деспотизм,-,2,0,0,5
тоталітаризм,-,1,0,0,6
диктатура,-,1,0,0,6
абсолютний,-,6,0,3,3
цілковитий,-,5,0,3,3
повний,-,6,0,4,3
необмежений,A,3,0,3,3
безумовний,A,3,3,0,3
всеосяжний,0,2,3,1,4
всеохопний,A,2,2,1,4
тотальний,-,2,0,1,4
безвідносний,-,1,0,0,4
абсолютно,0,0,1,0,0
умоглядний,0,0,1,0,1
безглуздя,0,0,1,0,2
нонсенс,0,0,1,0,2
несусвітенність,0,0,1,0,2
безглуздість,0,0,1,0,2
нісенітність,0,0,1,0,2
неподобність,0,0,1,0,2
недоладність,0,0,1,0,2
на_вербі_груші,0,0,1,0,2
сон_рябої_кобили,0,0,1,0,2
таке,0,0,1,0,0
що_й_купи_не_держиться,0,0,1,0,2
бридня,0,0,1,0,2
глупство,0,0,1,0,2
чортзна-що,0,0,1,0,2
чортибатька-що,0,0,2,0,2
маячня,0,0,4,0,2
ідіотизм,0,0,1,0,2
дурість,0,0,4,0,2
парадокс,0,0,1,0,2
анекдота,A,1,1,1,2
анекдотичність,0,0,1,0,2
анекдот,0,0,1,0,2
абсурдний,-,4,0,0,2
безглуздий,-,2,1,0,2
нісенітний,-,1,0,0,2
ні_в_кут_ні_в_двері,-,1,0,0,3
ні_те_ні_се,-,1,0,0,3
дикий,-,4,0,0,1
абсцис,-,2,0,0,4
гнояк,-,1,0,0,4
нарив,-,1,0,0,5
чир,-,2,0,0,4
чиряк,-,1,0,0,3
фурункул,-,3,0,0,4
карбункул,-,2,0,0,4
нагноєння,-,1,0,0,5
запалення,-,1,0,0,5
аванґард,-,2,0,0,3
перший_ешельон,-,1,0,0,4
передова_частина,-,1,0,0,4
передовики,-,1,0,0,4
перші_лави,A,1,1,0,4
еліта,-,2,0,1,2
вершки,-,2,0,0,2
сметанка,-,3,1,0,3
авангардний,A,0,1,1,2
передовий,0,0,2,1,2
з_перших_лав,U,0,0,0,3
елітарний,U,0,0,0,3
аванс,U,0,0,0,-1
завдаток,U,0,0,0,-1
авансом,0,0,4,0,2
