words,polarity,negativeCounter,neutralCounter,positiveCounter,iteration
абат,U,0,0,0,-1
ігумен,U,0,0,0,-1
абатиса,U,0,0,0,-1
ігуменя,U,0,0,0,-1
абатство,U,0,0,0,-1
манастир,U,0,0,0,-1
абетка,+,0,0,1,6
азбука,+,0,0,2,5
альфабет,+,0,0,1,7
алфавит,+,0,0,1,7
букви,+,0,0,1,7
літери,+,0,0,1,7
абеточка,+,0,0,1,7
абетковий,+,0,0,3,5
азбучний,+,0,0,4,5
поазбучний,+,0,0,1,6
альфабетний,+,0,0,2,6
абетний,+,0,0,2,6
елементарний,+,1,0,4,4
початковий,+,1,0,2,4
загальновідомий,+,0,0,4,5
абеткувати,U,0,0,0,-1
реєструвати_за_абеткою,U,0,0,0,-1
абетник,U,0,0,0,-1
альфабетний_покажчик,U,0,0,0,-1
абзац,+,0,0,2,7
відступ,+,0,0,5,7
новий_рядок,+,0,0,1,8
уступ,+,0,0,3,6
аби,+,0,0,1,5
аби_тільки,+,0,0,1,6
аби_но,+,0,0,1,6
тільки_б,+,0,0,1,6
якби_тільки,+,0,0,1,6
щоб_лише,+,0,0,1,6
щоб,+,0,0,1,4
щоби,+,0,0,1,6
для_того,+,0,0,1,6
з_тим,+,0,0,1,6
абись,+,0,0,1,6
абиде,+,0,0,2,4
будь-де,+,0,0,1,5
де-будь,+,0,0,1,5
хоч_де,+,0,0,1,5
хай_де,+,0,0,1,5
де_припало,+,0,0,1,5
денебудь,+,0,0,3,3
десь,+,0,0,6,3
абиколи,+,0,0,4,5
будь-коли,+,0,0,2,5
колибудь,+,0,0,2,6
хоч_коли,+,0,0,1,5
хай_коли,+,0,0,1,5
колись,+,0,0,3,4
колинебудь,A,1,0,1,4
абикуди,+,0,0,4,3
будь-куди,+,0,0,2,3
кудибудь,+,0,0,1,3
хоч_куди,+,0,0,1,4
хай_куди,+,0,0,2,3
куди-небудь,+,0,0,1,4
кудись,+,0,0,4,3
аби_то,+,0,0,1,3
якнебудь,+,0,0,3,4
недбало,+,0,0,3,4
абияк,+,0,0,4,4
так_собі,+,0,0,1,2
абихто,+,0,0,3,6
будь-хто,+,0,0,3,5
хтобудь,+,0,0,1,7
хоч_хто,+,0,0,2,7
хай_хто,+,0,0,1,7
хтонебудь,+,0,0,3,6
хтось,+,0,0,3,5
абичий,U,0,0,0,-1
будь-чий,U,0,0,0,-1
чийбудь,U,0,0,0,-1
хай_чий,U,0,0,0,-1
хоч_чий,U,0,0,0,-1
чийнебудь,U,0,0,0,-1
чийсь,U,0,0,0,-1
абищиця,+,0,0,2,5
дрібниця,+,1,0,4,4
дрібничка,+,0,0,3,5
дурниця,+,0,0,4,4
дурничка,+,0,0,2,5
витребенька,+,0,0,10,5
абищо,+,0,0,2,4
будь-що,+,0,0,1,4
щобудь,+,0,0,2,5
хоч_що,+,0,0,1,5
хай_що,+,0,0,3,3
щонебудь,+,0,0,3,5
щось,+,0,0,2,4
нісенітниця,+,0,0,2,5
ніщо,+,0,0,2,5
нікчема,+,0,0,3,5
не_абищо,+,0,0,1,5
не_хвіст_собачий,+,0,0,1,5
будь-як,+,0,0,3,5
як-будь,+,0,0,1,5
хай_як,+,0,0,1,5
сяк-так,+,0,0,4,4
на_живу_нитку,+,0,0,1,5
абиякий,+,0,0,1,3
будь-який,+,0,0,1,4
якийбудь,+,0,0,1,4
перший-ліпший,+,0,0,3,4
хоч_який,+,0,0,1,4
хай_який,+,0,0,1,4
якийнебудь,+,0,0,4,4
сякий-такий,+,0,0,1,2
неавторитетний,+,0,0,1,4
звичайний,+,3,0,5,4
без_ваги,+,0,0,1,4
нездалий,+,0,0,3,4
поганий,A,3,0,3,3
неякісний,A,1,0,1,4
абітурієнт,+,0,0,1,9
випускник,+,0,0,1,8
матурант,+,0,0,1,10
вступник,+,0,0,1,10
або,-,2,0,0,3
чи,-,2,0,0,2
чи_то,-,1,0,0,4
альбо,-,1,0,0,4
а_то,-,1,0,0,4
тобто,-,1,0,0,4
інакше_кажучи,-,2,0,0,4
хіба,-,1,0,0,2
абориґен,+,0,0,2,7
тубілець,+,0,0,1,8
автохтон,+,0,0,2,8
корінний_житель,+,0,0,1,8
старожил,+,0,0,1,8
місцевий,+,0,0,2,6
тутешній,+,0,0,3,6
аборигенний,+,0,0,3,6
тубільний,+,0,0,3,6
автохтонний,+,0,0,4,6
корінний,+,0,0,5,5
аборт,U,0,0,0,-1
передчасні_пологи,U,0,0,0,-1
викидень,U,0,0,0,-1
абощо,U,0,0,0,-1
чи_що,U,0,0,0,-1
чи_там_що,U,0,0,0,-1
чи_то_ще_що,U,0,0,0,-1
абракадабра,+,0,0,1,6
абсурд,+,0,0,5,5
абрикоса,U,0,0,0,-1
жерделя,U,0,0,0,-1
мореля,U,0,0,0,-1
абрис,+,0,0,1,4
контур,+,0,0,5,4
обрис,+,0,0,7,4
обвід,+,0,0,4,5
окреслення,+,0,0,2,5
конфігурація,A,0,1,1,3
закрій,+,0,0,1,5
лінія,+,0,0,8,4
абсолютизм,+,0,0,1,8
самодержавство,+,0,0,1,9
монархізм,+,0,0,1,9
автократія,+,0,0,1,9
тиранія,+,0,0,2,7
деспотія,+,0,0,1,9
деспотизм,+,0,0,2,8
тоталітаризм,+,0,0,1,9
диктатура,+,0,0,1,9
абсолютний,+,2,0,3,5
цілковитий,+,3,0,6,5
повний,-,8,0,4,4
необмежений,+,2,0,4,5
безумовний,+,2,0,6,5
всеосяжний,+,0,0,7,5
всеохопний,+,0,0,6,6
тотальний,+,1,0,3,5
безвідносний,+,0,0,1,6
абсолютно,+,0,0,7,2
умоглядний,+,0,0,1,3
безглуздя,+,0,0,2,6
нонсенс,+,0,0,1,6
несусвітенність,+,0,0,1,6
безглуздість,+,0,0,2,6
нісенітність,+,0,0,1,6
неподобність,+,0,0,1,5
недоладність,+,0,0,1,6
на_вербі_груші,+,0,0,3,5
сон_рябої_кобили,+,0,0,4,5
таке,+,0,0,1,6
що_й_купи_не_держиться,+,0,0,1,6
бридня,+,0,0,2,5
глупство,+,0,0,2,6
чортзна-що,+,0,0,2,6
чортибатька-що,+,0,0,3,5
маячня,+,0,0,3,5
ідіотизм,+,0,0,1,6
дурість,+,0,0,3,5
парадокс,+,0,0,1,6
анекдота,+,0,0,6,5
анекдотичність,+,0,0,1,6
анекдот,+,0,0,2,6
абсурдний,+,1,0,3,5
безглуздий,+,1,0,3,4
нісенітний,-,1,0,0,4
ні_в_кут_ні_в_двері,+,0,0,1,6
ні_те_ні_се,+,0,0,1,6
дикий,+,1,0,4,4
абсцис,+,0,0,2,7
гнояк,+,0,0,1,7
нарив,+,0,0,1,8
чир,+,0,0,2,7
чиряк,+,0,0,1,6
фурункул,+,0,0,3,7
карбункул,+,0,0,2,7
нагноєння,+,0,0,1,8
запалення,+,0,0,1,8
аванґард,+,0,0,3,6
перший_ешельон,+,0,0,1,7
передова_частина,+,0,0,1,7
передовики,+,0,0,1,7
перші_лави,+,0,0,2,6
еліта,+,0,0,4,5
вершки,+,0,0,4,5
сметанка,+,0,0,4,5
авангардний,+,0,0,2,6
передовий,+,1,0,6,5
з_перших_лав,+,0,0,1,7
елітарний,+,0,0,1,7
аванс,U,0,0,0,-1
завдаток,U,0,0,0,-1
авансом,+,0,0,3,5
