words,polarity,negativeCounter,neutralCounter,positiveCounter,iteration
абат,U,0,0,0,-1
ігумен,U,0,0,0,-1
абатиса,U,0,0,0,-1
ігуменя,U,0,0,0,-1
абатство,U,0,0,0,-1
манастир,U,0,0,0,-1
абетка,+,0,0,1,4
азбука,+,0,0,2,3
альфабет,+,0,0,1,5
алфавит,+,0,0,1,5
букви,A,0,1,1,5
літери,A,0,1,1,5
абеточка,+,0,0,1,5
абетковий,0,0,3,0,4
азбучний,0,0,4,0,4
поазбучний,0,0,1,0,5
альфабетний,0,0,2,0,5
абетний,0,0,2,0,5
елементарний,0,0,4,0,3
початковий,0,0,2,0,3
загальновідомий,0,0,4,0,4
абеткувати,U,0,0,0,-1
реєструвати_за_абеткою,U,0,0,0,-1
абетник,U,0,0,0,-1
альфабетний_покажчик,U,0,0,0,-1
абзац,A,1,1,0,5
відступ,-,2,1,0,5
новий_рядок,U,0,0,0,6
уступ,0,0,3,0,4
аби,0,0,1,0,1
аби_тільки,0,0,1,0,2
аби_но,0,0,1,0,2
тільки_б,0,0,1,0,2
якби_тільки,0,0,1,0,2
щоб_лише,0,0,1,0,2
щоб,0,0,1,0,0
щоби,0,0,1,0,2
для_того,0,0,1,0,2
з_тим,0,0,1,0,2
абись,0,0,1,0,2
абиде,0,0,1,0,2
будь-де,0,0,1,0,3
де-будь,0,0,1,0,3
хоч_де,0,0,1,0,3
хай_де,0,0,1,0,3
де_припало,0,0,1,0,3
денебудь,A,0,1,1,1
десь,0,0,2,0,1
абиколи,0,0,3,0,2
будь-коли,0,0,1,0,2
колибудь,0,0,2,0,3
хоч_коли,U,0,0,0,2
хай_коли,U,0,0,0,2
колись,0,0,3,0,1
колинебудь,0,0,2,0,2
абикуди,0,0,2,0,3
будь-куди,0,0,3,0,3
кудибудь,0,0,2,0,3
хоч_куди,0,0,1,0,4
хай_куди,0,0,2,0,3
куди-небудь,0,0,1,0,4
кудись,0,0,3,0,2
аби_то,0,0,1,0,3
якнебудь,0,0,2,0,2
недбало,A,1,0,1,3
абияк,A,0,1,1,3
так_собі,A,1,1,0,3
абихто,0,0,1,0,1
будь-хто,0,0,2,0,2
хтобудь,0,0,1,0,2
хоч_хто,0,0,2,0,2
хай_хто,0,0,1,0,2
хтонебудь,0,0,4,0,1
хтось,0,0,1,0,0
абичий,U,0,0,0,-1
будь-чий,U,0,0,0,-1
чийбудь,U,0,0,0,-1
хай_чий,U,0,0,0,-1
хоч_чий,U,0,0,0,-1
чийнебудь,U,0,0,0,-1
чийсь,U,0,0,0,-1
абищиця,A,1,1,0,3
дрібниця,A,2,2,2,2
дрібничка,+,0,0,1,3
дурниця,-,2,1,0,3
дурничка,U,0,0,0,3
витребенька,0,3,5,1,4
абищо,0,0,1,0,2
будь-що,0,0,3,0,3
щобудь,0,0,2,0,3
хоч_що,0,0,1,0,3
хай_що,0,0,4,0,2
щонебудь,0,0,3,0,2
щось,0,0,1,0,1
нісенітниця,A,1,1,0,3
ніщо,0,0,2,0,3
нікчема,0,1,2,0,2
не_абищо,0,0,1,0,3
не_хвіст_собачий,0,0,1,0,3
будь-як,0,0,1,0,3
як-будь,U,0,0,0,4
хай_як,U,0,0,0,4
сяк-так,A,0,1,1,2
на_живу_нитку,U,0,0,0,4
абиякий,0,0,2,0,3
будь-який,0,0,6,0,3
якийбудь,0,0,1,0,4
перший-ліпший,0,0,2,0,3
хоч_який,0,0,2,0,3
хай_який,0,0,2,0,4
якийнебудь,0,0,2,0,2
сякий-такий,0,0,7,1,3
неавторитетний,0,0,1,0,4
звичайний,0,0,6,3,3
без_ваги,0,0,1,0,4
нездалий,0,2,5,0,3
поганий,A,2,2,0,2
неякісний,0,0,4,0,3
абітурієнт,0,0,1,0,6
випускник,0,0,1,0,5
матурант,0,0,1,0,7
вступник,0,0,1,0,7
або,0,0,1,0,2
чи,0,0,2,0,2
чи_то,0,0,1,0,3
альбо,0,0,1,0,3
а_то,0,0,1,0,3
тобто,0,0,2,0,3
інакше_кажучи,0,0,2,0,3
хіба,0,0,1,0,1
абориґен,0,0,2,0,5
тубілець,0,0,1,0,6
автохтон,A,0,1,1,5
корінний_житель,0,0,1,0,6
старожил,0,0,1,0,6
місцевий,0,0,5,0,4
тутешній,0,0,4,0,4
аборигенний,0,0,1,0,4
тубільний,0,0,2,0,4
автохтонний,0,0,3,0,4
корінний,0,0,5,0,3
аборт,U,0,0,0,-1
передчасні_пологи,U,0,0,0,-1
викидень,U,0,0,0,-1
абощо,U,0,0,0,-1
чи_що,U,0,0,0,-1
чи_там_що,U,0,0,0,-1
чи_то_ще_що,U,0,0,0,-1
абракадабра,-,1,0,0,5
абсурд,-,5,2,1,4
абрикоса,U,0,0,0,-1
жерделя,U,0,0,0,-1
мореля,U,0,0,0,-1
абрис,-,1,0,0,2
контур,-,2,0,0,2
обрис,-,1,0,0,1
обвід,-,2,0,1,3
окреслення,-,2,0,0,2
конфігурація,-,3,2,0,2
закрій,-,1,0,0,3
лінія,+,1,2,4,2
абсолютизм,-,1,0,0,5
самодержавство,-,1,0,0,6
монархізм,-,1,0,0,6
автократія,-,1,0,0,6
тиранія,-,2,0,0,4
деспотія,-,1,0,0,6
деспотизм,-,2,0,0,5
тоталітаризм,-,1,0,0,6
диктатура,-,1,0,0,6
абсолютний,0,0,1,0,1
цілковитий,0,0,6,0,1
повний,0,0,1,0,0
необмежений,0,0,2,0,1
безумовний,0,0,2,0,1
всеосяжний,0,0,2,0,2
всеохопний,0,0,3,0,2
тотальний,0,0,2,0,1
безвідносний,0,0,1,0,2
абсолютно,0,0,5,0,1
умоглядний,0,0,1,0,2
безглуздя,-,2,0,0,4
нонсенс,-,1,0,0,5
несусвітенність,-,1,0,0,5
безглуздість,-,2,0,0,5
нісенітність,-,1,0,0,5
неподобність,-,1,0,0,3
недоладність,-,1,0,0,5
на_вербі_груші,-,3,0,0,3
сон_рябої_кобили,-,2,0,0,3
таке,-,1,0,0,5
що_й_купи_не_держиться,-,1,0,0,5
бридня,-,2,0,0,4
глупство,-,2,0,0,5
чортзна-що,0,0,1,0,3
чортибатька-що,A,1,1,0,3
маячня,-,2,0,0,3
ідіотизм,-,1,0,0,5
дурість,-,5,0,0,4
парадокс,-,1,0,0,5
анекдота,+,2,0,3,3
анекдотичність,-,1,0,0,5
анекдот,A,1,0,1,4
абсурдний,0,0,3,0,3
безглуздий,0,0,3,1,3
нісенітний,0,0,2,0,4
ні_в_кут_ні_в_двері,0,0,1,0,4
ні_те_ні_се,0,0,1,0,4
дикий,0,0,5,3,2
абсцис,-,2,0,0,4
гнояк,-,1,0,0,4
нарив,-,1,0,0,5
чир,-,2,0,0,4
чиряк,-,1,0,0,3
фурункул,-,3,0,0,4
карбункул,-,2,0,0,4
нагноєння,-,1,0,0,5
запалення,-,1,0,0,5
аванґард,0,0,4,0,4
перший_ешельон,0,0,1,0,5
передова_частина,0,0,1,0,5
передовики,0,0,1,0,5
перші_лави,0,0,1,0,4
еліта,0,0,2,0,3
вершки,0,0,2,1,4
сметанка,0,0,3,1,4
авангардний,0,0,2,0,2
передовий,0,0,2,0,2
з_перших_лав,0,0,1,0,3
елітарний,0,0,1,0,3
аванс,U,0,0,0,-1
завдаток,U,0,0,0,-1
авансом,0,0,4,0,3
