Shepelevych 20-30 female
Непоганий	adj:m:v_naz -2
заклад	        noun:m:v_zna  0
в		prep:rv_zna:rv_mis:rv_rod:v-u  0
інтер'єрному	adj:n:v_mis   0
плані		noun:m:v_mis  0
але		conj:coord  0
асортимент	noun:m:v_naz   0
обмежений	adjp:pasv:past:m:v_naz 		 -3
та		conj:coord 0
й 		conj:coord   0
про		prep:rv_zna  0
ціни  		noun:p:v_zna  0
не		part  0
можна 		predic  3
сказати	 	verb:inf:perf  0
що		conj:subord  0
вони		pron:pers:p:3:v_naz:anim  0
для		prep:rv_rod  0
широкого	adj:m:v_rod:compb  3
загалу 		noun:m:v_rod  0
Адаптуйтесь	verb:rev:impr:p:2:imperf -2
до		prep:rv_rod  0
кризи		noun:f:v_rod   -28
ж		part  0
до		prep:rv_rod  0
Вас		pron:pers:p:2:v_rod:ani 0
прийде		verb:futr:s:3:perf  0
на	        prep:rv_zna:rv_mis  0
такий		adj:m:v_naz:&pron:def  0
асортимент 	noun:m:v_zna  3
при		prep:rv_mis 0
таких		adj:p:v_mis:&pron:def   0
цінах		noun:p:v_mis  0
Знизьте		verb:impr:p:2:perf  0
ціни		noun:p:v_zna 		-  0
розширте	verb:impr:p:2:perf  6
асортимент 	noun:m:v_zna  0
і		conj:coor  0
у   		prep:rv_zna:rv_mis:rv_rod:v-u  0
залах		noun:p:v_mis  0
не		part  0
буде 		verb:futr:s:3:imperf  0
так		part  0
безлюдно	adv   -18
А 		conj:coord   0
люди		noun:p:v_naz:anim   8
відомо		<insert>  13
притягують 	verb:pres:p:3:imperf  19
людей		noun:p:v_rod:anim  19
Загалом		adv 7
це		adj:n:v_naz:&pron:dem 0
одноразового	adj:n:v_rod  -6
відвідування	noun:n:v_zna 5
треба 		predic  -8
зайти 		verb:inf:perf  0
щоб		conj:subor 0
взнати		verb:inf:perf:v-u  0
що		conj:subord   0
туди		adv:&pron:dem  0
більше		adv:compr   5
не 		part  -5
варто		predic  4
йти		verb:inf:imperf  0
незатишно 	adv  -22
щоб		conj:subord   0
просидіти	verb:inf:perf  -4
там 		adv:&pron:dem 0
більше 		adv:compr 4
години		noun:f:v_rod  -3
потрібно	adv:compb  -8
вдягати 	verb:inf:imperf  5
респіратор	noun:m:v_zna  -28
щоб		conj:subord   0
не		part  0
задихнутись	verb:rev:inf:perf  -37
від		prep:rv_rod  0
диму		noun:m:v_rod  -7
стан		noun:m:v_naz   -3
теж 		adv   0
незадовільний 	adj:m:v_naz  -28
власникам 	noun:p:v_dav:anim  2
краще		adj:n:v_naz:compr   11
подумати	verb:inf:perf  0
про		prep:rv_zna  0
перетворення	noun:n:v_zna  -2
цього		adj:m:v_rod:&pron:dem 0
закладу		noun:m:v_rod   0
на		prep:rv_zna:rv_mis  0
кафе		noun:n:v_zna:nv   2
для		prep:rv_rod  0
студентів	noun:p:v_rod:anim  12
з		prep:rv_rod:rv_zna:rv_oru 0
доступними	adj:p:v_oru:compb  20
цінами		noun:p:v_oru  0
і		conj:coord   0
простим		adj:n:v_oru:compb   4
меню		noun:n:v_oru:nv  0
гарне		adj:n:v_naz:compb 	 25
місце		noun:n:v_naz  	 0
для		prep:rv_rod 	 0
відпочинку	noun:m:v_rod 	 30
чудове		adj:n:v_naz:compb  	 30
меню		noun:n:v_naz:nv  	 0
європейського	adj:m:v_rod	 21
характеру	noun:m:v_rod 		 5
ціни		noun:p:v_zna 	 0
відповідають	verb:pres:p:3:imperf 	 2
якості		noun:p:v_zna 		 6
Одне		numr:n:v_naz	 4
погано		adv:compb 		 -29
коли		conj:subord	 0
заходиш		verb:pres:s:2:imperf 		 0
дуже		adv  	 13
часто		adv:compb 	 9
немає		predic 	 -29
місця		noun:n:v_rod 		 0
усі		adj:p:v_naz:&pron:dem 	 0
столики		noun:p:v_naz 	 0
зайняті		adjp:pasv:past:p:v_naz 	 -25
студентами	noun:p:v_oru:anim 		 24
які		adj:p:v_naz:&pron:int:rel:def	 0
сидять		verb:pres:p:3:imperf 	 0
дудлять		verb:pres:p:3:imperf 	 -10
або		conj:coord 	 0
чайник		noun:m:v_zna 	 0
чаю		noun:m:v_rod 	 0
на		part 	 0
5		number 	 0
осіб		noun:p:v_rod:anim 	 4
і		conj:coord  	 0
курять		verb:pres:p:3:imperf 	 -14
сигаретa 	noun:f:v_naz 	 -14
за		prep:rv_rod:rv_zna:rv_oru 	 0
сигаретою	noun:f:v_oru 		 -17
як		conj:subord  	 0
пропозиція	noun:f:v_naz 	 8
візьміть	verb:impr:p:2:perf 	 2
сегмент		noun:m:v_zna 	 0
по		prep:rv_mis:rv_zna 	 0
ціні		noun:f:v_mis 	 0
вище		adv:compr:compr 		 9
які		adj:p:v_zna:&pron:int:rel:def	 0
стануть	 	verb:futr:p:3:perf 	 0
недоступними	adj:p:v_oru 	 -19
по		prep:rv_mis:rv_zna 	 0
тій		adj:f:v_mis:&pron:dem 	 0
же		part 		 0
або		conj:coord 	 0
Вашого		adj:m:v_rod:&pron:pos 	 0
смачного	adj:m:v_rod:compb 	 18
чаю		noun:m:v_rod 	  0
меню		noun:n:v_naz:nv  0
уже		adv:v-u  0
розширили	verb:past:p:perf  4
порадував	verb:past:m:perf  21
вибір		noun:m:v_zna  10
кавових		adj:p:v_rod  20
напоїв		noun:p:v_rod 		 9
але		conj:coord  -7
ціни		noun:p:v_naz  0
як		part  0
на 		prep:rv_zna:rv_mis  0
мене 		pron:pers:s:1:v_zna:anim  0
зависокі 	adj:p:v_naz  -6
плюс		noun:m:v_naz  4
якась 		adj:f:v_naz:&pron:ind  -2
вимучена 	adjp:pasv:past:f:v_naz  -10
гламурність	noun:f:v_naz  -8
в		prep:rv_zna:rv_mis:rv_rod:v-u  0
атмосфері 	noun:f:v_mis  0
не		part  0
приваблює	verb:pres:s:3:imperf  10
ходитиму	verb:futr:s:1:imperf  0
лише		conj:subord   -2
якщо		conj:subord  0
безкоштовний	adj:m:v_naz 3
вай-фай		noun:m:v_naz  5
мені		pron:pers:s:1:v_dav:anim 0
сподобався 	verb:rev:past:m:perf  10
коментар 	noun:m:v_naz  0
вимучена	adjp:pasv:past:f:v_naz  -14
гламурність	noun:f:v_naz -10
Справді		adv  0
є		verb:pres:s:3:imperf 0
таке		adj:n:v_zna:&pron:def  0
То 		conj:subord  0
заклад		noun:m:v_naz   0
суто		adv  0
для		prep:rv_rod  0
бізнес-перемов	noun:p:v_rod  0
Ніби		conj:subord  0
все		part:v-u  0
є		verb:pres:p::imperf  0
що		conj:subord 0
треба		predic  0
у 		prep:rv_zna:rv_mis:rv_rod:v-u  0
меню		noun:n:v_mis:nv  0
а 		conj:coord  0
родзинок	noun:p:v_rod  2
немає		predic  -7
Мене		pron:pers:s:1:v_rod:anim 0
відлякують	verb:pres:p:3:imperf  -28
ціни		noun:p:v_zna  0
Неохота		noun:f:v_naz:np:coll  -14
платити		verb:inf:imperf  -7
за		prep:rv_rod:rv_zna:rv_oru 0
простенькій 	adj:f:v_dav -3
салат		noun:m:v_zna  6
45		number  0
грн		noun:p:v_rod:nv:abbr  0
якщо		conj:subord  0
це		adj:n:v_naz:&pron:dem  0
не		part  0
ресторан	noun:m:v_naz   12
Ну		part  0
в		prep:rv_zna:rv_mis:rv_rod:v-u  0
принципі	noun:m:v_mis  0
можна		predic  4
зайти		verb:inf:perf  0
випити		verb:inf:perf  3
кавовий		adj:m:v_zna  11
коктейль	noun:m:v_zna  11
вони		pron:pers:p:3:v_naz:anim  0
тут		adv:&pron:dem  0
смачні		adj:p:v_zna:compb  20
пересидіти	verb:inf:perf  -2
дощ 		noun:m:v_zna  -3
призначити	verb:inf:perf  5
ділову		adj:f:v_zna  4
зустріч		noun:f:v_zna  9
Місце		noun:n:v_zna  0
вдале		adj:n:v_zna:compb:v-u  14
і		conj:coord   0
то		conj:subord  0
суттєво		adv:compb  1
рятує		verb:pres:s:3:imperf  5
цей		adj:m:v_naz:&pron:dem 0
заклад 		noun:m:v_naz  0
Улюблене	adjp:pasv:past:n:v_naz:compb 15
місце		noun:n:v_naz  0
Маючи		advp:imperf  0
вже		adv:v-u  0
привілей	noun:m:v_zna  16
постійного	adj:m:v_rod 8
гостя		noun:m:v_rod:anim  20
дійсно		adv  0
відчуваю	verb:pres:s:1:imperf  3
себе 		pron:refl:m:v_rod 0
там		adv:&pron:dem  0
затишно		adv:compb  27
Подобається	verb:rev:pres:s:3:imperf  27
уважність	noun:f:v_naz  29
і		conj:coord  0
ненав'язливість noun:f:v_naz  5
офіціантів	noun:p:v_rod:anim  3
пам'ятають	verb:pres:p:3:imperf  11
хто		conj:subord   0
що		pron:int:rel:n:v_zna  0
їсть		verb:pres:s:3:imperf  0
п'є		verb:pres:s:3:imperf  0
який		adj:m:v_zna:&pron:int:rel:def 0
столик		noun:m:v_zna  0
ми		pron:pers:p:1:v_naz:anim  0
з		prep:rv_rod:rv_zna:rv_oru  0
облюбували	verb:past:p:perf  10
і		conj:coord   0
навіть 		part  0
чудо		noun:n:v_naz:anim  13
кого		pron:int:rel:m:v_rod:anim   0
з		prep:rv_rod:rv_zna:rv_oru  0
нас		pron:pers:p:1:v_rod:anim 0
як		part  0
звати		verb:inf:imperf  0
Дрібниця	noun:f:v_naz  -1
а		conj:coord 0
приємно		adv:compb   24
Рекомендую	verb:pres:s:1:imperf  27
каву		noun:f:v_zna  19
по-львівськи	adv   30
і		conj:coord  0
бренді		noun:m:v_rod:nv:np   4
щодо		prep:rv_rod  0
публіки		noun:f:v_rod  5
то		conj:subord  0
студентів	noun:p:v_rod:anim  14
тут		adv:&pron:dem  0
немає		predic  -10
ми		pron:pers:p:1:v_naz:anim  0
з		prep:rv_rod:rv_zna:rv_oru  0
сім'єю		noun:f:v_oru  27
є		verb:pres:p:3:imperf 0
постійними	adj:p:v_oru  5
відвідувачами	noun:p:v_oru:anim  7
цього		adj:m:v_rod:&pron:dem  0
закладу		noun:m:v_rod  0
		verb:futr:s:1:perf  0
не		part  0
змінюємо	verb:pres:p:1:imperf  2
традицій	noun:p:v_rod  11
недільних	adj:p:v_rod  15
обідів		noun:p:v_rod  10
у		prep:rv_zna:rv_mis:rv_rod:v-u  0
цьому		adj:m:v_mis:&pron:dem  0
закладі		noun:m:v_mis  0
дуже		adv	 0
смачно		adv:compb  19
та		conj:coord   0
приємно		adv:compb   18
Страви		noun:p:v_naz   0
направду	adv  8
великі		adj:p:v_naz:compb 11
і		conj:coord   0
смачні		adj:p:v_naz:compb 19
і		conj:coord  0
дуже		adv 14
різні		adj:p:v_naz   14
дуже		adv  14
гарна		adj:f:v_naz:compb  17
подача		noun:f:v_naz  5
та		conj:coord  0
посуд		noun:m:v_naz  0
особливо	adv  0
салатні		adj:p:v_naz 0
тарілки		noun:p:v_naz  0
коли		adv:&pron:int:rel   0
ми		pron:pers:p:1:v_naz:anim  0
запитали	verb:past:p:perf  0
їх		pron:pers:p:3:v_rod:anim 0
вартість	noun:f:v_zna  -5
нам		pron:pers:p:1:v_dav:anim  0
представили	verb:past:p:perf  0
внутрішній	adj:m:v_zna  -2
бою		noun:m:v_rod  -13
посуду		noun:m:v_rod  0
по		prep:rv_mis:rv_zna  0
собівартості	noun:f:v_mis 0
можемо		verb:unknown  3
тільки		adv  0
подякувати	verb:inf:perf  24
власникам	noun:p:v_dav:anim  0
зa 		prep:rv_rod:rv_zna:rv_oru  0
таке		adj:n:v_zna:&pron:def  0
дбайливе	adj:n:v_zna:compb  25
ставлення	noun:n:v_zna 0
до		prep:rv_rod  0
відвідувачів	noun:p:v_rod:anim  0
салат		noun:m:v_naz  0
та		conj:coord  0
ще		part  0
й		conj:coord  0
в		prep:rv_zna:rv_mis:rv_rod:v-u  0
такому		adj:m:v_mis:&pron:def 0
салатнику	noun:m:v_mis  0
просто		adv:compb  0
чудово		adv:compb  28
щиро		adv:compb  31
дякуємо		verb:pres:p:1:imperf  31
єдине		adj:n:v_zna  -5
бажаємо		verb:pres:p:1:imperf  24
собі		pron:refl:m:v_dav  0
та		conj:coord   0
іншим		adj:p:v_dav:&pron:def  0
його		pron:pers:m:3:v_rod:anim  0
часом		adv  0
не		part  0
розбити		verb:inf:perf  -17
Успіхів		noun:p:v_rod  10
Вам		pron:pers:p:2:v_dav:anim  0
тримайте	verb:impr:p:2:imperf  4
марку		noun:f:v_zna   4
адміністратор	noun:m:v_naz:anim  0
просто		adv:compb  0
душа		noun:f:v_naz  21
а		conj:coord   0
персонал	noun:m:v_zna  0
хороша		adj:f:v_naz:compb  25
аура		noun:f:v_naz   11
Дякуємо		verb:pres:p:1:imperf  30
Дуже		adv  16
смачно		adv:compb   22
дуже		adv  12
вдало		adv:compb:v-u 16
продумане	adjp:pasv:past:n:v_naz  16
меню		noun:n:v_naz:nv 0
ланч		noun:m:v_naz:bad  0
для		prep:rv_rod  0
туристів	noun:p:v_rod:anim 0
просто		adv:compb 0
супер		noun:m:v_naz   32
великий		adj:m:v_naz:compb  14
вибір		noun:m:v_naz   0
швидко		adv:compb  12
по		prep:rv_mis:rv_zna  0
часу		noun:m:v_mis  0
і		conj:coord  0
дешево		adv:compb  18
і		conj:coord   0
перше		adj:n:v_naz  0
і		conj:coord   0
друге		adj:n:v_naz  0
і		conj:coord  0
салат		noun:m:v_naz  0
і		conj:coord  0
