words,polarity,negativeCounter,neutralCounter,positiveCounter,iteration
абат,U,0,0,0,-1
ігумен,U,0,0,0,-1
абатиса,U,0,0,0,-1
ігуменя,U,0,0,0,-1
абатство,U,0,0,0,-1
манастир,U,0,0,0,-1
абетка,+,0,0,1,3
азбука,+,0,0,1,2
альфабет,+,0,0,1,4
алфавит,+,0,0,1,4
букви,+,0,0,1,4
літери,+,0,0,1,4
абеточка,+,0,0,1,4
абетковий,+,0,0,3,3
азбучний,+,0,0,4,3
поазбучний,+,0,0,1,4
альфабетний,+,0,0,2,4
абетний,+,0,0,2,4
елементарний,+,0,0,7,2
початковий,+,0,0,2,2
загальновідомий,+,0,0,1,2
абеткувати,U,0,0,0,-1
реєструвати_за_абеткою,U,0,0,0,-1
абетник,U,0,0,0,-1
альфабетний_покажчик,U,0,0,0,-1
абзац,A,1,0,1,4
відступ,-,2,0,0,4
новий_рядок,U,0,0,0,5
уступ,+,0,0,3,3
аби,0,0,1,0,1
аби_тільки,0,0,1,0,2
аби_но,0,0,1,0,2
тільки_б,0,0,1,0,2
якби_тільки,0,0,1,0,2
щоб_лише,0,0,1,0,2
щоб,0,0,1,0,0
щоби,0,0,1,0,2
для_того,0,0,1,0,2
з_тим,0,0,1,0,2
абись,0,0,1,0,2
абиде,0,0,1,0,1
будь-де,0,0,1,0,2
де-будь,0,0,1,0,2
хоч_де,0,0,1,0,2
хай_де,0,0,1,0,2
де_припало,0,0,1,0,2
денебудь,A,0,2,2,1
десь,0,0,1,0,0
абиколи,0,0,2,0,2
будь-коли,+,0,1,2,2
колибудь,A,0,1,1,3
хоч_коли,A,0,1,1,2
хай_коли,A,0,1,1,2
колись,0,0,2,0,1
колинебудь,0,0,3,0,2
абикуди,0,0,2,0,2
будь-куди,0,0,3,0,2
кудибудь,0,0,2,0,2
хоч_куди,0,0,1,0,3
хай_куди,0,0,2,0,2
куди-небудь,0,0,1,0,3
кудись,0,0,3,0,1
аби_то,-,1,0,0,1
якнебудь,-,3,2,0,2
недбало,-,1,0,0,0
абияк,-,2,0,0,1
так_собі,A,1,0,1,1
абихто,0,0,2,0,2
будь-хто,A,0,2,2,2
хтобудь,0,0,1,0,3
хоч_хто,0,0,2,0,2
хай_хто,0,0,1,0,3
хтонебудь,0,0,3,0,1
хтось,0,0,2,0,1
абичий,U,0,0,0,-1
будь-чий,U,0,0,0,-1
чийбудь,U,0,0,0,-1
хай_чий,U,0,0,0,-1
хоч_чий,U,0,0,0,-1
чийнебудь,U,0,0,0,-1
чийсь,U,0,0,0,-1
абищиця,0,0,2,0,3
дрібниця,A,0,1,1,2
дрібничка,A,0,1,1,3
дурниця,0,0,1,0,2
дурничка,0,0,1,0,3
витребенька,0,1,3,0,3
абищо,0,0,1,0,1
будь-що,0,0,2,0,2
щобудь,0,0,2,0,2
хоч_що,0,0,1,0,2
хай_що,0,0,1,0,2
щонебудь,0,0,3,0,1
щось,0,0,2,0,0
нісенітниця,0,0,2,0,2
ніщо,-,2,1,0,2
нікчема,-,2,1,1,2
не_абищо,0,0,1,0,2
не_хвіст_собачий,0,0,1,0,2
будь-як,-,2,0,0,1
як-будь,-,1,0,0,2
хай_як,-,1,0,0,2
сяк-так,-,4,1,0,2
на_живу_нитку,-,1,0,0,2
абиякий,+,0,0,1,2
будь-який,+,0,0,4,2
якийбудь,+,0,0,1,3
перший-ліпший,+,0,0,4,2
хоч_який,+,0,0,3,3
хай_який,+,0,0,2,3
якийнебудь,+,0,2,3,2
сякий-такий,A,1,0,1,1
неавторитетний,+,0,0,1,3
звичайний,+,0,0,2,1
без_ваги,+,0,0,1,3
нездалий,+,0,0,4,3
поганий,+,0,0,2,2
неякісний,+,0,0,4,3
абітурієнт,+,0,0,1,6
випускник,+,0,0,1,5
матурант,+,0,0,1,7
вступник,+,0,0,1,7
або,0,0,1,0,0
чи,0,0,2,0,0
чи_то,0,0,1,0,1
альбо,0,0,1,0,1
а_то,0,0,1,0,1
тобто,0,0,1,0,1
інакше_кажучи,0,0,2,0,1
хіба,0,0,3,0,1
абориґен,+,0,0,2,3
тубілець,+,0,0,1,4
автохтон,+,0,0,1,4
корінний_житель,+,0,0,1,4
старожил,+,0,0,1,4
місцевий,+,0,0,4,2
тутешній,+,0,0,3,2
аборигенний,+,0,0,1,2
тубільний,+,0,0,2,2
автохтонний,+,0,0,3,2
корінний,+,0,0,1,1
аборт,U,0,0,0,-1
передчасні_пологи,U,0,0,0,-1
викидень,U,0,0,0,-1
абощо,U,0,0,0,-1
чи_що,U,0,0,0,-1
чи_там_що,U,0,0,0,-1
чи_то_ще_що,U,0,0,0,-1
абракадабра,0,0,1,0,4
абсурд,0,0,4,1,3
абрикоса,U,0,0,0,-1
жерделя,U,0,0,0,-1
мореля,U,0,0,0,-1
абрис,+,0,0,4,3
контур,+,0,0,7,3
обрис,+,0,0,6,2
обвід,+,0,0,4,3
окреслення,+,0,0,2,3
конфігурація,+,0,0,1,2
закрій,+,0,0,1,4
лінія,+,0,2,3,2
абсолютизм,-,1,0,0,5
самодержавство,-,1,0,0,6
монархізм,-,1,0,0,6
автократія,-,1,0,0,6
тиранія,-,1,0,0,4
деспотія,-,1,0,0,6
деспотизм,-,2,0,0,5
тоталітаризм,-,1,0,0,6
диктатура,-,1,0,0,6
абсолютний,+,0,0,2,1
цілковитий,+,0,0,5,2
повний,+,0,0,8,2
необмежений,+,0,0,4,2
безумовний,+,0,0,3,2
всеосяжний,+,0,0,1,2
всеохопний,+,0,0,2,2
тотальний,+,0,0,4,2
безвідносний,+,0,0,1,2
абсолютно,+,0,0,1,0
умоглядний,+,0,0,1,1
безглуздя,0,0,2,0,4
нонсенс,0,0,1,0,4
несусвітенність,0,0,1,0,4
безглуздість,0,0,2,0,4
нісенітність,0,0,1,0,4
неподобність,U,0,0,0,2
недоладність,0,0,1,0,4
на_вербі_груші,+,0,1,3,3
сон_рябої_кобили,0,0,4,1,3
таке,0,0,1,0,4
що_й_купи_не_держиться,0,0,1,0,4
бридня,0,0,2,0,3
глупство,0,0,2,0,4
чортзна-що,0,0,1,0,2
чортибатька-що,0,0,2,0,2
маячня,0,0,3,1,3
ідіотизм,0,0,1,0,4
дурість,0,0,2,0,3
парадокс,0,0,1,0,4
анекдота,+,1,1,2,3
анекдотичність,0,0,1,0,4
анекдот,A,0,1,1,4
абсурдний,+,0,0,1,2
безглуздий,+,0,0,3,2
нісенітний,+,0,0,2,3
ні_в_кут_ні_в_двері,+,0,0,1,3
ні_те_ні_се,+,0,0,1,3
дикий,+,1,0,4,1
абсцис,-,2,0,0,4
гнояк,-,1,0,0,4
нарив,-,1,0,0,5
чир,-,2,0,0,4
чиряк,-,1,0,0,3
фурункул,-,3,0,0,4
карбункул,-,2,0,0,4
нагноєння,-,1,0,0,5
запалення,-,1,0,0,5
аванґард,+,0,0,3,3
перший_ешельон,+,0,0,1,4
передова_частина,+,0,0,1,4
передовики,+,0,0,1,4
перші_лави,+,0,0,1,4
еліта,+,0,1,2,3
вершки,+,0,0,1,2
сметанка,+,0,0,2,2
авангардний,A,0,1,1,2
передовий,+,0,1,2,2
з_перших_лав,U,0,0,0,3
елітарний,U,0,0,0,3
аванс,U,0,0,0,-1
завдаток,U,0,0,0,-1
авансом,-,1,0,0,2
