Кілька	             		noun:f:v_naz:anim (numr:p:v_rod:&pron:ind )
разів	                	noun:p:v_rod 
замовляв	            	verb:past:m:imperf 
тут	                    	adv:&pron:dem 
пиво	                	noun:n:v_zna 
і	                    	conj:coord  
щоразу	                	adv 
був	                    	verb:past:m:imperf 
прикро	                	adv:compb 
вражений	            	adjp:pasv:past:m:v_naz 
його	                	adj:n:nv:&pron:pos
огидним	                	adj:n:v_oru:compb 
смаком	                	noun:m:v_oru 
насправді	            	adv
на	                    	prep:rv_zna:rv_mis 
смак                    	noun:m:v_zna 
не	                    	part 
такий	                	adj:m:v_naz:&pron:def 
як	                    	adv:&pron:int:rel 
наливають	            	verb:pres:p:3:imperf 
у	                    	prep:rv_zna:rv_mis:rv_rod:v-u 
вас	                        pron:pers:p:2:v_mis:anim 
в	                        prep:rv_zna:rv_mis:rv_rod:v-u 
закладі	                    noun:m:v_mis 
Була	                    verb:past:f:imperf 
вчора	                    adv:v-u 
в	                        prep:rv_zna:rv_mis:rv_rod:v-u 
цьому	                    adj:n:v_mis:&pron:dem 
закладі	                    noun:m:v_mis 
Не	                        part 
рекомендую	                verb:pres:s:1:imperf 
його	                    pron:pers:m:3:v_zna:anim
відвідувати	                verb:inf:imperf 
Обслуговування	   			noun:n:v_naz 
жахливе      	        	adj:n:v_naz:compb 
прийшла	                  	verb:past:f:perf 
офіціантка	           		noun:f:v_naz:anim 
і	                        conj:coord 
я	                        pron:pers:s:1:v_naz:anim
її	                        pron:pers:f:3:v_zna:anim
розпитувала	          		verb:past:f:imperf 
про	                        prep:rv_zna 
страви	                    noun:p:v_zna 
Вона	                    pron:pers:f:3:v_naz:anim 
випадково	            	adv 
мені	                    pron:pers:s:1:v_dav:anim 
сказала	                    verb:past:f:perf 
не	                        part 
той	                        adj:m:v_zna:&pron:dem 
опис	                    noun:m:v_zna 
супу	                    noun:m:v_rod 
ну	                        excl 
і            	            conj:coord 
в	                        prep:rv_zna:rv_mis:rv_rod:v-u 
результаті	            	noun:m:v_mis 
замість	                  	prep:rv_rod 
легенького	            	adj:m:v_rod
я	                        pron:pers:s:1:v_naz:anim 
отримала	             	verb:past:f:perf 
суміш	                    noun:f:v_zna 
перців         	            noun:p:v_rod 
дуже	                    adv 
гострий	                  	adj:m:v_naz:compb 
і              	            conj:coord 
за	                        prep:rv_rod:rv_zna:rv_oru 
години	                   	noun:f:v_rod
часу	                    noun:m:v_rod 
Стейк	                    noun:m:v_naz 
ми	                        pron:pers:p:1:v_naz:anim 
на	                        prep:rv_zna 
нього	                    pron:pers:m:3:v_zna:anim
чекали         	            verb:past:p:imperf 
1	                        number 
годину	                   	noun:f:v_zna 
10	                        number 
хвилин	                    noun:p:v_rod 
таке	                    adj:n:v_naz:&pron:def 
враження       	         	noun:n:v_naz 
що             	            conj:subord
вони	                    pron:pers:p:3:v_naz:anim 
просто       	           	adv:compb
забули	                   	verb:past:p:perf 
про	                        prep:rv_zna 
замовлення	           		noun:n:v_zna 
стейк	                    noun:m:v_naz 
був	                        verb:past:m:imperf 
добре	                    adv
прожарений	           		adjp:pasv:past:m:v_naz 
але	                        conj:coord
дуже	                    adv 
солений	                  	adjp:pasv:past:m:v_naz
я	                        pron:pers:s:1:v_naz:anim 
ще	                        part 
так	                        adv:&pron:dem
довго          	            adv:compb 
в	                        prep:rv_mis:v-u 
жодному	                   	adj:n:v_mis:&pron 
закладі        	           	noun:m:v_mis 
не	                        part 
чекала	                   	verb:past:f:imperf 
на	                        prep:rv_zna:rv_mis 
стейк	                    noun:m:v_zna 
До	                        prep:rv_rod 
мого	                    adj:n:v_rod:&pron:pos 
замовлення	          		noun:n:v_rod  
ще            	            part 
входив       	          	verb:past:m:imperf 
салат	                    noun:m:v_naz 
який         	            adj:m:v_zna:&pron:int:rel:def
я	                        pron:pers:s:1:v_naz:anim 
так	                        adv:&pron:dem
і	                        part 
не	                        part 
дочекалась	           		verb:rev:past:f:perf 
Коли	                    conj:subord 
прийшли	                   	verb:past:p:perf 
по           	            prep:rv_zna 
рахунок      	          	noun:m:v_zna 
то	                        conj:subord 
салат	                   	noun:m:v_zna 
вони	                    pron:pers:p:3:v_naz:anim 
включили	             	verb:past:p:perf:v-u 
в	                        prep:rv_zna:v-u 
рахунок     	          	noun:m:v_zna 
бо                          conj:subord
він                         pron:pers:m:3:v_naz:anim 
був	                       	verb:past:m:imperf 
замовлений	           		adjp:pasv:past:m:v_naz 
Ну	                        excl
звісно	                  	adv 
коли	                    conj:subord 
я            	            pron:pers:s:1:v_naz:anim 
сказала	                 	verb:past:f:perf 
що	                        conj:subord 
його         	            pron:pers:m:3:v_zna:anim
так         	            adv:&pron:dem 
і             	            part 
не           	            part 
принесли	             	verb:past:p:perf 
то	                        conj:subord 
вони	                    pron:pers:p:3:v_naz:anim 
про	                        prep:rv_zna 
це	                     	adj:n:v_naz:&pron:dem (part)
згадали      	          	verb:past:p:perf 
і	                        conj:coord 
зразу                       adv 
відняли      	          	verb:past:p:perf 
від	                        prep:rv_rod 
суми	                    noun:f:v_rod 
Моя          	            adj:f:v_naz:&pron:pos 
оцінка         	           	noun:f:v_naz 
2	                        number 
Дуже	                    adv
хороший	                  	adj:m:v_naz:compb
заклад	                   	noun:m:v_naz 
приємно	                  	adv:compb 
здивований	           		adjp:pasv:past:m:v_naz
Був	                        verb:past:m:imperf 
і	                        conj:coord 
в           	            prep:rv_zna:v-u 
Гриль	                    noun:m:v_zna 
і	                        conj:coord
в              	            prep:rv_zna:rv_mis:rv_rod:v-u 
Мексиканець	         		noun:m:v_naz:anim (noun:m:v_zna:anim )
Приємно      	         	adv:compb 
здивували	           		verb:past:p:perf 
ціни	                    noun:p:v_naz 
як	                        conj:subord 
на            	            noun:m:v_zna 
Львова        	            noun:m:v_rod 
ціни	                    noun:p:v_naz 
на	                        prep:rv_zna:rv_mis 
алкоголь	             	noun:m:v_zna 
дуже         	            adv
привабливі	          		adj:p:v_naz:compb
звісно	                   	adv 
ж	                        part 
морожене	          		adjp:pasv:past:n:v_naz
але	                        conj:coord
за	                        prep:rv_rod:rv_zna:rv_oru
таку	                    adj:f:v_zna:&pron:def 
ціну	                    noun:f:v_zna 
30-40	                    number 
грн	                        noun:p:v_zna:nv:abbr 
за           	            prep:rv_zna
100	                        number 
нереально	           		adv 
знайти	                  	verb:inf:perf 
охолоджену	          		adjp:pasv:past:f:v_zna 
яловичину	            	noun:f:v_zna 
Лат	                        noun:m:v_naz (noun:f:v_rod)                                  
Америки	                 	noun:f:v_rod 
Отож	                   	part 
в	                        prep:rv_rod:v-u 
балансі	                   	noun:m:v_mis(noun:m:v_rod) 
ціна	                    noun:f:v_naz 
якість	                  	noun:f:v_naz 
стейки	                    noun:p:v_naz 
на	                        prep:v_mis 
висоті      	           	noun:f:v_mis 
Всім	               		adj:m:v_mis:&pron:dem (pron:pers:m:3:v_dav:anim)
раджу	                   	verb:pres:s:1:imperf 
приємний	             	adj:m:v_naz:compb
ввічливий	            	adj:m:v_naz:v-u
і            	            conj:coord
професійний	          		adj:m:v_naz:compb
Якщо	                    conj:subord 
не	                        part 
будуть	                    verb:futr:p:3:imperf 
рубати	                  	verb:inf:imperf 
ціни	                    noun:p:v_zna 
вверх	                 	adv:v-u 
це	                    	adj:n:v_naz:&pron:dem (part)
топовий                  	adj:m:v_naz
заклад      	           	noun:m:v_naz
в            	            prep:rv_mis:v-u 
центрі	                    noun:m:v_mis 
для	                        prep:rv_rod 
молоді	                  	noun:f:v_rod 
середнього	             	adj:m:v_rod 
достатку	            	noun:m:v_rod 
Дякую	                 	verb:pres:s:1:imperf 
Чудовий	                 	adj:m:v_naz:compb 
заклад	                   	noun:m:v_naz 
Неймовірно	           		adv:compb 
смачні	                  	adj:p:v_naz:compb 
та	                        conj:coord
великі         	         	adj:p:v_naz:compb
суші           	      		noun:p:v_naz
стейки	                   	noun:p:v_naz 
просто        	           	adv:compb 
пальчики	              	noun:p:v_zna 
оближеш	                	verb:futr:s:2:perf 
а	                        conj:coord 
пюре          	            noun:n:v_naz:nv 
з            	            prep:rv_oru
сиром          	            noun:m:v_oru 
просто	                   	adv:compb
бомба        	            noun:f:v_naz 
Завжди	                   	adv:&pron:gen 
ходжу        	         	verb:pres:s:1:imperf 
туди	                    adv:&pron:dem 
і	                        conj:coord
жодного	                  	adj:m:v_rod:&pron 
разу          	            noun:m:v_rod 
не           	            part 
розчарувалась	    		verb:rev:past:f:perf 
Вітаю	                  	verb:pres:s:1:imperf 
всіх           	       		adj:p:v_mis:&pron:dem (pron:pers:m:3:v_rod:anim)
приємно	               		adv:compb 
вражений	           		adjp:pasv:past:m:v_naz
відгуком       	           	noun:m:v_oru 
приємно	                 	adv:compb 
тим	                        adj:m:v_oru:&pron:dem
що            	            conj:subord 
не           	            part 
один	                    numr:m:v_naz
я             	            pron:pers:s:1:v_naz:anim 
такий	                  	adj:m:v_naz:&pron:def
прискіпливий 	     		adj:m:v_naz:compb 
дегустував   	      		verb:past:m:imperf
саме         	            part
у	                        prep:rv_mis:v-u 
вашому        	            adj:m:v_mis:&pron:pos 
закладі     	          	noun:m:v_mis 
пару          	            noun:f:v_zna 
тижнів	                 	noun:p:v_rod 
тому	                    adv
враження	             	noun:n:v_naz 
ідентичне    	       		adj:n:v_naz
концентрація	     		noun:f:v_naz 
смаку	                    noun:m:v_rod 
бельгійського	     		adj:n:v_rod 
пива	                    noun:n:v_rod 
надто       	            adv 
низька       	          	adj:f:v_naz:compb 
про	                        prep:rv_zna 
що	                        pron:int:rel:n:v_zna 
зробив	                  	verb:past:m:perf 
зауваження	           		noun:n:v_zna 
офіціанту	             	noun:m:v_dav:anim 
Звичайно     	         	adv:compb 
мене	                    pron:pers:s:1:v_rod:anim 
намагались	          		verb:rev:past:p:imperf 
переконати	         		verb:inf:perf 
в            	            prep:rv_mis:v-u 
іншому        	           	adj:m:v_mis:&pron:def 
але	                        conj:coord
нажаль      		         insert:bad 
вам	                        pron:pers:p:2:v_dav:anim 
є	                        verb:pres:p:2:imperf  
над	                        prep:rv_oru 
чим	                        pron:int:rel:n:v_oru 
працювати	        		verb:inf:imperf 
в	                        prep:rv_mis:v-u 
цьому	                    adj:m:v_mis:&pron:dem
напрямку	             	noun:m:v_mis
маю	                        verb:pres:s:1:imperf
підозру	                  	noun:f:v_zna 
що	                        conj:subord  
справа	                    noun:f:v_naz 
саме         	            part
в	                        prep:rv_mis:v-u 
персоналі	            	noun:m:v_mis 
Тому	                    conj:subord
будьте	                    verb:impr:p:3:imperf 
пильні       	            adj:p:v_naz:compb
А	                     	conj:coord
сам	                        adj:m:v_naz:&pron:def
заклад	                   	noun:m:v_naz
і	                        part 
справді	                  	adv 
досить       	           	adv  
хороший	                  	adj:m:v_naz:compb
За	                        prep:rv_rod
потреби      	         	noun:f:v_rod
можу         	           	verb:unknown 
вказати	                 	verb:inf:perf:v-u 
точний	                   	adj:m:v_zna:compb 
день	                    noun:m:v_zna 
та           	            conj:coord 
годину	                   	noun:f:v_zna 
відвідування 	     		noun:n:v_rod 
Відвідали	            	verb:past:p:perf 
заклад        	           	noun:m:v_zna 
в             	            prep:rv_mis:v-u 
рамках	                    noun:p:v_mis 
пивного	                   	adj:m:v_rod 
туру	                    noun:m:v_rod 
В	               			prep:rv_mis:v-u 
принципі	              	noun:m:v_mis 
антураж	                  	noun:m:v_naz
сподобався	          		verb:rev:past:m:perf 
меню	                    noun:n:v_naz:nv
вразило      	         	verb:past:n:perf 
своїм	                    adj:n:v_oru:&pron:pos 
різноманіттям	     		noun:n:v_oru 
єдиний	                   	adj:m:v_naz 
мінус	                    noun:m:v_naz
не	                        part 
все	                        adv:v-u (pron:pers:m:3:v_naz:anim)
з                           prep:rv_rod:rv_zna:rv_oru 
вказаного	             	adjp:pasv:past:m:v_rod:v-u
в            	            prep:rv_mis:v-u 
меню                        noun:n:v_mis:nv 
було        	            verb:past:n:imperf 
в	                        prep:rv_mis::v-u 
наявності	           	 	noun:f:v_mis 
а	                        conj:coord 
так          	            part 
в	                        prep:rv_mis:v-u 
принципі	              	noun:m:v_mis 
враження	             	noun:n:v_naz
залишились   	       		verb:rev:past:p:perf 
позитивні	          		adj:p:v_naz:compb
Непогано     	        	adv 
загалом	                  	adv
не	                        part 
кнопочок    	         	noun:p:v_rod 
виклику     	          	noun:m:v_rod 
офіціанта     	         	noun:m:v_rod:anim
як	                        adv:&pron:int:rel
в	                        prep:rv_mis:v-u 
наприклад	            	insert 
По	                        prep:rv_mis 
стейках	                    noun:p:v_mis 
якість      	           	noun:f:v_naz 
м'яса          	            noun:n:v_rod 
подача	                   	noun:f:v_naz 
хороші         	          	adj:p:v_naz:compb
Але	                        excl 
ступінь	                  	noun:m:v_naz 
прожарки	             	noun:f:v_rod:np:bad 
це	                     	adj:n:v_naz:&pron:dem(part)
крах        	            noun:m:v_naz  
замовив	               		verb:past:m:perf 
принесли	             	verb:past:p:perf 
якийсь	                  	adj:m:v_zna:&pron:ind 
Не	                        part 
солідно	                  	adv:compb 
цікаво	                  	adv:compb 
що	                        conj:subord  
принесуть      	         	verb:futr:p:3:perf 
коли	                    conj:subord
замовиш      	         	verb:futr:s:2:perf 
Салати	                   	noun:p:v_naz
цікаві	                 	adj:p:v_naz:compb 
інтер'єр	            	noun:m:v_naz 
доволі	                   	adv 
простенький    	    	 	adj:m:v_naz
Моя	                        adj:f:v_naz:&pron:pos 
оцінка	                 	noun:f:v_naz 
4	                        number 
Вже         	            adv:v-u 
вкотре	                   	adv:v-u 
розчаровуюсь	  			verb:rev:pres:s:1:imperf
Я	                        pron:pers:s:1:v_naz:anim 
вже	                        adv:v-u 
декілька	            	numr:p:v_naz:&pron:ind
років       	            noun:p:v_rod 
підряд        	           	noun:m:v_naz (adv) 
була	                    verb:past:f:imperf 
постійною	            	adj:f:v_oru 
клієнткою	            	noun:f:v_oru:anim 
даного       	            adjp:pasv:past:m:v_rod 
закладу	                   	noun:m:v_rod 
незважаючи	           		prep 
на	                        prep:rv_zna:rv_mis 
те           	            adj:n:v_zna:&pron:dem 
що	                        conj:subord 
мене         	            pron:pers:s:1:v_rod:anim 
з            	            prep:rv_oru 
батьками	               	noun:p:v_oru:anim 
стільки	                  	numr:p:v_zna:&pron:ind 
разів	                    noun:p:v_rod 
там	                        adv:&pron:dem 
нагло          	            adv 
на	                        prep:rv_mis 
стейках	                   	noun:p:v_mis 
приносячи    	       		advp:imperf 
якесь	                   	adj:n:v_zna:&pron:ind 
і           	            conj:coord 
круглу         	          	adj:f:v_zna 
