1	                     number 
10	                     number
100	                     number 
13.00	                 time 
14.00	                 time 
15	                     number 
17	                     number 
2	                     number 
20	                     number 
200	                     number 
250	                     number 
270	                     number 
3	                     number 
30-40	                 number  
300	                     number 
40	                     number  
5	                     number 
70-річні	             adj:p:v_naz 
Ємність	                 noun:f:v_naz 
І	                     conj:coord
Їли	                     verb:past:p:imperf 
Їх	                     pron:pers:p:3:v_rod:anim
А	                     conj:coord
А	                     part 
Але	                     conj:coord
Асортимент	             noun:m:v_naz 
БІЛЬШЕ	                 adv:compr 
БУДЕ	                 verb:futr:s:3:imperf
Була	                 adjp:actv:past:f:v_naz 
Були	                 verb:past:p:imperf 
Біля	                 adv 
Вибір	                 noun:m:v_naz 
Висновок	             noun:m:v_naz 
Виявляється	             verb:rev:pres:s:3:imperf 
Вона	                 pron:pers:f:3:v_naz:anim
Всяке	                 adj:n:v_naz:&pron:gen:v-u 
Всі	                     adj:p:v_naz:&pron:dem
Вчора	                 adv:v-u  
Від	                     prep:rv_rod 
До	                     prep:rv_rod 
Довго	                 adv:compb 
Довелось	             verb:rev:past:n:perf 
Досить	                 adv 
Дякую	                 verb:pres:s:1:imperf 
Дівчина	                 noun:f:v_naz:anim 
З	                     prep:rv_rod:rv_zna:rv_oru 
Зверніть	             verb:impr:p:2:perf
Звісно	                 adv 
Києві	                 noun:m:v_mis 
Коли	                 adv:&pron:int:rel
Куряча	                 adj:f:v_naz 
Львова	                 noun:m:v_rod   
Львові	                 noun:m:v_mis 
Львів	                 noun:m:v_naz 
Львів	                 noun:m:v_zna 
МОЄЇ	                 adj:f:v_rod:&pron:pos 
Менеджер	             noun:m:v_naz:anim 
Менеджери	             noun:p:v_naz:anim 
Мені	                 noun:m:v_mis
Ми	                     pron:pers:p:1:v_naz:anim
Моє	                     adj:n:v_naz:&pron:pos 
Між	                     prep:rv_rod:rv_zna:rv_oru 
Мінуси	                 noun:p:v_zna  
НЕ	                     part 
НОГИ	                 noun:f:v_rod 
На	                     prep:rv_zna:rv_mis 
Навчіть	                 verb:impr:p:2:perf 
Нагорі	                 adv 
Наприкінці	             adv 
Наскільки	             adv 
Натомість	             adv 
Не	                     part 
Обов'язково	             adv 
Охоронець	             noun:m:v_naz:anim 
ПОМІЩАЄТЬСЯ	             verb:rev:pres:s:3:imperf 
Персоналу	             noun:m:v_rod 
