olena 20-30 female
1	                     number  0
10	                     number 0
100	                     number  0
13.00	                 time  0
14.00	                 time  0
15	                     number  0
17	                     number  0
2	                     number  0
20	                     number  0
200	                     number  0
250	                     number  0
270	                     number  0
3	                     number  0
30-40	                 number   0
300	                     number  0
40	                     number   0
5	                     number  0
70-річні	             adj:p:v_naz  0
Ємність	                 noun:f:v_naz  0
І	                     conj:coord 0
Їли	                     verb:past:p:imperf  0
Їх	                     pron:pers:p:3:v_rod:anim 0
А	                     conj:coord 0
А	                     part  0
Але	                     conj:coord 0
Асортимент	             noun:m:v_naz  0
БІЛЬШЕ	                 adv:compr  0
БУДЕ	                 verb:futr:s:3:imperf 0
Була	                 adjp:actv:past:f:v_naz  0
Були	                 verb:past:p:imperf  0
Біля	                 adv  0
Вибір	                 noun:m:v_naz  0
Висновок	             noun:m:v_naz  0
Виявляється	             verb:rev:pres:s:3:imperf  0
Вона	                 pron:pers:f:3:v_naz:anim 0
Всяке	                 adj:n:v_naz:&pron:gen:v-u  0
Всі	                     adj:p:v_naz:&pron:dem 0
Вчора	                 adv:v-u   0
Від	                     prep:rv_rod  0
До	                     prep:rv_rod  0
Довго	                 adv:compb  0
Довелось	             verb:rev:past:n:perf  0
Досить	                 adv  0
Дякую	                 verb:pres:s:1:imperf  0
Дівчина	                 noun:f:v_naz:anim  0
З	                     prep:rv_rod:rv_zna:rv_oru  0
Зверніть	             verb:impr:p:2:perf 0
Звісно	                 adv  0
Києві	                 noun:m:v_mis  0
Коли	                 adv:&pron:int:rel 0
Куряча	                 adj:f:v_naz  0
Львова	                 noun:m:v_rod    0
Львові	                 noun:m:v_mis  0
Львів	                 noun:m:v_naz  0
Львів	                 noun:m:v_zna  0
МОЄЇ	                 adj:f:v_rod:&pron:pos  0
Менеджер	             noun:m:v_naz:anim  0
Менеджери	             noun:p:v_naz:anim  0
Мені	                 noun:m:v_mis 0
Ми	                     pron:pers:p:1:v_naz:anim 0
Моє	                     adj:n:v_naz:&pron:pos  0
Між	                     prep:rv_rod:rv_zna:rv_oru  0
Мінуси	                 noun:p:v_zna   0
НЕ	                     part  0
НОГИ	                 noun:f:v_rod  0
На	                     prep:rv_zna:rv_mis  0
Навчіть	                 verb:impr:p:2:perf  0
Нагорі	                 adv  0
Наприкінці	             adv  0
Наскільки	             adv  0
Натомість	             adv  0
Не	                     part  0
Обов'язково	             adv  0
Охоронець	             noun:m:v_naz:anim  0
ПОМІЩАЄТЬСЯ	             verb:rev:pres:s:3:imperf  0
Персоналу	             noun:m:v_rod  0
Плюси	                 noun:p:v_zna  0
Подбати	                 verb:inf:perf  0
Пожерли	                 verb:past:p:perf  0
Працівниця	             noun:f:v_naz:anim 0
Прийшли	                 verb:past:p:perf  0
Прохання	             noun:n:v_naz 0
Пузатої	                 adj:f:v_rod  0
Пузатій                  adj:f:v_mis  0
Пізніше	                 adj:n:v_zna:compr   0
Річ	                     noun:f:v_naz  0
Сита	                 adj:f:v_naz 10
Смачна	                 adj:f:v_naz:compb  10
Смачно	                 adv:compb  10
Смішно	                 adv  10
Спочатку	             adv  0
Стрільців	             noun:p:v_rod:anim  0
Сьогодні	             adv  0
Січ	                     noun:f:v_zna 0
Січових	                 adj:p:v_mis  0
Січових	                 adj:p:v_zna  0
ТАМ	                     adv:&pron:dem  0
Та	                     conj:coord 0
Таке	                 adj:n:v_zna:&pron:def 0
Тепер	                 adv:&pron:dem  0
То	                     conj:subord  0
Тобто	                 conj:subord 0
Треба	                 predic  0
Тільки	                 adv 0
Тільки	                 part  0
У	                     prep:rv_zna:rv_mis:rv_rod:v-u  0
Фаст-фуд	             noun:m:v_naz  0
Ходимо	                 verb:pres:p:1:imperf  0
Хоча	                 conj:subord 0
Це	                     adj:n:v_naz:&pron:dem  0
Ціни	                 verb:impr:s:2:imperf 0
Часто	                 adv:compb  0
Шевченка	             noun:m:v_rod:anim:lname  0
Щодо	                 prep:rv_rod  0
Я	                     pron:pers:s:1:v_naz:anim 0
Який	                 adj:m:v_naz:&pron:int:rel:def 0
Якось	                 adv:&pron:ind  0
а	                     conj:coord 0
або	                     conj:coord  0
абсолютно                adv  0
аж	                     part 0
акуратні	             adj:p:v_naz:compb  10
але	                     conj:coord  0
аналогічному	         adj:n:v_mis  0
апогею	                 noun:m:v_rod  0
аргументувати            verb:inf:imperf 0
б	                     part  0
бажання	                 noun:n:v_naz  0
бажаю	                 verb:pres:s:1:imperf  0
банком	                 noun:m:v_oru  0
банку	                 noun:m:v_dav  0
барною	                 adj:f:v_oru  0
барі	                 noun:m:v_mis  0
батьках	                 noun:p:v_mis:anim  0
батьки	                 noun:p:v_naz:anim  0
бачили	                 verb:past:p:imperf  0
без	                     prep:rv_rod  0
беріть	                 verb:impr:p:2:imperf  0
близько                  adv:compb  10
бо	                     conj:subord   0
брати	                 verb:inf:imperf 0
був	                     verb:past:m:imperf  0
буваю	                 verb:pres:s:1:imperf  0
буває	                 verb:pres:s:3:imperf   0
буду	                 noun:f:v_zna  0
була	                 adjp:actv:past:f:v_naz                                             0
були	                 verb:past:p:imperf  0
було	                 verb:past:n:imperf  0
бути	                 verb:inf:imperf 0
більше	                 adv:compr  0
бісить	                 verb:pres:s:3:imperf  -20
в	                     prep:rv_zna:rv_mis:rv_rod:v-u 0
важко	                 adv:compb  -20
вареники	             noun:p:v_zna  0
вас	                     pron:pers:p:2:v_mis:anim 0
ваших	                 adj:p:v_rod:&pron:pos  0
вдалося	                 verb:rev:past:n:perf:v-u  10
вдвічі	                 adv  10
великий	                 adj:m:v_naz:compb  0
великою	                 adj:f:v_oru:compb  0
велику	                 adj:f:v_zna:compb 0
великі	                 adj:p:v_naz:compb  0
вечора	                 noun:m:v_rod  0
вже	                     adv:v-u  0
взагалі                  adv:v-u  0
взамін	                 adv:bad  0
взаєморозуміння	         noun:n:v_zna  0
взяли	                 verb:past:p:perf  0
взяти	                 verb:inf:perf  0
ви	                     pron:pers:p:2:v_naz:anim 0
вибачилась	             verb:rev:past:f:perf  0
вибір	                 noun:m:v_naz  0
вигляд	                 noun:m:v_zna  0
видають	                 verb:pres:p:3:imperf  0
вийти	                 verb:inf:perf:perf  0
виливається	             verb:rev:pres:s:3:imperf 0
вирішив 	             verb:past:m:perf  0
вирішила	             verb:past:f:perf   0
вирішили	             verb:past:p:perf  0
вистачає	             verb:pres:s:3:imperf 0
витрачаємо               verb:pres:p:1:imperf 0
виявився	             verb:rev:past:m:perf  0
виявилося	             verb:rev:past:n:perf  0
власників	             noun:p:v_rod:anim 0
влаштовує	             verb:pres:s:3:imperf:v-u  0
внизу	                 adv:v-u  0
води	                 verb:impr:s:2:imperf 0
вона	                 pron:pers:f:3:v_naz:anim 0
вороття	                 noun:n:v_naz 0
вражені	                 adjp:pasv:past:p:v_zna  10
все	                     adv:v-u 0
всього	                 adj:m:v_rod:&pron:dem  0
всі	                     adj:p:v_naz:&pron:dem  0
відвідування             noun:n:v_zna  0
відвідувачів             noun:p:v_rod:anim  0
відкрилась	             verb:rev:past:f:perf  0
відношенні	             noun:n:v_mis  0
відповіла	             verb:past:f:perf  0
відповіли	             verb:past:p:perf 0
відразу	                 adv  0
відсутня	             adj:f:v_naz  0
відчутно	             adv:compb  0
візьмете	             verb:futr:p:2:perf   0
вільною	                 adj:f:v_oru:compb   0
гаманець	             noun:m:v_zna  0
гамбургери               noun:p:v_zna  0
гарнір	                 noun:m:v_zna  0
гарячі	                 adj:p:v_zna:compb  0
глечиках	             noun:p:v_mis  0
глінтвейну	             noun:m:v_dav 0
говорити	             verb:inf:imperf 0
години	                 noun:p:v_zna  0
годині	                 noun:f:v_dav  0
голодні	                 adj:p:v_zna:compb 0
горілки	                 noun:f:v_rod 0
готують	                 verb:pres:p:3:imperf  0
грамах	                 noun:p:v_mis  0
грамів	                 noun:p:v_rod  0
гривень	                 noun:p:v_rod  0
гроші	                 noun:p:v_zna  0
гуляла	                 verb:past:f:imperf  0
гірше	                 adj:n:v_naz:compr -10
дати	                 verb:inf:perf 0
день	                 noun:m:v_zna  0
десь	                 adv:&pron:ind 0
дешевше	                 adj:n:v_naz:compr  10
дещо	                 adv   0
для	                     prep:rv_rod   0
