Але	                  conj:coord 
А	                  conj:coord 
А	                  part 
Був	                  verb:past:m:imperf 
Був	                  verb:past:m:imperf 
Вам	                  pron:pers:p:2:v_dav:anim
Вибачте	              verb:impr:p:2:perf 
Видно	              insert 
Виявилося	          verb:rev:past:n:perf 
Все	                  adv:v-u 
Декілька	          numr:p:v_rod:&pron:ind 
Домі	              noun:m:v_mis 
Домі	              noun:m:v_mis 
До	                  prep:rv_rod
Дуже	              adj:m:v_naz:compb 
Дуже	              adv 
Дуже	              adv 
Дуже	              adv 
Дякую	              verb:pres:s:1:imperf 
Дякую	              verb:pres:s:1:imperf 
Дім	                  noun:m:v_naz 
Дім	                  noun:m:v_naz 
Дім	                  noun:m:v_naz 
Дім	                  noun:m:v_naz 
Дім	                  noun:m:v_naz 
Дім	                  noun:m:v_naz 
Дім	                  noun:m:v_zna 
Дім 	              noun:m:v_naz 
Жахливе               adj:n:v_naz:compb 
Завжди	              adv:&pron:gen 
Замовили	          verb:past:p:perf 
Замовили	          verb:past:p:perf 
Замовили	          verb:past:p:perf 
Замовлення	          noun:n:v_naz
Зранку	              adv 
І	                  conj:coord 
І	                  conj:coord                           
І	                  conj:coord                              
Їжа	                  noun:f:v_naz 
Кухня	              noun:f:v_naz 
Легенд	              noun:p:v_rod 
Легенд	              noun:p:v_rod 
Легенд	              noun:p:v_rod 
Легенд	              noun:p:v_rod 
Львові	              noun:m:v_dav 
Львові	              noun:m:v_mis 
Львові	              noun:m:v_mis 
Люди	              noun:p:v_naz:anim 
Ми	                  pron:pers:p:1:v_naz:anim 
Ми                    pron:pers:p:1:v_naz:anim
На	                  prep:rv_mis 
Нема	              predic 
Не	                  part 
Новий	              adj:m:v_zna:compb 
Нового	              adj:m:v_zna:compb                           
Ну	                  excl 
Нічого	              predic 
Одні	              numr:p:v_naz 
Особливі	          adj:p:v_naz 
Офіціант	          noun:m:v_naz:anim 
Пиво	              noun:n:v_zna 
Починайте	          verb:impr:p:2:imperf 
По	                  prep:rv_mis:rv_zna 
По-друге	          adv 
По-перше	          adv 
По-перше	          adv 
Прикро	              adv:compb 
Після	              adv  
Розчарування	      noun:n:v_naz 
Рівно	              adv:compb 
Сажотрус	          noun:m:v_naz:anim
Сажотрус	          noun:m:v_naz:anim 
Страва	              noun:f:v_naz  
Так	                  adv:&pron:dem 
Так 	              adv:&pron:dem 
Тарілка	              noun:f:v_naz 
Тиждень	              noun:m:v_naz 
Учора	              adv:v-u 
ФЕСТ	              noun:m:v_naz:bad 
Це	                  adj:n:v_naz:&pron:dem
Це	                  adj:n:v_naz:&pron:dem 
Чому	              adv:&pron:int:rel 
Чому	              adv:&pron:int:rel 
Шановні	              adj:p:v_kly 
Якась	              pron:pers:f:3:v_naz
Я	                  pron:pers:s:1:v_naz:anim
Я	                  pron:pers:s:1:v_naz:anim 
Я	                  pron:pers:s:1:v_naz:anim 
аби	                  conj:subord 
абсолютно	          adv 
але	                  conj:coord
але	                  conj:coord
але	                  conj:coord 
але	                  conj:coord 
але	                  conj:coord 
але	                  conj:coord 
але	                  conj:coord 
але 	              conj:coord 
але                   conj:coord 
аніж	              conj:subord 
аромату	              noun:m:v_rod 
арт-директору	      noun:m:v_dav:anim 
а	                  conj:coord 
а	                  conj:coord 
а	                  conj:coord 
а	                  conj:coord 
а	                  conj:coord 
а	                  conj:coord 
багатьох	          numr:p:v_mis:&pron:ind 
бачила	              verb:past:f:imperf 
бездарними	          adj:p:v_oru 
безкоштовному	      adj:m:v_dav 
без	                  prep:rv_rod 
без	                  prep:rv_rod 
без	                  prep:rv_rod 
би	                  part 
близько	              adv:compb 
бо	                  conj:subord 
брудно	              adv:compb 
буваю	              verb:pres:s:1:imperf 
був	                  verb:past:m:imperf 
був	                  verb:past:m:imperf 
був	                  verb:past:m:imperf 
був	                  verb:past:m:imperf 
будній	              adj:m:v_naz
буклеті	              noun:m:v_dav 
була	              verb:past:f:imperf 
була	              verb:past:f:imperf 
була	              verb:past:f:imperf 
була	              verb:past:f:imperf 
були	              verb:past:p:imperf 
були	              verb:past:p:imperf 
були	              verb:past:p:imperf 
були	              verb:past:p:imperf 
було	              verb:past:n:imperf 
було	              verb:past:n:imperf 
було	              verb:past:n:imperf 
було	              verb:past:n:imperf 
було	              verb:past:n:imperf 
було	              verb:past:n:imperf 
було 	              verb:past:n:imperf 
бігав	              verb:past:m:imperf 
бігали	              verb:past:p:imperf 
більше	              adv:compr
більше	              adv:compr 
більше	              adv:compr 
більше	              adv:compr 
більше	              adv:compr                
б	                  part 
вам	                  pron:pers:p:2:v_dav:anim 
вбиральні	          noun:f:v_dav:v-u 
вгодити	              verb:inf:perf:v-u 
вдалося	              verb:rev:past:n:perf:v-u 
вдома	              adv:v-u 
велику	              adj:f:v_zna:compb 
великі	              adj:p:v_naz:compb 
величезний	          adj:m:v_naz 
верхнього	          adj:m:v_mis
верхній	              adj:m:v_zna 
взяти	              verb:inf:perf 
видно	              predic 
викликав	          verb:past:m:imperf 
вимірі	              noun:m:v_dav 
вирішили	          verb:past:p:perf 
вирішили              verb:past:p:perf 
вирішують	          verb:pres:p:3:imperf 
витрачайте	          verb:impr:p:2:imperf 
виходу	              noun:m:v_zna 
виявився	          verb:rev:past:m:perf 
ви	                  pron:pers:p:2:v_naz:anim
ви	                  pron:pers:p:2:v_naz:anim 
ви	                  pron:pers:p:2:v_naz:anim 
вказуєте	          verb:pres:p:2:imperf:v-u 
води	              noun:p:v_zna 
воно	              pron:pers:n:3:v_naz 
впевнена	          adj:f:v_naz:compb:v-u:&adjp:pasv:past 
впевнено              adv:compb:v-u  
вперше	              adv:v-u 
вперше 	              adv:v-u 
вражений	          adjp:pasv:past:m:v_naz 
враження	          noun:p:v_naz 
враження              noun:n:v_naz                              
все	                  adv:v-u 
встиг	              verb:past:m:perf:v-u
всій	              adj:f:v_mis:&pron:dem 
всім	              adj:p:v_dav:&pron:dem 
всі	                  adj:p:v_naz:&pron:dem 
вулиці	              noun:f:v_mis 
вході	              noun:m:v_mis:v_dav 
відвідати	          verb:inf:perf 
відвідували	          verb:past:p:imperf 
відвідувачів	      noun:p:v_rod:anim 
відвідувачів	      noun:p:v_rod:anim 
відвідую	          verb:pres:s:1:imperf 
відмовили	          verb:past:p:perf 
відчула	              verb:past:f:perf 
відчули	              verb:past:p:perf 
від	                  prep:rv_rod 
від	                  prep:rv_rod 
він	                  pron:pers:m:3:v_naz:anim 
він	                  pron:pers:m:3:v_naz:anim 
вітер	              noun:m:v_zna 
вічно	              adv 
в	                  prep
в	                  prep 
в	                  prep:rv_dav
в	                  prep:rv_dav:v-u 
в	                  prep:rv_mis:v-u
в	                  prep:rv_rod:v-u 
в	                  prep:rv_rod:v-u 
в	                  prep:rv_zna:rv_mis:rv_rod:v-u
в	                  prep:rv_zna:rv_mis:rv_rod:v-u 
в	                  prep:rv_zna:rv_mis:rv_rod:v-u 
гарячого	          noun:p:v_zna 
глечик	              noun:m:v_naz 
година	              noun:f:v_naz 
години	              noun:f:v_rod 
години	              noun:f:v_rod 
годин	              noun:p:v_dav 
голосно	              adv:compb 
голос	              noun:m:v_naz 
господарі	          noun:p:v_kly:anim anim 
гостей	              noun:p:v_rod:anim 
гостям	              noun:p:v_dav:anim
готуюсь	              verb:rev:pres:s:1:imperf 
гривень	              noun:p:v_zna 
гриль	              noun:m:v_zna 
грн	                  noun:p:naz:nv:abbr 
грн	                  noun:p:v_naz:nv:abbr 
грн	                  noun:p:v_rod:nv:abbr 
грн	                  noun:p:v_rod:nv:abbr 
гроші	              noun:p:v_zna 
гудзика	              noun:m:v_zna 
гуморески             noun:p:v_zna 
гірше 	              adj:n:v_naz:compr 
гіршого 	          adj:m:v_rod:compr 
дарував	              verb:past:m:imperf                               
дві	                  numr:p:v_zna 
день	              noun:m:v_naz 
десь	              adv:&pron:ind 
де	                  adv:&pron:int:rel 
дизайнерам	          noun:p:v_dav:anim 
днях	              noun:p:v_mis 
довго	              adv:compb 
долили	              verb:past:p:perf 
долили	              verb:past:p:perf 
долити	              verb:inf:perf 
допомогла	          verb:past:f:perf 
дорого	              adv:compb 
дорозі	              noun:f:v_mis 
дочекавшись	          advp:rev:perf 
дочекалися	          verb:rev:past:p:perf 
до	                  prep
до	                  prep:rv_rod 
до	                  prep:rv_rod 
до	                  prep:rv_zna 
до	                  prep:rv_zna 
до	                  prep:rv_zna 
до 	                  prep:rv_rod 
друзями	              noun:p:v_oru:anim 
дуже	              adv
дуже	              adv 
дуже	              adv 
дуже	              adv 
дуже	              adv 
дуже	              adv 
дуже	              adv 
дуже	              adv 
дуже	              adv               
дуже	              adv                       
думку	              noun:f:v_zna 
душно	              adv 
дякую	              verb:pres:s:1:imperf 
дівчина	              noun:f:v_naz:anim 
дійсно	              adv 
