Iryna 20-30 male
Але	                  conj:coord  0
А	                  conj:coord  0
Був	                  verb:past:m:imperf  0
Вам	                  pron:pers:p:2:v_dav:anim 0
Вибачте	              verb:impr:p:2:perf  -10
Видно	              insert  0
Виявилося	          verb:rev:past:n:perf  0
Все	                  adv:v-u  0
Декілька	          numr:p:v_rod:&pron:ind  0
Домі	              noun:m:v_mis  0
До	                  prep:rv_rod 0
Дуже	              adj:m:v_naz:compb  0
Дуже	              adv  0
Дякую	              verb:pres:s:1:imperf  10
Дім	                  noun:m:v_naz  0
Дім	                  noun:m:v_zna  0
Жахливе               adj:n:v_naz:compb  -10
Завжди	              adv:&pron:gen  0
Замовили	          verb:past:p:perf  0
Замовлення	          noun:n:v_naz 0
Зранку	              adv  0
І	                  conj:coord                               0
Їжа	                  noun:f:v_naz  0
Кухня	              noun:f:v_naz  0
Легенд	              noun:p:v_rod  0
Львові	              noun:m:v_dav  0
Львові	              noun:m:v_mis  0
Люди	              noun:p:v_naz:anim  0
Ми	                  pron:pers:p:1:v_naz:anim  0
На	                  prep:rv_mis  0
Нема	              predic  0
Не	                  part  0
Новий	              adj:m:v_zna:compb  0
Нового	              adj:m:v_zna:compb                            0
Ну	                  excl  0
Нічого	              predic  0
Одні	              numr:p:v_naz  0
Особливі	          adj:p:v_naz  10
Офіціант	          noun:m:v_naz:anim  0
Пиво	              noun:n:v_zna  0
Починайте	          verb:impr:p:2:imperf  0
По	                  prep:rv_mis:rv_zna  0
По-друге	          adv  0
По-перше	          adv  0
Прикро	              adv:compb  -10
Після	              adv   0
Розчарування	      noun:n:v_naz  -10
Рівно	              adv:compb  0
Сажотрус	          noun:m:v_naz:anim 0
Страва	              noun:f:v_naz   0
Так	                  adv:&pron:dem  0
Тарілка	              noun:f:v_naz  0
Тиждень	              noun:m:v_naz  0
Учора	              adv:v-u  0
ФЕСТ	              noun:m:v_naz:bad  0
Це	                  adj:n:v_naz:&pron:dem 0
Чому	              adv:&pron:int:rel  0
Шановні	              adj:p:v_kly  0
Якась	              pron:pers:f:3:v_naz 0
Я	                  pron:pers:s:1:v_naz:anim 0
аби	                  conj:subord  0
абсолютно	          adv  0
але	                  conj:coord 0
аніж	              conj:subord  0
аромату	              noun:m:v_rod  0
арт-директору	      noun:m:v_dav:anim  0
а	                  conj:coord  0
багатьох	          numr:p:v_mis:&pron:ind  0
бачила	              verb:past:f:imperf  0
бездарними	          adj:p:v_oru  -10
безкоштовному	      adj:m:v_dav  0
без	                  prep:rv_rod  0
би	                  part  0
близько	              adv:compb  0
бо	                  conj:subord  0
брудно	              adv:compb  0
буваю	              verb:pres:s:1:imperf  0
був	                  verb:past:m:imperf  0
будній	              adj:m:v_naz -10
буклеті	              noun:m:v_dav  0
була	              verb:past:f:imperf  0
були	              verb:past:p:imperf  0
було 	              verb:past:n:imperf  0
бігав	              verb:past:m:imperf  0
бігали	              verb:past:p:imperf  0
