Protsay 20-30 female
У				у				prep:rv_rod:v-u  0
нас				ми				pron:pers:p:1:v_rod:anim  23
було			бути			verb:past:n:imperf  0
весілля			весілля			noun:n:v_naz  50
в				в 				prep:rv_mis:v-u  0
ресторані		ресторан		noun:m:v_mis  50
Рафаель			Рафаель 		noun:m:v_naz:anim:fname  50
кільцева		кільцевий		adj:f:v_naz  0
дорога			дорога			noun:f:v_naz  0
Львова			Львів			noun:m:v_rod  28
Найбільше		багато			adv:super   50
сподобалося		сподобатися		verb:rev:past:n:perf  50
ставлення		ставлення		noun:n:v_naz  0
персоналу		персонал 		noun:m:v_rod  0
шеф-повар		шеф-повар		noun:m:v_naz:anim  0
з				з				prep:rv_oru  0
яким			який			pron:int:rel:def:m:v_oru 0
обговорювали	обговорювати	verb:past:p:imperf  21
меню			меню			noun:n:v_zna:nv  21
всі				весь			pron:dem:p:v_naz 0
страви			страва			noun:p:v_zna  26
дійсно			дійсно			adv  0
вишуканні		вишукання		noun:n:v_mis  28
не				не 				part  -28
буденні			буденний		adj:p:v_naz  -24
Окремо			окремо			adv  0
купували		купувати		verb:past:p:imperf  0
тільки			тільки			part  0
червону			червоний		adj:f:v_zna:compb  23
ікру			ікра			noun:f:v_zna  23
і				і				conj:coord  0
корзинки		корзинка		noun:p:v_naz:bad  28
пісочні			пісочний		adj:p:v_naz  28
замовляли		замовляти		verb:past:p:imperf  28
в				в				prep:rv_mis:v-u  0
Океані			океан			noun:m:v_mis  41
Все				весь			pron:dem:n:v_naz 0
інше			інший 			pron:def:n:v_naz  0
було			бути			verb:past:n:imperf  0
від				від				prep:rv_rod  0
закладу			заклад			noun:m:v_rod  0
і				і 				conj:coord  0
м'ясного		м'ясний			adj:m:v_rod  0
було			бути 			verb:past:n:imperf  0
дуже			дуже 			adv  50
достатньо		достатньо 		adv  0
хоча			хоча 			conj:subord  0
наші			наш 			pron:pos:p:v_naz 0
батьки			батько			noun:p:v_naz:anim  0
хвилювалися		хвилюватися 	verb:rev:past:p:imperf  0
що				що 				conj:subord  0
буде			бути			verb:futr:s:3:imperf  0
мало			мало			adv:compb  -28
Я				я 				pron:pers:s:1:v_naz:anim  0
не				не 				part  -29
об				щоб 			conj:subord  0
на				на 				prep:rv_mis  0
столах			стіл 			noun:p:v_mis  0
була			бути 			verb:past:f:imperf  0
фарширована		фарширований 	adjp:pasv:past:f:v_naz  0
риба			риба 			noun:f:v_naz:anim  0
і				і 				part  0
шеф-повар		шеф-повар 		noun:m:v_naz:anim  0
запропонував	запропонувати	verb:past:m:perf  0
рибу-гриль		риба-гриль 		noun:f:v_zna:anim  0
яка				який 			pron:int:rel:def:f:v_naz 0
подавалася		подаватися		verb:rev:past:f:imperf  0
кожному			кожний 			pron:def:m:v_dav  0
окремо			окремо			adv  0
потім			потім			pron:dem 0
всі				весь			pron:dem:p:v_naz 0
ту				той 			pron:dem:f:v_zna 0
рибку			рибка			noun:f:v_zna:anim  0
згадували		згадувати 		verb:past:p:imperf  0
як				як				part  0
найсмачнішу		смачний 		adj:f:v_zna:super  29
страву			страва 			noun:f:v_zna  0
З				з 				prep:rv_rod  0
одного			один			numr:m:v_rod  0
боку			бік 			noun:m:v_rod  0
можна			можна			predic  0
сказати			сказати			verb:inf:perf  0
що				що				conj:subord  0
там				там 			adv  0
працюють		працювати		verb:pres:p:3:imperf  0
індивідуально	індивідуально 	adv  0
з				з 				prep:rv_oru  0
кожним			кожний 			pron:def :p:v_oru 0
клієнтом		клієнт 			noun:m:v_oru:anim  0
а				а 				conj:coord  0
