Zemko 20-30 female
0,350             number  0
06.01.2014        date  0
1                 number  0
10                number  0
100               number 0
14-00             number  0
15                number  0
15.06.2014        date  0
16.03.2014        date  0
19.08.2013        date  0
2                 number  0
2013              number  0
25                number  0
3                 number  0
30                number  0
35                number  0
4                 number  0
44                number  0
5                 number  0
5%                number  0
50                number 0
Андрій            noun:m:v_naz:anim:fname 0
Де-Манджаро       noun:n:v_zna -10
Де-Манжаро        noun:n:v_zna -10
Київ              noun:m:v_rod  20
Козловський       noun:m:v_naz:anim:lname 20
Львів             noun:n:v_naz 25
Львів             noun:m:v_rod  25
Німеччина         noun:f:v_rod  20
Ольга             noun:f:v_naz:anim:fname  10
Спартак           noun:m:v_zna   40
а                 conj:coord 0
або               conj:coord  0
аджика            noun:f:v_naz  20
аджика            noun:f:v_rod  20
адміністратор     noun:m:v_naz:anim  10
адміністратор     noun:m:v_rod:anim  10
адміністратор     noun:m:v_zna:anim  10
адреса            noun:f:v_oru  0
але               conj:coord  -10
алкогольний       adj:n:v_mis  -10
анорексик         noun:m:v_dav -10
аніж              conj:subord  0
архітектурний     adj:n:v_oru  10
б                 part  0
багато            adv   20
бармен            noun:m:v_rod:anim  10
без               prep:rv_rod  0
би                part  0
близько           adv:compb  0
бо                conj:subord 0
бограч            noun:nv 0
бомба             noun:f:v_naz  -10
бонус             noun:m:v_naz  20
бувати            verb:pres:p:3:imperf  0
будинок           noun:m:v_naz  30
будь-який         pron:ind  0
бути              verb:futr:p:2:imperf  0
бути              verb:futr:s:1:imperf  0
бути              verb:impr:s:2:imperf  0
бути              verb:inf:imperf  0
бути              verb:past:f:imperf  0
бути              verb:past:m:imperf  0
бути              verb:past:n:imperf  0
бути              verb:past:p:imperf  0
бути              verb:past:p:imperf  0
бік               noun:m:v_rod  0
біля              adv  0
в                 prep:rv_mis  0
в                 prep:rv_mis:v-u  0
в                 prep:rv_zna:v-u  0
в'ялий            adj:p:v_naz  -30
вага              noun:f:v_zna  0
важливий          adj:p:v_naz:compb  10
вареник           noun:p:v_zna  30
ваш               pron:pos  0
вважати           verb:pres:s:1:imperf  0
великий           adj:f:v_zna:compb  0
великий           adj:m:v_naz:compr  0
великий           adj:n:v_rod:compr  0
величезний        adj:f:v_oru  0
веселий           adj:f:v_rod:compb  30
веселий           adj:m:v_naz:compb  30
весь              pron:dem  0
вечір             noun:m:v_naz  0
вечір             noun:m:v_zna  0
вже               adv:v-u  0
взагалі           adv:v-u  0
взяти             advp:perf  0
взяти             verb:inf:perf  0
взяти             verb:past:p:perf  0
ви                pron:pers:p:2:v_dav:anim  0
ви                pron:pers:p:2:v_naz:anim 0
вибачатися        verb:rev:inf:imperf  10
вибір             noun:m:v_zna  0
викинути          verb:past:f:perf  0
викласти          verb:inf:perf  -20
вилучити          verb:past:p:perf  -20
вимагати          verb:past:p:imperf  -30
винний            adj:p:v_naz  0
вино              noun:n:v_zna  20
випічка           noun:f:v_rod  30
вираз             noun:m:v_naz  0
вирізка           noun:f:v_rod  0
вирішити          verb:impers:perf  0
вирішити          verb:past:f:perf  0
вирішити          verb:past:p:perf  0
витирати          verb:inf:imperf  0
виявитися         verb:rev:past:n:perf  0
виясняти          verb:inf:imperf  0
вказаний          adjp:pasv:past:f:v_naz:v-u  0
вказати           verb:impers:perf:v-u  0
вкрасти           verb:past:p:perf:v-u  -40
вода              noun:f:v_rod  10
вона              pron:pers:f:3:v_naz:anim  0
вона              pron:pers:f:3:v_rod:anim  0
вони              pron:pers:p:3:v_naz:anim 0
вони              pron:pers:p:3:v_zna:anim 0
вражений          adjp:pasv:past:f:v_naz  0
враження          noun:p:v_zna  0
враховувати       advp:imperf:v-u  0
врахування        noun:n:v_rod:v-u  0
всередині         adv:v-u  0
всякий            pron:gen:v-u  0
вхід              noun:m:v_mis  0
вчорашній         adj:m:v_oru:v-u  0
відварювати       verb:pres:p:3:imperf  0
відвідати         verb:inf:perf  20
відвідувати       verb:inf:imperf  20
відвідувати       verb:past:f:imperf  20
відвідувач        noun:p:v_dav:anim  0
відгук            noun:m:v_zna  0
відколи           adv 0
відповідати       verb:pres:s:3:imperf  10
відповідно        adv:compb  0
відповідь         noun:f:v_naz  0
відповісти        verb:past:f:perf  -10
відповісти        verb:past:p:perf  -10
відпочивати       verb:inf:imperf  30
відпочити         verb:inf:imperf 40
відпочити         verb:inf:perf   40
відсвяткувати     verb:inf:perf  40
відсотковий       adj:f:v_zna  -10
відчути           verb:past:f:perf  0
вільний           adj:m:v_oru:compb  30
вільний           adj:m:v_rod:compb  30
вільний           adj:p:v_rod:compb  30
він               pron:pers:m:3:v_naz:anim 0
він               pron:pers:m:3:v_rod:anim 0
він               pron:pers:m:3:v_zna:anim 0
вітер             noun:m:v_zna  10
вітрина           noun:f:v_rod  10
г                 noun:m:v_naz:nv:abbr 0
галицький         adj:f:v_mis  10
галицький         adj:f:v_naz  10
гамбургер         noun:m:v_naz  20
гамбургер         noun:m:v_zna  20
гарантія          noun:f:v_naz  20
гарний            adj:n:v_naz:compb  20
гарний            adj:n:v_oru:compb  20
глінтвейн         noun:m:v_naz  20
головний          adj:n:v_naz:compb  0
голодний          adj:p:v_rod:compb    -30
грам              noun:m:v_naz  -10
грецький          adj:m:v_naz  0
грн               noun:p:v_zna:nv:abbr  0
гроші             noun:p:v_rod  10
гроші             noun:p:v_zna  10
гуляти            advp:imperf  30
гість             noun:m:v_naz:anim  20
гість             noun:p:v_naz:anim  20
давати            verb:pres:p:3:imperf  10
дама              noun:p:v_dav:anim  0
два               numr:m:v_naz  0
два               numr:p:v_naz 0
два               numr:m:v_zna  0
двоє              numr:p:v_dav  0
де                adv  0
день              noun:p:v_naz  10
дерун             noun:p:v_zna  20
десерт            noun:m:v_rod  50
десерт            noun:p:v_zna  50
диванчик          noun:p:v_oru 40
дивитися          advp:rev:imperf 0
дизайн            noun:m:v_naz  10
дитина            noun:f:v_naz:anim  20
дитина            noun:f:v_oru:anim  20
для               prep:rv_rod  0
дно               noun:n:v_mis   0
до                prep:rv_rod  0
до речі           </insert> 0
добавити          verb:futr:p:1:perf  10
добре             adv 10
добряче	          adv  20
довестися         verb:rev:past:n:perf  0
доводитися        verb:rev:past:n:imperf  0
доки              adv 0
доки              conj:subord  0
досить            adv 0
дочекатися        verb:rev:futr:s:2:perf  10
дочекатися        verb:rev:past:p:perf  10
дротик            noun:m:v_naz  0
другий            adj:m:v_mis  0
другий            adj:m:v_naz  0
другий            adj:m:v_rod  0
друзі             noun:p:v_oru:anim  30
дуже              adv 40
дякувати          verb:pres:s:1:imperf  30
дізнатися         verb:rev:past:p:perf  10
діти              noun:p:v_naz:anim 20
ж                 part  0
жаль              noun:m:v_naz  -20
жах               noun:m:v_naz  -50
жахливий          adj:n:v_naz:compb  -50
жодний            pron  -10
з                 prep:rv_rod  0
з                 prep:rv_rod:rv_zna:rv_oru  0
з'явитися         verb:rev:past:m:perf  0
з'їсти            verb:past:f:perf  20
з'їсти            verb:past:p:perf  20
за                prep:rv_oru  0
за                prep:rv_zna  0
забути            verb:past:p:perf  -10
заважати          verb:past:m:imperf  -30
заважати          verb:pres:s:3:imperf  -30
завітати          verb:past:f:perf  20
задоволено        adv:compb  30
зайвий            adj:f:v_zna  -10
зайти             advp:perf  0
зайти             advp:perf  0
зайти             verb:inf:perf  0
зайти             verb:past:p:perf  0
закарпатський     adj:m:v_rod  20
заклад            noun:m:v_mis  0
заклад            noun:m:v_naz  0
заклад            noun:m:v_rod  0
заклад            noun:m:v_zna  0
зал               noun:m:v_mis  20
зал               noun:m:v_naz  20
залити            verb:past:f:perf  -30
залити            verb:past:n:perf  -30
залишати          verb:inf:imperf  -10
залишитися        verb:rev:past:n:perf  -10
замовити          advp:perf  -10
замовити          verb:inf:perf  0
замовити          verb:past:p:perf  0
замовлений        adjp:pasv:past:p:v_zna  0
замовлення        noun:n:v_mis  10
замовлення        noun:n:v_rod  10
замовлення        noun:n:v_zna  10
замовлення        noun:n:v_zna  10
замовляти         verb:inf:imperf  0
запечений         adjp:pasv:past:f:v_zna  0
запитання         noun:n:v_zna  0
запитати          verb:past:f:perf  0
запитати          verb:past:m:perf  0
запропонований    adjp:pasv:past:m:v_naz  10
запропонувати     verb:inf:perf  10
запропонувати     verb:past:p:perf  10
заслуговувати     verb:pres:p:3:imperf  20
заходити          verb:impr:p:2:imperf  0
зачиняти          verb:inf:imperf  0
звернути          verb:past:p:perf  0
звертатися        verb:rev:inf:imperf  0
згадати           verb:inf:perf  20
зголодніти        verb:past:p:perf  -20
здача             noun:f:v_zna  10
здивувати         verb:past:n:perf  0
здивуватися       verb:rev:past:f:perf  0
здивуватися       verb:rev:past:p:perf  0
зелено-чорний     adj:m:v_naz:compb   10
злий              adj:p:v_naz:compb -30
зміна             noun:f:v_zna  0
знайти            advp:perf  0
знайти            verb:past:f:perf  0
знаходитися       verb:rev:pres:s:3:imperf  0
знижка            noun:f:v_rod  20
знижка            noun:f:v_zna  20
знизу             adv  0
зіпсований        adjp:pasv:past:m:v_zna  -30
зіпсувати         verb:past:n:perf  -30
й                 conj:coord 0
й                 conj:coord  0
кав'ярня          noun:p:v_mis  30
кава              noun:f:v_naz  30
кава              noun:f:v_rod  30
картопля          noun:f:v_oru  30
картопля          noun:f:v_zna  30
каса              noun:f:v_mis  0
каса              noun:p:v_rod   0
кафе              noun:n:v_mis:nv  30
кафе              noun:n:v_zna:nv  30
кафетерій         noun:m:v_rod 30
кг                noun:m:v_naz:nv:abbr 0
класний           adj:f:v_naz  30
кликати           verb:inf:imperf  0
кожний            adj:m:v_naz:contr  0
колега            noun:f:v_oru:anim  20
коли              adv  0
компанія          noun:f:v_rod  20
компенсація       noun:f:v_zna  30
коньяк            noun:m:v_rod  30
король            noun:m:v_naz:anim  0
король            noun:m:v_zna:anim  0
коханий           adjp:pasv:past:m:v_oru 40
красивий          adj:m:v_naz:compb  40
краще             adv 40
крик              noun:m:v_zna  -30
кричати           verb:past:m:imperf  -30
куди              adv  0
курага            noun:f:v_oru  50
курець            noun:p:v_rod:anim  -50
кусочок           noun:m:v_zna  -10
кухня             noun:f:v_oru  10
кількість         noun:f:v_zna  0
ласка             noun:f:v_naz  20
листок            noun:p:v_naz  0
лише              part  0
ловити            verb:past:p:imperf  0
ложечка           noun:f:v_zna  0
лояльний          adj:m:v_naz:compb  10
люди              noun:p:v_kly:anim  0
люди              noun:p:v_rod:anim   0
людоньки          noun:p:v_naz:anim  -10
лютий             noun:m:v_rod  -30
літера            noun:p:v_zna  0
м                 noun:n:v_naz:nv:abbr 0
м'ясо             noun:n:v_rod  50
м'ясо             noun:n:v_zna  50
майже             adv  0
майонез           noun:m:v_naz  -20
малий             adj:f:v_rod:compb  -10
малий             adj:f:v_zna:compb  -10
малий             adj:n:v_naz:compr -10
меню              noun:n:v_mis:nv  0
меню              noun:n:v_zna:nv  0
ми                pron:pers:p:1:v_dav:anim  0
ми                pron:pers:p:1:v_naz:anim 0
ми                pron:pers:p:1:v_oru:anim  0
ми                pron:pers:p:1:v_rod:anim 0
ми                pron:pers:p:1:v_zna:anim  0
мовити            verb:inf:imperf 0
могти             verb:unknown  0
може              insert 0
може бути         </insert>  0
можна             predic  30
момент            noun:p:v_naz  0
моршинський       adj:f:v_naz  0
музика            noun:f:v_naz  50
мій               pron:pos  20
місто             noun:n:v_oru  20
місто             noun:n:v_rod  20
місце             noun:n:v_naz  0
місце             noun:n:v_rod  0
місце             noun:p:v_rod  0
на                prep:rv_mis  0
на                prep:rv_zna  0
на                prep:rv_zna:rv_mis  0
навмисно          adv  0
навіть            part  0
нагло             adv  -50
надзвичайно       adv  10
надто             adv  10
надіятися         verb:rev:pres:s:1:imperf  0
накипіти          verb:past:n:perf  -40
накладати         verb:inf:imperf  10
написати          verb:inf:perf  10
наплутати         verb:past:p:perf  -30
нарешті           adv 10
народження        noun:n:v_rod  30
насправді         adv  0
настоятися        verb:rev:inf:perf  10
настрій           noun:m:v_zna  0
наступний         adj:p:v_naz  0
настільки         adv  0
натрапити         verb:past:p:perf  10
наш               adj:n:v_zna 10
не                part  -10
негативний        adj:m:v_zna:compb  -20
недбальство       noun:n:v_zna  -40
недогледіти       verb:past:p:perf  -40
неприємний        adj:m:v_naz:compb  -40
неприємно         adv:compb  -40
несмачний         adj:f:v_naz  -30
низький           adj:p:v_dav:compb  0
новий             adj:m:v_naz:compb  0
нога              noun:p:v_zna  0
номер             noun:m:v_oru  0
ніби              part  0
ніхто             pron:neg:v_dav:anim  -10
ніхто             pron:neg:v_naz:anim  -10
ніщо              pron:neg:v_rod  -10
ніяк              adv -10
обдурити          verb:past:p:perf  -30
обличчя           noun:n:v_rod  0
обманути          verb:past:p:perf  -40
обслуговування    noun:n:v_dav  0
обслуговування    noun:n:v_naz  0
обслуговування    noun:n:v_oru  0
обслуговувати     verb:past:f:imperf  0
обслужити         verb:past:m:perf  10
обсмажений        adjp:pasv:past:p:v_naz  20
обід              noun:m:v_zna  30
один              numr:f:v_rod  -10
один              numr:m:v_rod  -10
однак             conj:coord 0
одразу            adv  0
окремо            adv  -10
оплата            noun:f:v_dav  0
оплата            noun:f:v_rod 0
оплата            noun:f:v_zna  0
оселедець         noun:m:v_naz  20
оскільки          conj:subord  0
отож              part  0
оформлення        noun:n:v_oru  10
офіціант          noun:m:v_naz:anim  0
офіціант          noun:m:v_rod:anim  0
офіціант          noun:m:v_zna:anim  0
офіціант          noun:p:v_naz:anim  0
офіціант          noun:p:v_rod:anim  0
офіціантка        noun:f:v_naz:anim  -10
офіціантка        noun:p:v_rod:anim  -10
офіціантів	      noun:p:v_zna:anim  0
офіціянт          noun:m:v_rod:anim  0
охопити           verb:past:m:perf  0
панакота          noun:f:v_zna 0
пані              noun:f:v_naz:nv:anim  10
перевірка         noun:f:v_zna  0
перевіряти        verb:impr:p:2:imperf  0
перед             adv 0
перекусити        verb:inf:perf  10
переплутати       verb:past:p:perf  -30
персонал          noun:m:v_naz  0
печеня            noun:f:v_zna  10
писати            verb:pres:s:1:imperf  0
питання           noun:n:v_naz  0
пляшка            noun:f:v_zna  10
пліснява          noun:f:v_rod -50
по                prep:rv_mis  0
побачити          verb:past:p:perf  10
повернути         verb:past:f:perf  0
поверх            noun:m:v_mis  0
поверх            noun:m:v_naz 0
повзаючий         adjp:actv:pres:m:v_oru:bad -20
повторитися       verb:rev:past:m:perf  0
повільний         adj:n:v_naz:compb  -20
погодитися        verb:rev:past:p:perf  20
подобатися        verb:rev:pres:p:3:imperf  20
подруга           noun:f:v_oru:anim  20
подіти            verb:inf:perf  0
пожаліти          verb:past:f:perf  10
покараний         adjp:pasv:past:p:v_naz  -20
поки              adv 0
поки              conj:subord  0
покласти          verb:past:p:perf  0
покликати         verb:past:p:perf  0
полишати          verb:inf:imperf -10
помилка           noun:f:v_oru  -10
пообідати         verb:inf:perf  10
пообіцяти         verb:past:f:perf  10
попадати          verb:inf:imperf  0
попастися         verb:rev:past:m:perf  -10
попередити        verb:futr:s:1:perf  10
попередити        verb:past:f:perf  10
попоїсти          verb:inf:perf  20
попросити         verb:past:p:perf  10
поряд             adv 10
порівнювати       advp:imperf  0
постояти          verb:past:m:perf  0
постійно          adv  0
потрібно          adv:compb  0
потім             adv  0
почати            verb:past:f:perf  0
початок           noun:m:v_naz  0
почути            verb:past:p:perf  0
пошук             noun:m:v_mis   0
пояснити          verb:past:f:perf  0
поїсти            verb:inf:perf  20
при               prep:rv_mis 0
прибиратися       verb:rev:pres:s:3:imperf  0
пригода           noun:p:v_rod  10
пригорілий        adjp:actv:past:f:v_naz -30
приготування      noun:n:v_rod  10
прийняти          verb:futr:p:3:perf  10
прийняти          verb:past:p:perf  10
прийти            verb:past:f:perf  10
прийтися          verb:rev:past:n:perf  0
прикольний        adj:f:v_naz  30
принести          verb:futr:p:3:perf  10
принести          verb:past:m:perf  10
принести          verb:past:p:perf  10
приносити         verb:past:p:imperf  10
приємний          adj:m:v_naz:compb  10
приїхати          verb:past:f:perf  10
про               prep:rv_zna  0
провести          verb:past:p:perf  0
прогулюватися     advp:rev:imperf  20
продукт           noun:m:v_oru  0
проконтролювати   verb:futr:p:1:perf  0
пролунати         verb:past:f:perf  0
проте             conj:coord  -10
під               prep:rv_oru  0
під               prep:rv_zna  0
підгорілий        adjp:actv:past:f:v_naz -20
підгоріти         verb:past:p:perf  -20
підсісти          verb:inf:perf  -20
підійти           verb:past:m:perf  0
пізно             adv:compr  -10
пік               noun:m:v_naz 0
після             adv  0
піти              verb:past:p:perf  0
піца              noun:f:v_naz  20
піца              noun:f:v_zna  20
піцерія           noun:f:v_rod  20
радий             adj:p:v_naz  20
радити            verb:pres:s:1:imperf  0
раз               adv  0
район             noun:m:v_mis  0
рахунок           noun:m:v_naz  0
ребро             noun:p:v_rod  0
рекомендувати     verb:futr:s:1:perf 0
ресторан          noun:m:v_zna  20
ресторанчик       noun:m:v_naz  20
рис               noun:m:v_zna  20
робитися          verb:rev:pres:s:3:imperf  0
робота            noun:f:v_mis  0
розказати         verb:inf:perf  0
розрахувати       verb:past:m:perf  0
розрахуватися     verb:rev:past:m:perf  -10
розташування      noun:n:v_naz  0
розтектися        verb:rev:past:f:perf  -20
розуміти          verb:pres:s:1:imperf  20
рука              noun:p:v_zna  0
рідко             adv:compb  -10
різноманітний     adj:p:v_rod:compb   10
рік               noun:m:v_rod  0
річ               noun:f:v_rod  0
