vukliuk 20-30 female
Ціни		noun:p:v_naz 0
на			prep:rv_zna 0
нижчі		adj:p:v_naz:compr 10
ніж			conj:subord  0
смачно		adv:compb 10
офіціанти	noun:p:v_naz:anim 0
привітні	adj:p:v_naz:compb 10
Окреме		adj:n:v_naz 0
дякую		verb:pres:s:1:imperf 0
офіціанту	noun:m:v_dav:anim 0
Володі		noun:m:v_dav:anim:fname 0
Все			pron:dem:n:v_naz 0
організовано	adv:compb 10
та			conj:coord 0
швидко		adv:compb 10
улюблений	adjp:pasv:past:m:v_naz:compb 10
заклад		noun:m:v_naz 0
із			prep:rv_oru 0
а			part 0
коли		conj:subord 0
пече		verb:pres:s:3:imperf -10
сонечко		noun:n:v_naz 10
можна		predic 0
втамувати	verb:inf:perf:v-u 10
спрагу		noun:f:v_zna -10
Що			pron:int:rel:n:v_zna 0
я			pron:pers:s:1:v_naz:anim 0
думаю		verb:pres:s:1:imperf 0
про			prep:rv_zna 0
це			pron:dem:n:v_zna 0
місце		noun:n:v_zna 0
Явно		adv 0
чекала		verb:past:f:imperf 0
більшого	adj:m:v_zna:compr 10
зважаючи	advp:imperf 0
на			prep:rv_zna 0
те			pron:dem:n:v_zna 0
що			conj:subord 0
заклад		noun:m:v_naz 0
мережі		noun:f:v_rod  0
локаль		noun:f:v_naz 0
На			prep:rv_zna 0
офіціантів	noun:p:v_zna:anim 0
треба		predic 0
довго		adv:compb -10
чекати		verb:inf:imperf -10
і			conj:coord 0
кликати		verb:inf:imperf -10
причому		adv 0
що			conj:subord 0
зайняті		adjp:pasv:past:p:v_naz -10
декілька	numr:p:v_naz 0
столиків	noun:p:v_rod 0
офіціанти	noun:p:v_naz:anim 0
не			part 0
надають		verb:pres:p:3:imperf 0
ніякої		pron:neg:f:v_rod -10
інформації	noun:f:v_rod  0
про			prep:rv_zna 0
те			pron:dem:n:v_zna 0
що			pron:int:rel:n:v_naz 0
до			prep:rv_rod 0
акцій		noun:p:v_rod 10
а			conj:coord 0
що			pron:int:rel:n:v_naz 0
ні			part 0
на			prep:rv_zna 0
страви		noun:p:v_zna 0
також		conj:coord 0
чекати		verb:inf:imperf -10
треба		predic 0
більше		adv:compr 0
ніж			conj:subord 0
півгодини	noun:f:v_zna:nv:np 0
Смачно		adv:compb 10
швидко		adv:compb 10
недорого	adv 10
і			part 0
одразу		adv 0
роботи		noun:f:v_rod -10
класні		adj:p:v_naz 20
АЛЕ			conj:coord 0
вперше		adv:v-u 0
замовили	verb:past:p:perf 0
рибний		adj:m:v_zna 0
суп			noun:m:v_zna 0
з			prep:rv_oru 0
морепродуктами	noun:p:v_oru 0
який		pron:int:rel:def:m:v_naz 0
дуже		adv 0
розчаровує	verb:pres:s:3:imperf -10
був			verb:past:m:imperf 0
суцільний	adj:m:v_naz 0
бульйон		noun:m:v_naz 0
а			conj:coord 0
обіцяні		adjp:pasv:past:p:v_naz 0
морепродукти	noun:p:v_naz 0
3			number 0
маленькі	adj:p:v_naz -10
шматочки	noun:p:v_naz 0
чогось		pron:ind:n:v_rod 0
морського	adj:n:v_rod 0
в			prep:rv_mis:v-u 0
але			conj:coord 0
ДУЖЕ		adv  0
маленькі	adj:p:v_naz -10
їх			pron:pers:p:3:v_zna:anim 0
ледве		adv 0
виловили	verb:past:p:perf -10
Що			pron:int:rel:n:v_naz 0
стосується	verb:rev:pres:s:3:imperf 0
макарони	noun:p:v_naz 0
теж			part 0
як			conj:subord 0
на			prep:rv_zna 0
ту			pron:dem:f:v_zna 0
кількість	noun:f:v_zna 0
рідини		noun:f:v_rod 0
то			conj:subord 0
їх			pron:pers:p:3:v_zna:anim 0
треба		predic 0
було		verb:past:n:imperf 0
виловлювати	verb:inf:imperf -10
а			part 0
коли		conj:subord 0
таки		part 0
натрапили	verb:past:p:perf 0
то			conj:subord 0
були		verb:past:p:imperf 0
тверді		adj:p:v_naz:compb -10
недоварені	adj:p:v_naz -10
такий		pron:def:m:v_naz  0
рецепт		noun:m:v_naz  0
чи			part 0
помилка		noun:f:v_naz -10
кухні		noun:f:v_rod 0
Я			pron:pers:s:1:v_naz:anim 0
ваш			pron:pos:m:v_naz 0
постійний	adj:m:v_naz 0
клієнт		noun:m:v_naz:anim 0
дуже		adv  0
смачні		adj:p:v_naz:compb  10
Чудове		adj:n:v_naz:compb  30
місце		noun:n:v_naz  0
сподобалося	verb:rev:past:n:perf 20
і			conj:coord  0
гарними		adj:p:v_oru:compb 10
стравами	noun:p:v_oru 0
і			conj:coord 0
обслуговуванням	noun:n:v_oru  0
Все			adv:v-u 0
було		verb:past:n:imperf 0
приправлене	adjp:pasv:past:n:v_naz 0
живою		adj:f:v_oru:compb 0
джазовою	adj:f:v_oru 10
музикою		noun:f:v_oru  10
дуже		adv 0
хотілося	verb:unknown 0
б			part 0
щоб			conj:subord 0
у			prep:rv_mis:v-u 0
Києві		noun:m:v_mis 0
був			verb:past:m:imperf 0
такий		pron:def:m:v_naz  0
затишний	adj:m:v_naz:compb  20
заклад		noun:m:v_naz  0
ціни		noun:p:v_naz 0
більше		adv:compr 0
демократичні	adj:p:v_naz:compb  10
аніж		conj:subord 0
буржуйські	adj:p:v_naz  -10
Класні		adj:p:v_naz  20
відносно	adv 0
дешево		adv:compb 10
і			conj:coord 0
багато		numr:p:v_naz 0
дуже		adv  0
багато		numr:p:v_naz 0
Дуже		adv  0
класно		adv 20
Персонал	noun:m:v_naz  0
привітний	adj:m:v_naz:compb  10
на			prep:rv_mis 0
вищому		adj:m:v_mis:compr  20
рівні		noun:m:v_mis  20
Все			pron:dem:n:v_naz 0
дуже		adv  0
швидко		adv:compb 10
і			conj:coord  0
смачно		adv:compb 10
Загалом		adv 0
все			pron:dem:n:v_naz  0
класно		adv 20
але			conj:coord  0
музика		noun:f:v_naz  10
у			prep:rv_mis:v-u 0
закладі		noun:m:v_mis 0
в			prep:rv_mis:v-u 0
більшості	noun:f:v_mis  0
випадків	noun:p:v_rod 0
геть		part 0
не			part 0
вписується	verb:rev:pres:s:3:imperf:v-u 0
в			prep:rv_zna:v-u 0
атмосферу	noun:f:v_zna 0
часто		adv:compb 0
грає		verb:pres:s:3:imperf 0
якийсь		pron:ind:m:v_naz  0
транс		noun:m:v_naz  -10
як			conj:subord 0
в			prep:rv_mis:v-u 0
клубі		noun:m:v_mis -10
і			conj:coord 0
важко		adv:compb -10
розслабитись	verb:rev:inf:perf 10
посидіти	verb:inf:perf 10
та			conj:coord 0
посмакувати	verb:inf:perf 10
таке		pron:def:n:v_naz  0
враження	noun:n:v_naz  0
що			conj:subord  0
тебе		pron:pers:s:2:v_zna:anim 0
підганяють	verb:pres:p:3:imperf -10
Підбирайте	verb:impr:p:2:imperf 0
будь		verb:impr:s:2:imperf 0
ласка		noun:f:v_naz 0
більш		adv:compr 0
нейтральний	adj:m:v_zna 0
Все			pron:dem:n:v_naz 0
класно		adv 20
але			conj:coord 0
чомусь		pron:ind 0
не			part 0
було		verb:past:n:imperf 0
Замовили	verb:past:p:perf 0
о			prep:rv_mis 0
18:40		time 0
Зараз		adv 0
20:23		time 0
їх			pron:pers:p:3:v_rod:anim 0
досі		adv 0
немає		predic -10
Через		prep:rv_zna 0
вас			pron:pers:p:2:v_zna:anim 0
ми			pron:pers:p:1:v_naz:anim 0
голодні		adj:p:v_naz:compb -20
Неприємно	adv:compb -20
