Kulba 20-30 female
Цей				цей 		adj:m:v_naz:&pron:dem  0
коментар		коментар	noun:m:v_naz  0
не				не 			part 0
для				для			prep:rv_rod  0
відвідувачів	відвідувач 	noun:p:v_zna:anim  0
а				а 			conj:coord  0
для				для 		prep:rv_rod  0
тих				той 		adj:p:v_zna:&pron:dem  0
хто				хто 		pron:int:rel:m:v_naz:anim 0
шукає			шукати 		verb:pres:s:3:imperf  0
роботу			робота  	noun:f:v_zna  10
Одна			один		numr:f:v_naz  10
моя				мій 		adj:f:v_naz:&pron:pos  0
близька			близький 	adj:f:v_naz:compb  30
знайома 		знайомий 	noun:f:v_naz:anim  10
мала			мати 		verb:past:f:imperf  0
нещастя			нещастя 	noun:n:v_zna  -30
влаштуватися	влаштуватися 	verb:rev:inf:perf:v-u  0
туди			туди 		adv:&pron:dem  0
працювати		працювати 	verb:inf:imperf  0
Те				той			adj:n:v_naz:&pron:dem  0
що				що			conj:subord  0
вона			вона 		pron:pers:f:3:v_naz:anim 0
розказала		розказати	verb:past:f:perf  0
пояснює			пояснювати 	verb:pres:s:3:imperf  0
всі				весь		adj:p:v_zna:&pron:dem  0
відгуки			відгук 		noun:p:v_zna  0
про				про 		prep:rv_zna  0
якість			якість  	noun:f:v_zna  0
обслуговування	обслуговування 	noun:n:v_rod  20
та				та 			conj:coord  0
продукції		продукція 	noun:f:v_rod  0
відвідуваність	відвідуваність noun:f:v_naz  20
Там				там 		adv:&pron:dem  0
немає			немає		predic  -20
фахівців		фахівець	noun:p:v_zna:anim  30
а				а 			conj:coord   0
лише			лише 		part  0
заробітчани		заробітчанин noun:p:v_naz:anim  0
яких			який 		adj:p:v_zna:&pron:int:rel:def 0
шантажують		шантажувати	verb:pres:p:3:imperf  -40
невиплатою		невиплата	noun:f:v_oru  -40
зарплати		зарплата 	noun:p:v_zna  -40
зарплата		зарплата	noun:f:v_naz  40
за				за 			prep:rv_rod:rv_zna:rv_oru  0
перший			перший	 	adj:m:v_naz  0
час				час 		noun:m:v_naz  0
роботи			робота  	noun:f:v_rod  0
залишається		залишатися 	verb:rev:pres:s:3:imperf  0
заставою		застава 	noun:f:v_oru  0
у				у			prep:rv_zna:rv_mis:rv_rod:v-u  0
керуючої		керуючий	adjp:actv:pres:f:v_rod:bad  0
добре			добре 		adv  20
що				що	 		conj:subord  0
хоч				хоч 		part  0
паспорта		паспорт 	noun:m:v_rod  0
не				не			part  0
забирають		забирати 	verb:pres:p:3:imperf  -20
як				як	 		part  0
закордоном		закордон	noun:m:v_oru  20
у				у  			prep:rv_zna:rv_mis:rv_rod:v-u  0
заробітчан		заробітчанин  noun:p:v_rod:anim  0
а				а 			conj:coord  0
потім			потім 		adv:&pron:dem  0
нерідко			нерідко  	adv  0
виганяють		виганяти  	verb:pres:p:3:imperf  -30
так				так 		part  0
її				вона 		pron:pers:f:3:v_rod:anim  0
і				і 			part 0
не				не	 		part  0
виплативши		виплатити  	advp:perf   0
Тому			тому		adv  0
не				не  		part  0
варто			варто 		predic  10
дивуватися		дивуватися 	verb:rev:inf:imperf  0
ані				ані  		conj:coord  0
умінню			уміння 		noun:n:v_dav:v-u  0
ані				ані 		conj:coord  0
бажанню			бажання  	noun:n:v_dav  20
добре			добре 		adv  20
працювати		працювати  	verb:inf:imperf  20
за				за			prep:rv_rod:rv_zna:rv_oru 0
таких			такий 		adj:p:v_zna:&pron:def  0
умов			умова		noun:p:v_rod  0
Це				цей			adj:n:v_naz:&pron:dem 0
не				не 			part  0
антиреклама		антиреклама noun:f:v_naz  -40
це				цей 		adj:n:v_naz:&pron:dem 0
попередження	попередження 	noun:n:v_naz  0
Людмила			Людмила 	noun:f:v_naz:anim:fname  0
я				я 			pron:pers:s:1:v_naz:anim  0
не				не 			part  0
розумію			розуміти 	verb:pres:s:1:imperf  0
вашого			ваш 		adj:m:v_rod:&pron:pos  0
обурення		обурення 	noun:n:v_rod  -40
це				цей 		adj:n:v_naz:&pron:dem  0
кафе			кафе 		noun:n:v_naz:nv  0
одне			один 		numr:n:v_naz  0
з				з 			prep:rv_rod:rv_zna:rv_oru  0
небагатьох		небагато 	numr:p:v_zna:&pron:ind  0
у				у 			prep:rv_zna:rv_mis:rv_rod:v-u  0
Львові			Львів 		noun:m:v_mis  30
де				де 			adv:&pron:int:rel  0
можна			можна		predic  0
посидіти		посидіти 	verb:inf:perf  0
випити			випити 		verb:inf:perf  0
чашку			чашка 		noun:f:v_zna  0
пресмачної		пресмачний 	adj:f:v_rod  50
кави			кава 		noun:f:v_rod  30
перекусити		перекусити 	verb:inf:perf  20
чи				чи 		conj:coord:subord   20
купити			купити 		verb:inf:perf  0
солодкий		солодкий 	adj:m:v_zna:compb  30
подарунок		подарунок 	noun:m:v_zna  30
для				для 		prep:rv_rod  0
друзів			друзі 		noun:p:v_zna:anim  30
Я				я 			pron:pers:s:1:v_naz:anim  0
дуже			дуже 		adv  30
часто			часто 		adv:compb  30
відвідую		відвідувати verb:pres:s:1:imperf  0
це				цей 		adj:n:v_zna:&pron:dem  0
кафе			кафе		noun:n:v_rod:nv  10
і				і 			conj:coord  0
ще				ще 			part  0
жодного			жодний 		adj:n:v_rod:&pron  -20
разу			раз 		noun:m:v_rod  0
не				не 			part  0
зустріла		зустріти 	verb:past:f:perf  0
непривітний		непривітний adj:m:v_zna  -40
персонал		персонал 	noun:m:v_zna  0
для				для 		prep:rv_rod  0
мене			я	 		pron:pers:s:1:v_rod:anim  0
вони			вони 		pron:pers:p:3:v_naz:anim  0
завжди			завжди 		adv:&pron:gen  0
усміхнені		усміхнений 	adj:p:v_naz:v-u  0
і				і			conj:coord  0
вміло			вміло 		adv:compb:v-u  30
можуть			могти 		verb:unknown  0
порекомендувати	порекомендувати	verb:inf:perf  35
щось			щось 		pron:ind:n:v_zna  -5
смачненьке		смачненький	adj:n:v_zna  50
можливо			можливо 	adv  0
проблема		проблема 	noun:f:v_naz  -30
в				в 			prep:rv_zna:rv_mis:rv_rod:v-u  0
вас				ви	 		pron:pers:p:2:v_mis:anim  0
і				і 			conj:coord  0
в				в	 		prep:rv_zna:rv_mis:rv_rod:v-u  0
вашому			ваш 		adj:n:v_dav:&pron:pos  0
відношенні		відношення 	noun:n:v_mis  0
до				до 			prep:rv_rod  0
людей			люди 		noun:p:v_rod:anim  0
Це				цей 		adj:n:v_naz:&pron:dem  0
дійсно			дійсно 		adv  0
хороше			хороший 	adj:n:v_naz:compb  40
кафе			кафе 		noun:p:v_naz:nv  40
яке				який 		adj:n:v_naz:&pron:int:rel:def 0
варто			варто		predic  0
відвідати		відвідати 	verb:inf:perf  0
Все				все			adv:v-u  0
дуже			дуже 		adv   10
красиво			красиво 	adv:compb  50
найсмачніше	   	смачний 	adv:super  50
дивитися		дивитися 	verb:rev:inf:imperf  0
з				з 			prep:rv_rod:rv_zna:rv_oru  0
