words,polarity,negativeCounter,neutralCounter,positiveCounter,iteration
﻿абат,U,0,0,0,-1
ігумен,U,0,0,0,-1
абатиса,U,0,0,0,-1
ігуменя,U,0,0,0,-1
абатство,U,0,0,0,-1
манастир,U,0,0,0,-1
абетка,+,0,0,1,5
азбука,+,0,1,2,4
альфабет,+,0,0,1,6
алфавит,+,0,0,1,6
букви,A,0,1,1,6
літери,A,0,1,1,6
абеточка,+,0,0,1,6
абетковий,+,0,0,2,4
азбучний,+,0,0,3,4
поазбучний,+,0,0,1,5
альфабетний,+,0,0,2,5
абетний,+,0,0,2,5
елементарний,+,0,0,7,4
початковий,+,0,0,7,4
загальновідомий,+,0,0,3,3
абеткувати,U,0,0,0,-1
реєструвати_за_абеткою,U,0,0,0,-1
абетник,U,0,0,0,-1
альфабетний_покажчик,U,0,0,0,-1
абзац,0,0,1,0,5
відступ,+,0,1,4,6
новий_рядок,0,0,1,0,6
уступ,0,0,2,1,4
аби,+,0,0,1,5
аби_тільки,+,0,0,1,6
аби_но,+,0,0,1,6
тільки_б,+,0,0,1,6
якби_тільки,+,0,0,1,6
щоб_лише,+,0,0,1,6
щоб,+,0,1,2,4
щоби,+,0,0,1,6
для_того,+,0,0,1,6
з_тим,+,0,0,1,6
абись,+,0,0,1,6
абиде,A,0,1,1,3
будь-де,U,0,0,0,4
де-будь,U,0,0,0,4
хоч_де,U,0,0,0,4
хай_де,U,0,0,0,4
де_припало,U,0,0,0,4
денебудь,+,0,1,2,3
десь,0,0,4,3,2
абиколи,0,0,1,0,3
будь-коли,0,0,1,0,4
колибудь,0,0,2,0,4
хоч_коли,0,0,1,0,4
хай_коли,0,0,1,0,4
колись,0,0,3,0,3
колинебудь,0,0,1,0,2
абикуди,+,0,0,4,3
будь-куди,+,0,0,2,3
кудибудь,+,0,0,1,3
хоч_куди,+,0,0,1,4
хай_куди,+,0,0,2,3
куди-небудь,+,0,0,1,4
кудись,+,0,1,3,3
аби_то,+,0,1,2,5
якнебудь,0,0,2,0,4
недбало,+,0,0,1,4
абияк,A,0,2,2,4
так_собі,+,0,0,1,4
абихто,+,0,0,3,5
будь-хто,+,0,0,3,5
хтобудь,+,0,0,1,6
хоч_хто,+,0,0,2,6
хай_хто,+,0,0,1,6
хтонебудь,+,0,0,3,5
хтось,+,0,1,2,4
абичий,U,0,0,0,-1
будь-чий,U,0,0,0,-1
чийбудь,U,0,0,0,-1
хай_чий,U,0,0,0,-1
хоч_чий,U,0,0,0,-1
чийнебудь,U,0,0,0,-1
чийсь,U,0,0,0,-1
абищиця,+,0,1,2,5
дрібниця,+,0,1,3,4
дрібничка,+,0,1,2,5
дурниця,+,0,0,3,4
дурничка,+,0,0,2,5
витребенька,0,0,3,1,5
абищо,A,0,2,2,4
будь-що,0,0,2,0,5
щобудь,0,0,1,0,5
хоч_що,U,0,0,0,5
хай_що,0,0,2,1,4
щонебудь,0,0,2,0,4
щось,0,0,3,0,3
нісенітниця,A,0,1,1,5
ніщо,+,0,0,2,5
нікчема,+,0,0,2,5
не_абищо,U,0,0,0,5
не_хвіст_собачий,U,0,0,0,5
будь-як,A,0,1,1,5
як-будь,U,0,0,0,5
хай_як,U,0,0,0,5
сяк-так,0,0,2,1,4
на_живу_нитку,U,0,0,0,5
абиякий,+,0,0,4,4
будь-який,+,0,0,5,5
якийбудь,+,0,0,1,5
перший-ліпший,+,0,0,4,4
хоч_який,+,0,0,3,5
хай_який,+,0,0,2,5
якийнебудь,+,0,0,3,5
сякий-такий,+,0,0,11,4
неавторитетний,+,0,0,1,5
звичайний,+,0,0,7,3
без_ваги,+,0,0,1,5
нездалий,+,0,0,4,4
поганий,+,0,0,8,3
неякісний,+,0,0,3,3
абітурієнт,0,0,1,0,7
випускник,0,0,1,0,6
матурант,0,0,1,0,8
вступник,0,0,1,0,8
або,0,0,1,0,4
чи,0,0,4,0,4
чи_то,0,0,1,0,5
альбо,0,0,1,0,5
а_то,0,0,1,0,5
тобто,0,0,3,0,4
інакше_кажучи,0,0,3,0,5
хіба,0,0,1,0,3
абориґен,+,0,0,2,5
тубілець,+,0,0,1,6
автохтон,A,0,1,1,6
корінний_житель,+,0,0,1,6
старожил,+,0,0,1,6
місцевий,+,0,0,5,4
тутешній,+,0,0,4,4
аборигенний,+,0,0,1,4
тубільний,+,0,0,2,4
автохтонний,+,0,0,3,4
корінний,+,0,0,5,3
аборт,U,0,0,0,-1
передчасні_пологи,U,0,0,0,-1
викидень,U,0,0,0,-1
абощо,U,0,0,0,-1
чи_що,U,0,0,0,-1
чи_там_що,U,0,0,0,-1
чи_то_ще_що,U,0,0,0,-1
абракадабра,U,0,0,0,6
абсурд,A,0,2,2,5
абрикоса,U,0,0,0,-1
жерделя,U,0,0,0,-1
мореля,U,0,0,0,-1
абрис,0,0,1,0,3
контур,0,0,3,0,3
обрис,0,0,5,1,3
обвід,0,0,3,0,3
окреслення,0,0,2,0,4
конфігурація,0,0,1,0,2
закрій,0,0,1,0,4
лінія,A,0,1,1,2
абсолютизм,0,0,1,0,8
самодержавство,0,0,1,0,9
монархізм,0,0,1,0,9
автократія,0,0,1,0,9
тиранія,0,0,1,0,7
деспотія,0,0,1,0,9
деспотизм,0,0,2,0,8
тоталітаризм,0,0,1,0,9
диктатура,0,0,1,0,9
абсолютний,+,0,0,9,3
цілковитий,+,0,0,3,2
повний,+,0,0,5,2
необмежений,+,0,0,5,2
безумовний,+,0,0,3,3
всеосяжний,+,0,0,6,3
всеохопний,+,0,0,6,3
тотальний,+,0,0,3,3
безвідносний,+,0,0,1,4
абсолютно,+,0,1,3,3
умоглядний,+,0,0,2,4
безглуздя,+,0,0,1,6
нонсенс,U,0,0,0,6
несусвітенність,U,0,0,0,6
безглуздість,+,0,0,1,6
нісенітність,U,0,0,0,6
неподобність,+,0,0,1,6
недоладність,U,0,0,0,6
на_вербі_груші,0,0,3,0,4
сон_рябої_кобили,A,0,1,1,4
таке,U,0,0,0,6
що_й_купи_не_держиться,U,0,0,0,6
бридня,+,0,0,1,5
глупство,+,0,0,1,6
чортзна-що,0,0,1,0,5
чортибатька-що,A,0,1,1,5
маячня,+,0,0,2,5
ідіотизм,U,0,0,0,6
дурість,+,0,0,2,5
парадокс,U,0,0,0,6
анекдота,A,0,1,1,5
анекдотичність,U,0,0,0,6
анекдот,U,0,0,0,6
абсурдний,+,0,0,2,4
безглуздий,+,0,0,6,4
нісенітний,+,0,0,2,4
ні_в_кут_ні_в_двері,+,0,0,1,5
ні_те_ні_се,+,0,0,1,5
дикий,+,0,0,8,3
абсцис,+,0,0,2,7
гнояк,+,0,0,1,7
нарив,+,0,0,1,8
чир,+,0,0,2,7
чиряк,+,0,0,1,6
фурункул,+,0,0,3,7
карбункул,+,0,0,2,7
нагноєння,+,0,0,1,8
запалення,+,0,0,1,8
аванґард,A,0,2,2,5
перший_ешельон,U,0,0,0,6
передова_частина,U,0,0,0,6
передовики,U,0,0,0,6
перші_лави,+,0,0,1,5
еліта,+,0,2,3,5
вершки,0,0,1,0,4
сметанка,0,0,2,0,4
авангардний,+,0,0,1,3
передовий,A,0,1,1,2
з_перших_лав,+,0,0,1,4
елітарний,+,0,0,1,4
аванс,U,0,0,0,-1
завдаток,U,0,0,0,-1
авансом,+,0,0,2,5
