Synytsia 20-30 female
брудний adj:f:v_naz:compb  -30
тварюка noun:f:v_naz:anim  -50
або conj:coord  0
власник noun:m:v_naz:anim  -10
ресторан noun:m:v_rod 30
він pron:pers:m:3:v_naz:anim 0
шахрай noun:m:v_naz:anim  -10
і conj:coord  0
все adv:v-u  11
що conj:subord  0
він pron:pers:m:3:v_naz:anim 0
робити verb:pres:s:3:imperf  30
шахрайство noun:n:v_naz -20
обманювати verb:pres:s:3:imperf  -20
клієнт noun:p:v_zna:anim  0
не part  0
тільки part  -21
у prep:rv_zna:rv_mis:rv_rod:v-u  0
цей adj:m:v_mis:&pron:dem  0
заклад noun:m:v_mis  -10
дурити verb:pres:s:3:imperf  -10
партнер noun:p:v_zna:anim  0
аферист noun:m:v_naz:anim -50
кидати verb:pres:s:3:imperf   -50
на prep:rv_zna:rv_mis  0
гроші noun:p:v_zna 50
друзі noun:p:v_zna:anim  50
люди  noun:p:v_naz:anim 50
для prep:rv_rod  0
він pron:pers:m:3:v_rod:anim  0
матеріал noun:m:v_naz  0
для prep:rv_rod  0
заробіток noun:m:v_rod  20
гроші noun:p:v_rod 20
по prep:rv_mis:rv_zna  0
весь adj:n:v_dav:&pron:dem  0
місто noun:n:v_dav  10
винний adj:m:v_naz:contr   -10
гроші noun:p:v_zna  50
хабар noun:p:v_oru  -50
вирішувати verb:pres:s:3:imperf  20
увесь adj:p:v_naz:&pron:dem  20
проблемний adj:p:v_naz:compb   -20
справа noun:p:v_naz  0
який adj:p:v_rod:&pron:int:rel:def  0
з prep:rv_rod:rv_zna:rv_oru  0
кожний adj:m:v_oru:&pron:def  0
рік noun:m:v_oru  0
він  pron:pers:m:3:v_rod:anim  0
перебування noun:n:v_rod  10
у prep:rv_zna:rv_mis:rv_rod:v-u  0
Львів noun:m:v_mis  10
все part  10
багато adv:compr  10
і conj:coord  0
багато adv:compr  20
знати verb:pres:p:3:imperf  20
він     pron:pers:m:3:v_zna:anim   0
у prep:rv_zna:rv_mis:rv_rod:v-u  0
весь adj:p:v_mis:&pron:dem 20
інстанція noun:p:v_mis  -50
наш adj:n:v_rod:&pron:pos  20
Львів noun:m:v_rod  20
і conj:coord  0
поки що adv:&pron:int:rel   0
прикривати verb:pres:p:3:imperf  -40
звісно insert   10
за prep:rv_rod:rv_zna:rv_oru  0
бабло noun:n:v_naz:slang    22
і conj:coord 0
тривати verb:futr:s:3:imperf  10
цей adj:n:v_naz:&pron:dem  0
до prep:rv_rod  0
той adj:p:v_rod:&pron:dem  0
пора noun:p:v_rod  10
поки conj:subord  0
на  prep:rv_zna:rv_mis  0
бабло noun:n:v_naz:slang   13
не part  -20
попасти verb:futr:s:3:perf  -20
крутий adj:m:v_naz:compb  -20
корупціонер noun:m:v_naz:anim  -20
хабарник noun:m:v_naz:anim  -20
і conj:coord  0
не part  -30
викрутити verb:futr:s:3:perf  0
він pron:pers:m:3:v_dav:anim   0
яйце noun:p:v_zna  0
або conj:coord  0
втратити verb:futr:s:3:perf:v-u  -20
через prep:rv_zna  0
цей adj:m:v_rod:&pron:dem   0
виродок noun:m:v_rod:anim  -50
свій adj:f:v_zna:&pron:pos  21
посада noun:f:v_zna 30
тому-то conj  0
шановний adj:p:v_naz  -20
заклад noun:m:v_naz  -20
ніщо pron:neg:v_naz   -20
працівник noun:p:v_naz:anim  20
звісно insert  0
цей adj:m:v_rod:&pron:dem 0
ресторан  noun:m:v_rod 30
гроші noun:p:v_naz  30
отримувати verb:pres:p:3:imperf  30
не part  -30
часто adv:compb  30
і conj:coord  0
дуже adv adj:n:v_naz:compb  0
мало adv:compb  -30
так adv:&pron:dem 20
і conj:coord   0
працювати verb:pres:p:3:imperf  30
